s,X,Y_{cj},Y_{rj},Z,U,W
0.00021209508879201905,0.16592707522648217,0.16800008902055977,0.1672475979488614,0.16621054639915334,0.16668145283031083,0.16593323857463238
0.00030888435964774815,0.16558752275708483,0.16860587001760394,0.16751099134454975,0.16600857553085077,0.16668645321960845,0.1656005871303023
0.0004498432668969444,0.16509081392064803,0.1694848932194111,0.16789260344398746,0.16572133970263303,0.1666918523252611,0.16511849738805925
0.0006551285568595509,0.16436294285670233,0.17075793548020643,0.16844403057338272,0.16531762940984068,0.1666958824831272,0.16442157919674052
0.0009540954763499944,0.16329395054019114,0.17259583898088668,0.1692375134597977,0.16476049818050162,0.16669412961223037,0.16341806922639254
0.0013894954943731374,0.16171988609843738,0.17523533474987596,0.17037153290629176,0.16401387959143585,0.1666770175797744,0.16198234907418466
0.0020235896477251557,0.1593964304714352,0.17899149052649058,0.17197351316985848,0.16306164484409688,0.16662634675847054,0.15995057422964828
0.0029470517025518097,0.1559638779867985,0.1842482925543463,0.17418984282752425,0.1619526117400886,0.16651440005385235,0.15713097483739003
0.004291934260128779,0.15091389611822542,0.19137383754021053,0.17713539032282669,0.16089164287482066,0.16632304374301704,0.1533621894008997
0.0062505519252739694,0.14360616408833188,0.2004241664603826,0.18072935629388284,0.1603839063430187,0.1661479148005046,0.14870849201387937
0.009102981779915217,0.13347683396123464,0.21036813409149213,0.1842561196072665,0.16132506375355551,0.1665808802693562,0.1439929683170949
0.013257113655901081,0.12067266663468512,0.2176512180374977,0.18546377028109276,0.16453809353609872,0.1697403590276721,0.14193389248295352
0.019306977288832496,0.10688992835647954,0.21527474504190555,0.1797219503281434,0.1688361165699638,0.18083451274816315,0.14844274695534468
0.02811768697974228,0.09455414926187874,0.19617313315838117,0.16197643424269523,0.1686954962332584,0.20735903939435002,0.17124174770943645
0.040949150623804234,0.08354312106449743,0.16074718818023284,0.13285210665500116,0.1574033553324515,0.25189130404933235,0.21356292471848473
0.05963623316594643,0.07134564680714897,0.1182065875284172,0.09995634056585052,0.13477150472769725,0.30577071970268277,0.2699492006682032
0.08685113737513521,0.057541877976030775,0.07963788464836515,0.07078656480629483,0.10747015745814902,0.35522916349603584,0.3293343516151244
0.12648552168552957,0.044293579903248836,0.051986816227874405,0.04910219463757865,0.08363215654007443,0.39173549478763176,0.379249757903592
0.18420699693267145,0.033476687526914385,0.03559553585619143,0.03504633717210683,0.06760970029822869,0.4158304952236201,0.4124412439229386
0.2682695795279725,0.025331539089333915,0.02610440815877868,0.026054820984959298,0.057470509385572466,0.43272993596939535,0.4323087864119603
0.3906939937054613,0.019303985397154142,0.019782641439500568,0.01978109540105254,0.04966093822712092,0.4457445178365844,0.44572682169858735
0.5689866029018293,0.014911875354827247,0.015244481679516872,0.015244471334510729,0.04283170560955911,0.4558838112707928,0.45588365475079323
0.8286427728546842,0.011803891854455776,0.012030763663025903,0.012030763663023183,0.036842679441903524,0.4636459506887957,0.4636459506887959
1.2067926406393288,0.009692077785728413,0.009840635102785577,0.009840635102787163,0.03167496089801787,0.4694758455553405,0.4694758455553405
1.7575106248547894,0.008345927523786597,0.008436144095450512,0.008436144095447408,0.02727251826242957,0.4737546330114429,0.4737546330114429
2.559547922699533,0.007580861611781142,0.007628285286363019,0.0076282852863622935,0.023558762018035584,0.47680190289872904,0.47680190289872904
3.727593720314938,0.00723049678659509,0.00724952880728754,0.007249528807287041,0.02045307390076969,0.47890868584903035,0.47890868584903035
5.428675439323859,0.007125168232577876,0.007129932649832401,0.007129932649832833,0.017879296001676204,0.4803678352330403,0.48036783523304033
7.9060432109076855,0.007116922565265685,0.007117481501614749,0.007117481501614205,0.015766451402875713,0.4814408315143148,0.4814408315143148
11.513953993264458,0.007127412754890632,0.007127433726800714,0.007127433726798455,0.014047890926857737,0.48228491443232624,0.48228491443232624
16.768329368110066,0.00713736054191637,0.0071373606903729825,0.007137360690373617,0.012665154619728688,0.4829613817288105,0.4829613817287979
24.420530945486497,0.007145262297431929,0.007145262297433168,0.0071452622974310905,0.011572048855195055,0.4834960821262544,0.4834960821262544
35.564803062231285,0.007151306260181332,0.007151306260181648,0.00715130626018174,0.01073596734167044,0.48390505693889235,0.48390505693889235
51.79474679231202,0.007155622872352587,0.0071556228723536515,0.007155622872352903,0.010138835991317265,0.48419714769581185,0.48419714769581185
75.43120063354607,0.007158278658975547,0.007158278658975683,0.007158278658975343,0.009771452175064057,0.48437685592400465,0.48437685592400465
109.85411419875572,0.007159500768066396,0.007159500768066917,0.007159500768066306,0.009602393750856116,0.48445955197247215,0.48445955197247215
159.98587196060572,0.00715985127365783,0.0071598512736587355,0.00715985127365656,0.009553907143982446,0.48448326951751586,0.48448326951752857
232.99518105153672,0.007159901746567364,0.007159901746568656,0.007159901746566231,0.009546925058250189,0.48448668485103646,0.48448668485101104
339.3221771895323,0.007159904496630652,0.007159904496630992,0.007159904496630267,0.009546544632900543,0.48448687093860376,0.48448687093860376
494.1713361323828,0.007159904534536701,0.007159904534535636,0.007159904534536588,0.00954653938892827,0.48448687350373143,0.48448687350373143
719.6856730011514,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
1048.1131341546852,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
1526.4179671752302,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
2222.996482526191,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
3237.45754281764,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
4714.8663634573895,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
6866.488450042998,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
10000.0,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
