s,X,Y_{cj},Y_{rj},Z,T,U,V,W
0.0001,0.12502052113244658,0.12545245187530799,0.12505270997704968,0.12480329266758947,0.12481352980167838,0.12522120459607816,0.12461457550937148,0.1250217144404783
0.00014563484775012445,0.12502940154755762,0.12565889106097108,0.1250768356947165,0.1247140534342609,0.124727908801769,0.12532215500157662,0.12443882153030739,0.12503193292884082
0.00021209508879201905,0.1250417913239141,0.12595949190344174,0.1251120520030267,0.12458468211444215,0.1246026294369262,0.1254691787240589,0.12418301399994883,0.12504716049424114
0.00030888435964774815,0.12505868432160325,0.1263971549360552,0.1251635075239416,0.12439753275094007,0.12441894542294352,0.12568330889530874,0.12381079294254822,0.12507007320665936
0.0004498432668969444,0.1250808457528881,0.1270342550516023,0.1252387994353502,0.12412765430280608,0.12414884823916893,0.12599518747992908,0.12326940624605416,0.1251050034922011
0.0006551285568595509,0.12510794678795292,0.12796133830485823,0.12534918946233772,0.12374032085433467,0.12375008079974358,0.1264494697265522,0.12248246372017037,0.1251591903440503
0.0009540954763499944,0.12513646381946109,0.1293094484281436,0.12551147743844498,0.12318838072973624,0.12315810887849184,0.12711128003203964,0.12133967938573464,0.12524516128794777
0.0013894954943731374,0.12515484937736504,0.13126705992186535,0.1257508920829795,0.12241050733714835,0.12227296845907976,0.12807572407351597,0.11968260866494548,0.12538539008310068
0.0020235896477251557,0.12513291564510867,0.13410164101110125,0.12610547176996073,0.12133308676455666,0.12093754060961248,0.12948214931354166,0.11728548345272824,0.12562171143339032
0.0029470517025518097,0.12499935782832315,0.13818166242167215,0.1266321190979892,0.11988234170324083,0.11890217420839111,0.1315362623114972,0.11383126443582173,0.12603481799306468
0.004291934260128779,0.12459684374767578,0.14398009153982688,0.12741205481952653,0.11802071163800285,0.11577039113356222,0.13454716744641668,0.10888675838791069,0.1267859812870784
0.0062505519252739694,0.1236020000720238,0.15199476236628112,0.12854156707031808,0.11583204029833058,0.11092891046575824,0.13899872098767657,0.10189198018538635,0.12821001855422526
0.009102981779915217,0.12141984012922424,0.16240019349554213,0.13004980879681294,0.11367479651235239,0.1035017572655158,0.14571411079395177,0.09220801482803113,0.1310314781785695
0.013257113655901081,0.11717205184600066,0.17403228215764277,0.13156884170278538,0.11230611379527804,0.09245919898924915,0.15627469823064735,0.07932201322298821,0.1368648000554085
0.019306977288832496,0.11009552196683596,0.1824492323815877,0.1315057307410862,0.11244463111827656,0.07710634375154712,0.17391448413483812,0.0633270531517179,0.14915700275411037
0.02811768697974228,0.10027851598613123,0.17905100439391503,0.12628977423353757,0.11293814991191128,0.05801941696931646,0.20411193790980137,0.045553554664773975,0.173757645930613
0.040949150623804234,0.08822632910683063,0.1566498354585628,0.11229810163377649,0.10926466329447691,0.03799019116958673,0.25090320638229735,0.028769150530290343,0.21589852242417876
0.05963623316594643,0.07394714505017703,0.11926146115788996,0.09053462204417531,0.09736650679495476,0.021581998871587488,0.30795504531997064,0.01623031087949585,0.27312290988174903
0.08685113737513521,0.058667997373226505,0.08085344393114201,0.06711627185716224,0.07953314973578052,0.011592171950740797,0.3595222614467911,0.00918202598776552,0.3335326777173913
