s,X,Y_{cj},Y_{rj},T,U,V,W
0.0001,0.14272260304354828,0.1436106331879788,0.14308789844410222,0.1425654378255423,0.14298410867091374,0.14230562945556482,0.14272368937234992
0.00014563484775012445,0.14266049464710714,0.14395531242083498,0.14319375354341443,0.142431775882033,0.14304156774303356,0.14205429804840775,0.1426627977151691
0.00021209508879201905,0.14256924596345472,0.1444582075890311,0.1433485338666151,0.14223651439146373,0.1431247063989456,0.14168866559665683,0.14257412619383272
0.00030888435964774815,0.14243466637470104,0.14519254306675697,0.14357526036005747,0.14195087924066246,0.143244632899688,0.14115701419230453,0.14244500386582962
0.0004498432668969444,0.1422350884402296,0.14626609251449424,0.14390824263841145,0.1415322485115663,0.1434168315325518,0.14038452476431082,0.14225697159843584
0.0006551285568595509,0.14193684028063588,0.1478381699306561,0.1443991117683271,0.1409170841777374,0.1436623692923246,0.1392633028147789,0.14198312173553992
0.0009540954763499944,0.14148641430470393,0.15014566874447968,0.14512660493942986,0.14000991239057128,0.1440087369415191,0.13763850102658032,0.14158416165271584
0.0013894954943731374,0.14079646888181077,0.15354353480646973,0.1462129306696915,0.1386659996311982,0.14448906581245413,0.13528953279915157,0.1410024673992241
0.0020235896477251557,0.13972015276765792,0.15856843113849992,0.14785203349689757,0.13666414133006488,0.1451366125471871,0.13190580788699813,0.14015282083269456
0.0029470517025518097,0.13800328051712027,0.1660392099577262,0.15035971777732526,0.1336652345292506,0.14596710430252754,0.12705834824541368,0.1389071046706364
0.004291934260128779,0.13519617259572406,0.17721162469417237,0.15426324236137257,0.12915505419367132,0.14693234968557334,0.12017423838128015,0.13706731808820624
0.0062505519252739694,0.13050154031174974,0.1939930126887646,0.16045499610102068,0.12238674826506887,0.14781112659245535,0.11053611485866184,0.13431646118227905
0.009102981779915217,0.12256546619596943,0.21913658809226855,0.17041365010407059,0.11239524469581935,0.14798376091505033,0.09736656907806517,0.1301387209187566
0.013257113655901081,0.10941405841898974,0.2559990952915375,0.18633721400779923,0.09827537070953005,0.14608079102733754,0.08013371780970437,0.12375975273510177
0.019306977288832496,0.0893204998351763,0.30664983843275095,0.21053348876771724,0.0799692466814335,0.13984811816032738,0.05927875854793234,0.11440004957466224
0.02811768697974228,0.0636511154118956,0.36705373021644777,0.24306683095772752,0.0592680419524262,0.12736019161925374,0.03724993772731159,0.10235015211493756
0.040949150623804234,0.03904829687887595,0.42357146628865794,0.27940586642341403,0.0396278119324429,0.10988402369433677,0.01850203786922917,0.08996049691304332
0.05963623316594643,0.022073977272329206,0.4610947200545521,0.31405637279316173,0.02414689882372269,0.09214722124479016,0.006752996729739336,0.07972781308170504
0.08685113737513521,0.012543064158980724,0.4763191140668237,0.34753803471542033,0.013630685575724569,0.07709725132081595,0.0017602707793329762,0.07111157938290179
0.12648552168552957,0.006863995403979981,0.48026529660196227,0.3861387082223838,0.006947748302506001,0.06068733999434585,0.00037340754633926996,0.058723503928482856
0.18420699693267145,0.0030355892438989726,0.4866138010901448,0.4322769634435608,0.002886804655996918,0.037706334928893546,8.206399454473676e-05,0.03739844264296033
0.2682695795279725,0.0008933403809265003,0.4947141596714877,0.4730434668239452,0.0008267989994836196,0.015260625513680681,1.583689874205574e-05,0.01524577171173435
0.3906939937054613,0.00014703658551811548,0.4989001735052725,0.4940267677011355,0.00013393121479405134,0.0033951927834816355,1.8402160842754431e-06,0.003395057993713909
0.5689866029018293,1.0944025780432445e-05,0.49989775035972567,0.4994122962826447,9.752971113231299e-06,0.00033457925743340955,9.796074177445365e-08,0.00033457914256070044
0.8286427728546842,2.6606249806217454e-07,0.4999969390493258,0.49998166210961686,2.2967430263403506e-07,1.045068894339129e-05,1.7263697873406406e-09,1.045068894339129e-05
1.2067926406393288,1.2647780609638167e-09,0.49999998257684347,0.4999998925768329,1.0459307272208535e-09,6.126476844381996e-08,6.077745622489549e-12,6.126476844381996e-08
1.7575106248547894,3.2176695398794945e-16,0.499999999999993,0.5000000000000039,9.407290531271732e-32,1.5469951834701882e-15,5.358990646192379e-32,1.2646949574323234e-15
2.559547922699533,6.432824345029368e-16,0.5000000000000205,0.499999999999978,0.0,4.0104639276042467e-16,0.0,4.0104639276042467e-16
3.727593720314938,6.431652951757026e-17,0.5000000000000078,0.49999999999999123,0.0,4.966944486571734e-16,0.0,4.966944486571734e-16
5.428675439323859,8.3606455711065e-16,0.4999999999999987,0.5,7.630329379387138e-32,1.429449317896514e-16,1.2190047024404393e-32,3.3412435725876338e-16
7.9060432109076855,6.431192564781077e-16,0.4999999999999852,0.5000000000000102,0.0,2.007235491898469e-15,0.0,2.007235491898469e-15
11.513953993264458,1.5434847718229654e-15,0.5000000000000039,0.4999999999999924,8.077400074596802e-32,1.0990797325399532e-15,7.099692385160837e-32,1.1422892671678097e-15
16.768329368110066,2.572474560059363e-16,0.5000000000000089,0.4999999999999887,0.0,1.1043552896504843e-15,0.0,1.1043552896504843e-15
24.420530945486497,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,2.0824273568528183e-32,1.4048122791366428e-15,1.9333806630691876e-32,1.1686671535306979e-15
35.564803062231285,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
51.79474679231202,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
