s,X,Y_{cj},Y_{rj},U,W
0.0001,0.19918369416780995,0.20122529355588747,0.20071316137868134,0.19969369107933696,0.1991841598182842
0.00014563484775012445,0.19881097560319935,0.2017853038656466,0.20103929546068366,0.1995524632065707,0.19881196186389957
0.00021209508879201905,0.19826795120816545,0.20260181396047952,0.2015150267635229,0.19934517199491097,0.19827003607292104
0.00030888435964774815,0.19747667622674964,0.2037928949773375,0.20220947745280338,0.1990398734113702,0.19748107793173933
0.0004498432668969444,0.19632340992097153,0.20553158502896832,0.2032242673862602,0.198588055848999,0.19633268181480087
0.0006551285568595509,0.19464210065475884,0.20807203136073338,0.20470938502778044,0.19791491299585426,0.194661569960873
0.0009540954763499944,0.1921902582246933,0.21178848057120434,0.20688745037010375,0.1969028589061063,0.1922309519278923
0.0013894954943731374,0.18861398507742594,0.21723331030763557,0.21009133150475004,0.19536292914965994,0.18869844396052854
0.0020235896477251557,0.18339832930001065,0.225222111030396,0.21482342100491014,0.19298435278151588,0.18357178588316725
0.0029470517025518097,0.17580074813318142,0.23695204911564385,0.22184992369059323,0.18924595328386312,0.17615132577671827
0.004291934260128779,0.1647758599589843,0.25414104329165144,0.23234904874807782,0.1832669151283664,0.16546713287292
0.0062505519252739694,0.14894021504113222,0.2790950223260033,0.24812553600821063,0.17358777057170785,0.150251456052946
0.009102981779915217,0.12675266914246297,0.31435116521200734,0.27182640183587764,0.15797882110222158,0.12909094270743038
0.013257113655901081,0.09737951686951421,0.36096656601447463,0.3067393728193993,0.13375940266682995,0.10115514162978201
0.019306977288832496,0.062900120862041,0.41437758382027395,0.3548054303198563,0.09981419010465889,0.06810267489316978
0.02811768697974228,0.03067314381680158,0.4611450871101533,0.4112175220380068,0.060682010217335006,0.03628223681770335
0.040949150623804234,0.009861397298139632,0.4880631459950923,0.46071027658745994,0.027282336150438125,0.01408284396887016
0.05963623316594643,0.0018097597057001342,0.49740127873364126,0.4889935246714253,0.008059966095373497,0.0037354707938597968
0.08685113737513521,0.00016323661401003046,0.49958543380895165,0.49834416868003806,0.0013072666240497453,0.000599894272950439
0.12648552168552957,5.941243496694455e-06,0.4999687485056819,0.4998987183153085,8.515189550544409e-05,4.144004000757759e-05
0.18420699693267145,6.018549374340194e-08,0.4999994453849156,0.49999841324922795,1.3790271598672432e-06,7.021532028247498e-07
0.2682695795279725,1.0310439584163198e-10,0.49999999860802025,0.4999999961029776,3.4263277837925074e-09,1.7595699373153575e-09
0.3906939937054613,5.179049031211169e-16,0.5000000000000171,0.49999999999998007,1.0307521411726917e-15,1.0519943344647689e-15
0.5689866029018293,1.1623947850068348e-15,0.5000000000000023,0.49999999999999617,2.951393008806417e-16,2.1391292918528558e-16
0.8286427728546842,1.4827902605792848e-15,0.4999999999999978,0.49999999999999717,1.8670867853150165e-15,1.5930929328166705e-15
1.2067926406393288,1.9319371915525403e-16,0.4999999999999935,0.5000000000000053,4.729221250154656e-16,4.211019347212178e-16
1.7575106248547894,3.8612034478554026e-16,0.49999999999999417,0.5000000000000051,2.1970649826989727e-16,2.1970649826989727e-16
2.559547922699533,5.146259476023498e-16,0.5000000000000001,0.4999999999999989,3.4450789754044015e-16,1.5654881120911323e-16
3.727593720314938,6.431652951757026e-17,0.49999999999999983,0.4999999999999987,6.243225619186019e-16,6.243225619186019e-16
5.428675439323859,2.5725063295712357e-16,0.4999999999999983,0.5000000000000012,7.863227355037078e-17,7.863227355037078e-17
7.9060432109076855,1.929357769434327e-16,0.499999999999999,0.49999999999999867,1.0920466437149766e-15,1.0819979053325063e-15
11.513953993264458,1.157613578867226e-15,0.49999999999999795,0.4999999999999983,1.2636276696402228e-15,1.248052139716228e-15
16.768329368110066,3.8587118400890457e-16,0.5000000000000014,0.499999999999997,6.885891376096402e-16,7.051695400475228e-16
24.420530945486497,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
35.564803062231285,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
51.79474679231202,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
75.43120063354607,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
109.85411419875572,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
159.98587196060572,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
232.99518105153672,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
339.3221771895323,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
494.1713361323828,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
719.6856730011514,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
1048.1131341546852,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
1526.4179671752302,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
2222.996482526191,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
3237.45754281764,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
