s,X_{cj},X_{rj},Y_{cj},Y_{rj},U,W
0.0001,0.16609934131885312,0.16609934131885523,0.16780195187223942,0.16744608123839133,0.16645367339984257,0.16609961085181837
0.00014563484775012445,0.16584000819372444,0.1658400081937367,0.16832132764815141,0.16780279167979353,0.16635528502828043,0.16584057925631351
0.00021209508879201905,0.1654618447193931,0.16546184471938322,0.16907915774351384,0.16832343480768058,0.16621066586607508,0.1654630521439543
0.00030888435964774815,0.16491009002281562,0.16491009002281998,0.17018584701499964,0.16908410083159886,0.16599723197547173,0.16491264013229415
0.0004498432668969444,0.1641044115598902,0.16410441155989308,0.1718039244900055,0.17019703046537885,0.16568043611226338,0.16410978581256894
0.0006551285568595509,0.16292662862758703,0.16292662862756918,0.17417366683273114,0.17182867333231264,0.16520648085173606,0.1629379217280639
0.0009540954763499944,0.161202229200536,0.16120222920052932,0.1776522832003134,0.17422769457699183,0.16448970519790504,0.16122585862372438
0.0013894954943731374,0.15867238597663555,0.15867238597662983,0.1827744065502725,0.17776917572552603,0.1633901422016045,0.15872150356933176
0.0020235896477251557,0.15495156523326836,0.15495156523326406,0.19034581538458253,0.18302568180226453,0.16167270909814044,0.1550526632484802
0.0029470517025518097,0.14946453384234482,0.14946453384233985,0.20158616807376561,0.19088268380004347,0.15893256826974272,0.14966951217176336
0.004291934260128779,0.14135944045013282,0.14135944045014465,0.21833052872298783,0.2027233188621465,0.15446186261782527,0.14176540889676287
0.0062505519252739694,0.1294170640662574,0.1294170640662715,0.24324232828218512,0.2206987040943317,0.147033167258022,0.13019167223293243
0.009102981779915217,0.11207584969001176,0.11207584969002679,0.27974106420361444,0.2479952458504241,0.13464516756831413,0.11346682299760873
0.013257113655901081,0.08800011884592487,0.08800011884593133,0.33058408798556066,0.28853674411531255,0.11462000317531126,0.09025892703195935
0.019306977288832496,0.05809267723050233,0.05809267723050198,0.3929810795081304,0.34431716778844657,0.0853189155840666,0.061197482658352134
0.02811768697974228,0.028615328021524406,0.02861532802150738,0.4517776209485349,0.40850776489667834,0.0505976621804292,0.03188629593132577
0.040949150623804234,0.009037640669085353,0.009037640669091513,0.487009954953559,0.46212849928078287,0.021418562313211008,0.011367702114270267
0.05963623316594643,0.0015622955678076342,0.0015622955678091393,0.4982099652706655,0.49035024865565524,0.005778872372434743,0.002536322565627755
0.08685113737513521,0.0001247500507254168,0.000124750050721584,0.49988135083448626,0.49869869871558875,0.0008476794626919627,0.00032277088578594904
0.12648552168552957,3.7631510124572097e-06,3.7631510128625773e-06,0.4999958709346566,0.4999275944875539,5.074460341672522e-05,1.826367234750822e-05
0.18420699693267145,3.2346530531038625e-08,3.2346534676597294e-08,0.4999999485183628,0.49999892377007404,7.845514763055877e-07,2.7846702168063187e-07
0.2682695795279725,5.1663141139534477e-11,5.166733645152329e-11,0.4999999999004872,0.4999999973976425,1.924059777666746e-09,6.744800196594254e-10
0.3906939937054613,4.7911604477233e-16,1.2964316505604225e-15,0.4999999999999911,0.5000000000000034,1.6628145083274986e-15,1.8468866652345155e-15
0.5689866029018293,3.2565258064067856e-15,1.31945442156137e-15,0.49999999999999256,0.500000000000001,9.176524766976018e-16,9.42216787737308e-16
0.8286427728546842,5.040058264950893e-16,2.8000323694171626e-16,0.4999999999999974,0.49999999999999983,1.0202617946063787e-15,1.0202617946063787e-15
1.2067926406393288,7.267676719103953e-16,1.0621989050998082e-15,0.49999999999999695,0.4999999999999973,2.0601941757219553e-15,2.0601941757219553e-15
1.7575106248547894,1.1169175430112091e-15,5.026128943550442e-16,0.500000000000009,0.49999999999998906,4.5374775184830376e-17,3.481641403605254e-16
2.559547922699533,7.534683267235084e-16,4.185935148463936e-16,0.49999999999999883,0.4999999999999993,2.2324987458474323e-16,5.23241893557992e-16
3.727593720314938,1.3949233219485507e-16,2.510861979507391e-16,0.4999999999999996,0.4999999999999994,2.6721499886076923e-16,2.6721499886076923e-16
5.428675439323859,5.858139232742403e-16,3.0685491219126873e-16,0.49999999999999845,0.49999999999999845,1.0665823439375492e-15,1.0665823439375492e-15
7.9060432109076855,6.415945623415839e-16,2.789541575398191e-16,0.49999999999999867,0.49999999999999883,8.52117778109916e-16,8.52117778109916e-16
11.513953993264458,1.3110826673751723e-15,9.205474047527805e-16,0.5,0.49999999999999767,1.795764823665462e-16,2.35367234169745e-17
16.768329368110066,9.205473721531834e-16,5.579074982746565e-16,0.49999999999999806,0.49999999999999944,5.361142366233028e-16,5.361142366233028e-16
24.420530945486497,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
35.564803062231285,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
51.79474679231202,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
75.43120063354607,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
109.85411419875572,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
159.98587196060572,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
232.99518105153672,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
