s,X,Y_{cj},Y_{rj},T,V
0.0001,0.19973737357804502,0.20065932299919106,0.20014771190125116,0.19998284412180842,0.1994727473997043
0.00014563484775012445,0.19961684227108137,0.20096081683271613,0.20021590596957028,0.19997406854204472,0.19923236638458758
0.00021209508879201905,0.19944054224825586,0.20140058195095095,0.20031610230157676,0.19996022878354824,0.19888254471566816
0.00030888435964774815,0.19918216847132084,0.20204248082046944,0.20046389350930455,0.19993783105506607,0.19837362614383913
0.0004498432668969444,0.19880245096881763,0.20298036639239672,0.20068309737877382,0.19990047241282546,0.19763361284718634
0.0006551285568595509,0.1982421702715612,0.20435269804525186,0.20101075625902018,0.19983605692504483,0.1965583184991218
0.0009540954763499944,0.19741080219141752,0.20636481421105177,0.20150579722900958,0.19972116990906588,0.19499741645945523
0.0013894954943731374,0.1961674926072403,0.2093233887981459,0.2022645619759745,0.1995096543279687,0.19273490229067058
0.0020235896477251557,0.19428831635941635,0.2136904732592431,0.20344939362330913,0.19910954588247276,0.18946227087555884
0.0029470517025518097,0.1914087077982444,0.22016910565311013,0.20534203395193057,0.19833734565439196,0.18474280694232292
0.004291934260128779,0.18692247467123435,0.2298377878416147,0.2084422006667402,0.19683087241404276,0.17796666440636805
0.0062505519252739694,0.1798149495837259,0.24434928638020756,0.21363747923936655,0.193896652541143,0.16830163225555705
0.009102981779915217,0.16844570734191694,0.2661630393356993,0.22243854130522278,0.1882890085430527,0.1546637034741083
0.013257113655901081,0.1505157323513312,0.2985657602448622,0.23708764830676374,0.17803305623976223,0.1357978028572807
0.019306977288832496,0.12407011969136884,0.3446296127927197,0.25987424096781014,0.16068844475463964,0.11073758179346173
0.02811768697974228,0.09057829434069364,0.40365772368152836,0.2909280269116624,0.13471168902581349,0.08012426604030216
0.040949150623804234,0.057343716688069125,0.4660221296555699,0.3264448402717799,0.10196836832119638,0.048220945063384646
0.05963623316594643,0.0324178361006006,0.5142713147539527,0.3618977973401507,0.06878382501287379,0.022629226792422248
0.08685113737513521,0.01719267921861076,0.53629379333549,0.39683097971738107,0.041460538605042584,0.008222009123475581
0.12648552168552957,0.008381652315667261,0.5352483362170462,0.4322018672695079,0.021636766858063674,0.0025313773397149237
0.18420699693267145,0.003336309436492413,0.5225983571223116,0.46453076072749244,0.008850544245666099,0.000684028468037341
0.2682695795279725,0.0009222076404154694,0.5093890078931798,0.48708726072539854,0.0024655009389349587,0.0001360228020711555
0.3906939937054613,0.00014801435158152363,0.5021736779575171,0.4972683358724132,0.00039416083584087205,1.5810982647346582e-05
0.5689866029018293,1.0951141107376623e-05,0.5002226233130374,0.49973685356784325,2.872351004971638e-05,8.484679622623835e-07
0.8286427728546842,2.6606794189429807e-07,0.5000071584839034,0.4999918812319494,6.791287965926592e-07,1.50874087953228e-08
1.2067926406393288,1.2647786409587031e-09,0.5000000427895775,0.49999995278961645,3.1025652801723096e-09,5.346197636488542e-11
1.7575106248547894,0.0,0.5,0.5,0.0,0.0
2.559547922699533,0.0,0.5,0.5000000000000001,0.0,0.0
3.727593720314938,0.0,0.5,0.5,0.0,0.0
5.428675439323859,0.0,0.5000000000000001,0.49999999999999994,0.0,0.0
7.9060432109076855,0.0,0.5,0.5,0.0,0.0
11.513953993264458,0.0,0.5,0.5,0.0,0.0
16.768329368110066,0.0,0.5000000000000001,0.49999999999999994,0.0,0.0
24.420530945486497,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
35.564803062231285,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
51.79474679231202,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
75.43120063354607,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
109.85411419875572,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
159.98587196060572,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
232.99518105153672,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
339.3221771895323,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
494.1713361323828,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
719.6856730011514,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
1048.1131341546852,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
1526.4179671752302,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
2222.996482526191,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
3237.45754281764,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
4714.8663634573895,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
6866.488450042998,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
10000.0,0.0,0.49999999999999994,0.5000000000000001,0.0,0.0
