s,X,Y_{cj},Y_{rj},Z,T,V
0.0004498432668969444,0.1668298241486848,0.1677320089393558,0.16614765396973147,0.1670737808968998,0.16689537188541942,0.16532136015990875
0.0006551285568595509,0.16689972903830266,0.16821519940367108,0.16591773396288448,0.16726777614668872,0.16698766038813342,0.16471190106031955
0.0009540954763499944,0.16699637216155405,0.1689153386624589,0.165590676806089,0.1675596037722019,0.16710867281647424,0.16382933578122183
0.0013894954943731374,0.16712605208407214,0.16992699493561814,0.16513088649988222,0.1680045468572814,0.16725684379165126,0.16255467583149497
0.0020235896477251557,0.16729116582020892,0.17138194859442746,0.16449619049797565,0.16869541983340297,0.16741425271014082,0.16072102254384427
0.0029470517025518097,0.16748074367823879,0.1734574571196985,0.16364501522589117,0.16979412262746907,0.16752361120906215,0.15809905013964035
0.004291934260128779,0.16764884806262,0.1763742275304915,0.16255561382744657,0.1715943110241513,0.16744231400969464,0.154384685545596
0.0062505519252739694,0.16767149924823463,0.18035543962868705,0.16126389615894113,0.17464602590584483,0.1668615182926899,0.1492016207656025
0.009102981779915217,0.16728332292327114,0.18546859432073434,0.15990833651613046,0.1799883850125253,0.1651973906760249,0.14215397055131382
0.013257113655901081,0.16606778568412175,0.19118547004431335,0.15869699236271065,0.18948592399317654,0.1615485798117047,0.13301524810397305
0.019306977288832496,0.16373799988520443,0.19556244164242964,0.15761971519903337,0.2058980650789037,0.15499349303566787,0.12218828515876112
0.02811768697974228,0.16069986633911423,0.19495568212812592,0.15606783158535,0.23148966816526675,0.14545740741454805,0.1113295443675949
0.040949150623804234,0.1575744907110277,0.18674576441454963,0.15338045489396537,0.2647881424573549,0.1343840396044477,0.10312710791865481
0.05963623316594643,0.15373698836699137,0.17334900398281874,0.1499483589108612,0.30004280231481784,0.12368452785568569,0.09923831856882527
0.08685113737513521,0.14836348031481972,0.1597686760122128,0.14637733504041678,0.33291626859888074,0.11411939254208169,0.09845484749158824
0.12648552168552957,0.14182364493887004,0.14839264301371485,0.14224974386539865,0.36392242522244,0.10570098450885962,0.0979105584507169
0.18420699693267145,0.13484661607279286,0.13917923654400777,0.1370377003470421,0.3947028588555397,0.09852990569635164,0.09570368248426614
0.2682695795279725,0.12801102772249562,0.13146542618641244,0.13094812380329707,0.42526758610523197,0.09249865834436477,0.09180917783819817
0.3906939937054613,0.12179794248420531,0.12480204696765554,0.12472720631423506,0.4544238175425669,0.08717405074172446,0.0870749359496128
0.5689866029018293,0.11666235544874519,0.11926434032919223,0.11925916461882553,0.4802988825748056,0.08226099871488401,0.0822542583135475
0.8286427728546842,0.11313633514083632,0.11531082358653265,0.11531070251192455,0.500518492225921,0.07786190001739277,0.07786174651739255
1.2067926406393288,0.11183433879250256,0.11354850262968631,0.11354850206260747,0.5124233284031605,0.07432266440224293,0.07432266370980033
1.7575106248547894,0.11333145541931634,0.11455652900644474,0.11455652900644603,0.513485606516806,0.0720349400254935,0.0720349400254935
2.559547922699533,0.11790334274662072,0.11864091191023654,0.11864091191023676,0.502100333475013,0.07135724997894645,0.07135724997894645
3.727593720314938,0.12511972769279353,0.12544906623160146,0.12544906623160265,0.4788767880367196,0.07255267590364134,0.07255267590364134
5.428675439323859,0.1336729377680821,0.1337623214332162,0.1337623214332169,0.44752114985609204,0.07564063475469635,0.07564063475469635
7.9060432109076855,0.14207754458928115,0.1420887028256261,0.14208870282562586,0.4134114333724686,0.08016680819349914,0.08016680819349914
11.513953993264458,0.14961970791257004,0.14962014815799687,0.1496201481579972,0.3805748822737774,0.08528255674882926,0.08528255674882926
16.768329368110066,0.15621211987989664,0.15621212312910873,0.15621212312910873,0.3506909252014718,0.09033635433020709,0.09033635433020709
24.420530945486497,0.16184905447246242,0.1618490544724624,0.1618490544724624,0.324213815533087,0.09511951052476281,0.09511951052476281
35.564803062231285,0.16650208309076006,0.16650208309075987,0.16650208309075987,0.301279023043642,0.09960736384203907,0.09960736384203907
51.79474679231202,0.17014110318783982,0.17014110318783965,0.17014110318783965,0.2819585797650957,0.10380905533569264,0.10380905533569264
75.43120063354607,0.17275292742959014,0.17275292742959042,0.17275292742959042,0.26628253537729624,0.10772934116696643,0.10772934116696643
109.85411419875572,0.17443830480796296,0.17443830480796296,0.17443830480796296,0.2541245349423013,0.11128027531690488,0.11128027531690488
159.98587196060572,0.17546067729863238,0.1754606772986326,0.1754606772986326,0.24520230974903837,0.11420782917753206,0.11420782917753206
232.99518105153672,0.17606207991957648,0.1760620799195767,0.1760620799195767,0.2393694374993651,0.11622216137095238,0.11622216137095238
339.3221771895323,0.17635770972400772,0.1763577097240081,0.1763577097240081,0.23642277140343046,0.11725204971227282,0.11725204971227282
494.1713361323828,0.17645326983966528,0.176453269839665,0.176453269839665,0.23546730136788246,0.11758644455656106,0.11758644455656106
719.6856730011514,0.17646946216341197,0.1764694621634122,0.1764694621634122,0.2353053783658799,0.11764311757194187,0.11764311757194187
1048.1131341546852,0.17647056721382215,0.17647056721382182,0.17647056721382182,0.2352943278617799,0.11764698524837722,0.11764698524837722
1526.4179671752302,0.17647058817162603,0.1764705881716261,0.1764705881716261,0.23529411828373764,0.11764705860069195,0.11764705860069195
2222.996482526191,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
3237.45754281764,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
4714.8663634573895,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
6866.488450042998,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
10000.0,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
