s,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
0.0001,0.12446034811266586,0.12446034811267453,0.1257362250662137,0.1253354751520108,0.12554416029932414,0.12465935172913893,0.12534351598948829,0.12446057553848361
0.00014563484775012445,0.1242141051370808,0.12421410513705916,0.12607280299316836,0.12548860776184773,0.12579258280129266,0.12450329606502501,0.12549991332585503,0.12421458677867134
0.00021209508879201905,0.12385552409591113,0.12385552409590339,0.1265636486858843,0.12571166436222855,0.12615447295014573,0.1242753566646631,0.1257272667947536,0.12385654235051016
0.00030888435964774815,0.12333338685300359,0.12333338685299934,0.12727989977780174,0.12603659584798035,0.12668171631685843,0.12394199154839212,0.12605748593509808,0.1233355368678664
0.0004498432668969444,0.12257317555430032,0.12257317555430738,0.1283259634366252,0.12650997173517717,0.1274499659897573,0.12345355144916738,0.1265364910625108,0.12257770521815453
0.0006551285568595509,0.12146656138915564,0.12146656138913259,0.12985554092372587,0.12719966851360265,0.1285695488382831,0.12273608274356593,0.1272299610075153,0.12147607519501895
0.0009540954763499944,0.1198563230242055,0.1198563230242022,0.13209580056913386,0.12820458852380046,0.13020130127868465,0.12167855718018385,0.1282308914109121,0.11987621498887725
0.0013894954943731374,0.11751503275153838,0.11751503275153985,0.13538409546599994,0.12966866143388747,0.1325793431406095,0.12011274128558933,0.12966875434061167,0.11755633883022391
0.0020235896477251557,0.11411596066380321,0.11411596066378003,0.14022381058368424,0.1318006091999842,0.13604293652430297,0.11778140421957402,0.13171846393887152,0.11420085420599993
0.0029470517025518097,0.10919650203538668,0.10919650203537308,0.1473680742708287,0.13490042380028802,0.14107808914966236,0.11428916823349385,0.13460298080278507,0.10936825967218226
0.004291934260128779,0.10212220537134961,0.10212220537134443,0.15793804685268387,0.13939009519467202,0.1483617364875993,0.10903242778674876,0.13857192314286532,0.1024613597927368
0.0062505519252739694,0.09208476493110397,0.09208476493110494,0.1735599097775436,0.1458331307434802,0.1587736285548948,0.10112308070662436,0.1438114671726364,0.09272925318261166
0.009102981779915217,0.07823657532670537,0.07823657532669194,0.196408660439877,0.15488853269199163,0.17325957766260588,0.08939276075330076,0.1501893309237372,0.07938798687509016
0.013257113655901081,0.060203563226211294,0.06020356322624125,0.22875572310970474,0.16706101764406522,0.19225004057881925,0.07275810703237313,0.1567043585311699,0.06206362665141521
0.019306977288832496,0.03926786569331089,0.03926786569330006,0.27109676118791526,0.18207745760424637,0.21421075489061614,0.05146785948554282,0.16079311056350384,0.041818324881564554
0.02811768697974228,0.019595948958609537,0.01959594895859548,0.31830245730638973,0.1983077959298058,0.2339169111515019,0.02906060983758939,0.15892429671015537,0.02229603114735269
0.040949150623804234,0.006525156278686123,0.00652515627868542,0.35740201791300824,0.2138818512726806,0.24446649713030325,0.011825396309161717,0.15089636912608764,0.008477555691387056
0.05963623316594643,0.0012390996741225018,0.001239099674119956,0.37354476260317404,0.228134165455806,0.24565784157704113,0.0031218273078177645,0.14498732601874792,0.0020758776891706488
0.08685113737513521,0.00011346786708074874,0.0001134678670692495,0.3582276158085389,0.23775191373060958,0.24731777384226725,0.0004620683768828552,0.1557231232553861,0.0002905692521653137
0.12648552168552957,4.1407392646520774e-06,4.14073926527742e-06,0.31106049168370115,0.23368728230405672,0.2606322575880866,2.8865079579353526e-05,0.19456469140541846,1.8130460627702452e-05
0.18420699693267145,4.2908275158368514e-08,4.2908278303245325e-08,0.24028457921253493,0.2054843030541459,0.29348764784584946,4.685292375489298e-07,0.26074260535678245,3.1018489625870383e-07
0.2682695795279725,1.0909245878349923e-11,1.0907081667492737e-11,0.15856750502344352,0.14941268843462677,0.35052755380879547,4.353442617050449e-10,0.3414922521545213,1.2145237955987726e-10
0.3906939937054613,1.3736486077227608e-16,1.831531476963681e-16,0.0811116600103311,0.08005828401312265,0.4199410554226565,3.3396831775259627e-15,0.41888900055387784,8.381402833058409e-15
0.5689866029018293,2.8968737090427447e-16,3.862498278723659e-16,0.2501191751445937,0.24988082504158723,0.24988082931109157,2.1827264442861524e-14,0.25011917050268356,2.1478357127644784e-14
