s,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
0.0001,0.11078190200905425,0.11078190200905062,0.11159455191395432,0.11127829207131536,0.11085898057707697,0.11157040993971964,0.11093957302194189,0.11141200077456558,0.1107823876833215
0.00014563484775012445,0.11063145818653267,0.11063145818652906,0.11181515318725048,0.11135437886686061,0.11074488401225711,0.11178014347742923,0.11086087353380701,0.11154916300235697,0.11063248754697685
0.00021209508879201905,0.11041212965790814,0.11041212965790127,0.11213639988866021,0.11146495460656813,0.11057979707258662,0.11208573381070396,0.11074579547974842,0.11174875005423208,0.1104143097716912
0.00030888435964774815,0.11009223354898733,0.11009223354897782,0.11260417173653109,0.11162548827348319,0.110341656187043,0.11253108344811735,0.11057722662926771,0.11203905839167749,0.11009684823591506
0.0004498432668969444,0.10962537389093908,0.10962537389092261,0.1132851971214917,0.11185819475997431,0.10999966895935667,0.11318029134344917,0.11032969462470676,0.11246107304216076,0.10963513236699904
0.0006551285568595509,0.10894348616682867,0.1089434861668244,0.11427637905643118,0.11219472664902704,0.10951183001274034,0.11412702674255806,0.10996497586156398,0.11307399556567564,0.10896409377835069
0.0009540954763499944,0.10794654117504499,0.10794654117503864,0.11571800799783676,0.11267960831321451,0.10882291070854877,0.11550829617608642,0.10942515469315102,0.11396296752326027,0.10798997223781873
0.0013894954943731374,0.10648738685335778,0.10648738685336556,0.11781185320703354,0.11337406553434673,0.10786491230073396,0.11752462894535405,0.10862154646219496,0.11524957856200262,0.1065786412816107
0.0020235896477251557,0.10434997798954691,0.10434997798953756,0.12084394193726504,0.11435873475083073,0.10656445427730035,0.1204694135214777,0.10741717528796017,0.11710547610654842,0.10454084813953306
0.0029470517025518097,0.1012202408016263,0.10122024080163629,0.12520675420117755,0.11573036836481834,0.10486643925467326,0.12477051475880024,0.10560034050398642,0.11976836058906155,0.10161674072422008
0.004291934260128779,0.0966547915215319,0.09665479152151431,0.13139807937465728,0.1175784810651157,0.10279045903552989,0.13104586142568359,0.10285054758987457,0.12355713464669527,0.09746985381939728
0.0062505519252739694,0.09007436556405553,0.09007436556405371,0.13992081407029297,0.11990430285995873,0.10053910219923062,0.1401676807491283,0.09871678855897102,0.12887972344989077,0.09172285698441826
0.009102981779915217,0.08086863056448616,0.08086863056449418,0.1508724614954787,0.12239361435829516,0.09863981036433815,0.15331239465802673,0.09268944702388618,0.13623568165697988,0.08411932931401483
0.013257113655901081,0.06880121136512196,0.06880121136510924,0.16279328760595485,0.12390175890804948,0.09791500471280482,0.1719566836672826,0.0845720439571128,0.14629638537791165,0.07496241304065265
0.019306977288832496,0.05482485994404825,0.05482485994404687,0.17058759495273995,0.12173394996252147,0.09865333536350027,0.19782819154075817,0.07532783752440775,0.16040713617975777,0.06581223458821953
0.02811768697974228,0.04144756461876648,0.04144756461875455,0.16499760064320423,0.11201867075600484,0.09858568530878473,0.2327763636406908,0.0675110995567016,0.18183356130224448,0.059381889554848334
0.040949150623804234,0.03081554609757516,0.030815546097575097,0.13960111484444762,0.09317894697931131,0.09241643507615444,0.27745367021403783,0.06301326575230701,0.2157518603700359,0.05695361456855556
0.05963623316594643,0.022417435801655474,0.02241743580164661,0.100329750499825,0.0686790337181007,0.07661158064337274,0.32867591427091136,0.05990745344324329,0.2650256297167983,0.055935766104446685
0.08685113737513521,0.014681987680714416,0.014681987680715042,0.059988330358051685,0.04340530182030847,0.05330829008362583,0.3816289786541418,0.05327089831561761,0.3278302502248574,0.051203975181967766
0.12648552168552957,0.0076033859330973475,0.00760338593309869,0.027941516495729964,0.0214996676689829,0.02868506286105009,0.4319693763109835,0.03899924838214918,0.3973641894689735,0.03833416694593495
0.18420699693267145,0.0026683589361511076,0.002668358936150685,0.008916499933982917,0.007217872806256787,0.01043308340490536,0.4713622423654806,0.020005394848853456,0.45681588124210026,0.01991230752611888
0.2682695795279725,0.0005303729573225803,0.00053037295732177,0.0016312450757209813,0.0013703531953914345,0.0021441477321792763,0.4926224198120973,0.005910048768898075,0.48935461970609584,0.005906419794972613
0.3906939937054613,4.650651366239772e-05,4.6506513662923345e-05,0.00013349205381347484,0.00011517128457910572,0.00019478017390488306,0.49913001343444563,0.0007588034163921583,0.49881594407951474,0.0007587825300246812
0.5689866029018293,1.1857720596831686e-06,1.1857720604187206e-06,3.2761480749720922e-06,2.864394799937195e-06,5.230672839915851e-06,0.4999708899706228,2.691083018080818e-05,0.4999615456159571,2.691082340442108e-05
0.8286427728546842,5.14718906844232e-09,5.14718981796485e-09,1.4187930184401058e-08,1.2387997135276122e-08,2.417816839266469e-08,0.49999984326400293,1.5246194573485928e-07,0.4999997907636268,1.524619498248464e-07
1.2067926406393288,4.2834048841446516e-15,4.946641769431566e-15,9.644569706880539e-15,1.1127641075369332e-14,2.001685766289533e-14,0.49999999999984635,1.208933455903536e-13,0.49999999999986205,1.2070911312221833e-13
1.7575106248547894,1.7342648494769896e-15,1.1286485528342313e-15,2.3307051416251604e-15,3.89980191019958e-15,6.404851137221898e-15,0.4999999999998905,1.0310158650118229e-13,0.49999999999990624,8.460276144009442e-14
