s,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,U,W
0.0001,0.14260120156771347,0.14260120156770661,0.143528704203629,0.14326758293824032,0.14253685235398897,0.14286239252677047,0.1426020648419512
0.00014563484775012445,0.14248384907400788,0.14248384907398767,0.14383524891667224,0.14345499443782161,0.14239212357828845,0.1428642549839049,0.14248567993531724
0.00021209508879201905,0.1423123268287994,0.1423123268287963,0.14428176091175768,0.14372804581041612,0.1421829584824583,0.1428663728685111,0.14231620826926122
0.00030888435964774815,0.1420612375389911,0.14206123753897787,0.14493216494380673,0.1441259288697134,0.14188175949456375,0.14286820643264497,0.14206946518130203
0.0004498432668969444,0.14169285811889215,0.1416928581188942,0.14587956101633304,0.14470581750446912,0.14145036117485857,0.14286825096185846,0.14171029310469438
0.0006551285568595509,0.1411507481294058,0.14115074812939687,0.14725939223448295,0.14555109938200148,0.1408374977232712,0.14286283506026254,0.1411876793411792
0.0009540954763499944,0.14034969819458618,0.1403496981945716,0.14926820422080847,0.14678326677454853,0.139977645373961,0.14284360634822277,0.14042788089330138
0.0013894954943731374,0.13915978242130833,0.13915978242131144,0.15218943715742828,0.14857865522364577,0.13879473146484686,0.14279247097483175,0.13932514033662757
0.0020235896477251557,0.13738121536133405,0.1373812153613405,0.15642588700192675,0.1511905783945351,0.13721864324860195,0.14267199679191608,0.13773046384034565
0.0029470517025518097,0.13470649173869592,0.13470649173868324,0.16253038187803565,0.15497343230361307,0.1352313584063703,0.1424092928969567,0.1354425510376452
0.004291934260128779,0.13067165353844112,0.1306716535384311,0.17119829183310062,0.16039015848297328,0.1329736471012492,0.14187687236243315,0.13221772314337163
0.0062505519252739694,0.1246262423032512,0.12462624230324952,0.18310221361529178,0.1679346863064773,0.13095116727590342,0.1409033159954023,0.12785613220042444
0.009102981779915217,0.11584309280193707,0.11584309280193995,0.19825404085699327,0.17776789319504113,0.13031045191943574,0.13945201596625442,0.1225294124583985
0.013257113655901081,0.10406496173863837,0.10406496173863762,0.21438661819437924,0.18866123261212148,0.13279390542767577,0.1383444009711911,0.11768391931735657
0.019306977288832496,0.09064120950507243,0.09064120950506745,0.22479976595865672,0.1962258872192463,0.1392676841152982,0.14086423150349142,0.11756001219316747
0.02811768697974228,0.07871651503726636,0.07871651503725204,0.21999097022127675,0.19315203541997975,0.14675240269057352,0.1534811258671674,0.1291904357264843
0.040949150623804234,0.06997276397979202,0.06997276397979439,0.19658142982265017,0.17558668609249733,0.14909723312510473,0.18128055816960467,0.15750856483055664
0.05963623316594643,0.0623156418944223,0.06231564189443665,0.1618108303121626,0.14834543611882656,0.14326282710504176,0.22153692031867603,0.20041270235643416
0.08685113737513521,0.05357273996619065,0.053572739966186694,0.1259627657659009,0.11931526808124149,0.13132405501494282,0.2656975852950468,0.25055484591049076
0.12648552168552957,0.04414405250352509,0.04414405250352847,0.09589550197564752,0.09364111216112747,0.11759711059873934,0.3060075985861306,0.2985705716713016
0.18420699693267145,0.035407029126359756,0.03540702912635989,0.07374922522583123,0.07330105002150455,0.10555370821625708,0.33933240161355793,0.3372495566701296
0.2682695795279725,0.02806845785355414,0.028068457853558753,0.05770535616864875,0.05766333402718949,0.09533735692272403,0.3667124208226418,0.36644461635168313
0.3906939937054613,0.022176253164433547,0.02217625316443189,0.04544765250385541,0.04544630120515056,0.08556849113911456,0.3895983246981267,0.38958672412488726
0.5689866029018293,0.01761944165655616,0.017619441656554206,0.03602484797780119,0.036024838710328494,0.0759130110519159,0.40839926205479443,0.40839915689204964
0.8286427728546842,0.014249613949870368,0.014249613949870498,0.029046985491572683,0.029046985491571056,0.06671451654241167,0.42334614228735185,0.42334614228735185
1.2067926406393288,0.011887467904982792,0.011887467904983223,0.024139351031884262,0.02413935103188477,0.05827466866102194,0.43483584673262154,0.43483584673262154
1.7575106248547894,0.01035282051688463,0.010352820516883922,0.02092946180657331,0.02092946180657483,0.050745855234731775,0.4433447900591757,0.4433447900591758
2.559547922699533,0.009476002479452846,0.009476002479452296,0.019070563212817054,0.01907056321281554,0.04417233133806173,0.44936726863870025,0.44936726863870025
3.727593720314938,0.009082203765872916,0.009082203765872278,0.01821221965174444,0.01821221965174496,0.03853656054788307,0.45343729630844115,0.45343729630844115
5.428675439323859,0.008977117521600773,0.008977117521600663,0.017966240579697396,0.01796624057969805,0.03378963194371521,0.4561618259268439,0.4561618259268439
7.9060432109076855,0.008985183381367971,0.00898518338136782,0.017971778087798356,0.01797177808779814,0.02985794544533647,0.45811406580816566,0.45811406580816566
11.513953993264458,0.009012601334308522,0.009012601334308206,0.01802525570650131,0.018025255706503037,0.026645301359472875,0.459639492279453,0.45963949227945294
16.768329368110066,0.009036547874052945,0.00903654787405369,0.018073096124028375,0.01807309612402644,0.02405285722530399,0.4608639273892673,0.46086392738926724
24.420530945486497,0.009055566674791246,0.009055566674790889,0.018111133349580553,0.01811113334958264,0.021998799122421284,0.46183390041441685,0.4618339004144166
35.564803062231285,0.009070139342973843,0.009070139342973632,0.018140278685947822,0.01814027868594776,0.020424950958839408,0.4625771064916586,0.46257710649165884
51.79474679231202,0.00908056079175288,0.009080560791753426,0.01816112158350609,0.01816112158350529,0.019299434490701387,0.4631086003793905,0.4631086003793905
75.43120063354607,0.00908697821304414,0.009086978213044107,0.01817395642608615,0.018173956426086157,0.018606352991008164,0.4634358888653655,0.46343588886536574
109.85411419875572,0.009089932754244434,0.009089932754244157,0.018179865508487755,0.018179865508487988,0.01828726254162257,0.46358657046645635,0.46358657046645674
159.98587196060572,0.009090780296384056,0.009090780296384125,0.018181560592766224,0.018181560592766727,0.018195727990370288,0.4636297951156643,0.4636297951156642
232.99518105153672,0.009090902348887653,0.0090909023488877,0.018181804697774934,0.0181818046977747,0.018182546320201713,0.4636360197932366,0.4636360197932366
339.3221771895323,0.009090908999072854,0.009090908999072897,0.018181817998144795,0.018181817998143952,0.01818182809996702,0.4636363589527991,0.46363635895279937
