M,X,Y,Z,W'
5,0.24999999999999956,0.4285714285714292,0.2499999999999998,0.0714285714285714
10,0.11111111111111159,0.11111111111111159,0.11111111111111154,0.6666666666666652
15,0.08695652176748507,0.08695652176748549,0.08695652176748613,0.7391304346975434
20,0.0714285714285716,0.0714285714285716,0.07142857142857166,0.7857142857142851
25,0.06060606060606056,0.06060606060606084,0.06060606060606078,0.8181818181818178
30,0.05263157890581697,0.052631578905816635,0.05263157890581706,0.8421052632825493
35,0.046511627944834696,0.046511627944834696,0.046511627944834565,0.860465116165496
40,0.041666666666665776,0.04166666666666547,0.04166666666666544,0.8750000000000034
45,0.03773584902456494,0.03773584902456513,0.03773584902456502,0.8867924529263048
50,0.034482758620689065,0.03448275862068838,0.03448275862068849,0.896551724137934
55,0.0317460317737451,0.03174603177374571,0.03174603177374518,0.9047619046787639
60,0.029411764757785903,0.029411764757786323,0.029411764757786545,0.9117647057266411
65,0.027397260298366304,0.027397260298366498,0.027397260298365998,0.9178082191049011
70,0.0256410256640358,0.02564102566403552,0.025641025664034967,0.9230769230078938
75,0.024096385487736082,0.0240963854877365,0.02409638548773636,0.9277108435367911
80,0.02272727272727205,0.022727272727272384,0.022727272727271805,0.9318181818181838
85,0.021505376373570577,0.02150537637357091,0.02150537637357052,0.9354838708792881
90,0.020408163246563714,0.020408163246564023,0.02040816324656419,0.9387755102603081
95,0.019417475746065678,0.01941747574606654,0.01941747574606615,0.9417475727618018
100,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
105,0.017699115003132013,0.017699115003131958,0.017699115003132097,0.9469026549906039
110,0.016949152558173395,0.016949152558172927,0.01694915255817315,0.9491525423254805
115,0.016260162647235017,0.016260162647235545,0.016260162647235933,0.9512195120582936
120,0.015624999941405354,0.015624999941405466,0.015624999941405048,0.953125000175784
125,0.015037593984961945,0.015037593984961945,0.015037593984962029,0.9548872180451141
130,0.01449275363684129,0.014492753636841153,0.014492753636841623,0.9565217390894759
135,0.013986013972812208,0.013986013972813068,0.013986013972813346,0.9580419580815613
140,0.013513513436812934,0.013513513436811822,0.013513513436811186,0.9594594596895641
145,0.013071895381477187,0.01307189538147702,0.013071895381476937,0.960784313855569
150,0.01265822790818649,0.01265822790818613,0.012658227908186047,0.9620253162754412
155,0.012269938644473354,0.012269938644474074,0.012269938644473158,0.9631901840665793
160,0.011904761904764005,0.011904761904764477,0.011904761904763505,0.964285714285708
165,0.011560693713289492,0.011560693713289799,0.011560693713290243,0.9653179188601304
170,0.011235954981063112,0.011235954981062973,0.011235954981062724,0.9662921350568112
175,0.010928961722507027,0.010928961722507331,0.010928961722507027,0.9672131148324786
180,0.010638297953825383,0.010638297953826021,0.010638297953826216,0.9680851061385224
185,0.010362694290585015,0.010362694290585207,0.010362694290585376,0.9689119171282444
