M,X,Y,Z,V',W'
5,0.19999999999999973,0.3250000000000002,0.2,0.20000000000000004,0.0750000000000001
10,0.11320754716981081,0.11320754716980971,0.07547169811320603,0.018867924528301664,0.6792452830188719
15,0.08823529414684232,0.08823529414684184,0.058823529431227706,0.014705882357807053,0.7499999999172812
20,0.07228915662650615,0.07228915662650671,0.048192771084338004,0.012048192771084498,0.7951807228915646
25,0.06122448979592031,0.06122448979592161,0.04081632653061465,0.010204081632653387,0.82653061224489
30,0.053097345090453184,0.05309734509045293,0.035398230060301426,0.00884955751507517,0.8495575222437173
35,0.046875000038449896,0.04687500003844904,0.03125000002563283,0.007812500006408167,0.86718749989106
40,0.04195804195804761,0.04195804195805007,0.027972027972034484,0.006993006993008741,0.881118881118859
45,0.03797468351185631,0.037974683511856386,0.025316455674570217,0.006329113918642372,0.8924050633830747
50,0.03468208092485481,0.03468208092485399,0.02312138728323724,0.0057803468208093445,0.9017341040462445
55,0.03191489364503246,0.0319148936450327,0.021276595763355277,0.005319148940839191,0.9095744680057404
60,0.029556650298717603,0.029556650298715622,0.019704433532476997,0.004926108383119309,0.9162561574869704
65,0.027522935804437213,0.02752293580443815,0.018348623869625123,0.004587155967406188,0.9220183485540934
70,0.02575107298458742,0.02575107298458955,0.01716738198972708,0.0042918454974312445,0.9270386265436646
75,0.024193548332223286,0.024193548332224615,0.01612903222148373,0.004032258055370936,0.9314516130586975
80,0.022813688212934537,0.0228136882129363,0.015209125475292141,0.0038022813688236077,0.9353612167300135
85,0.02158273384265032,0.021582733842652496,0.014388489228436406,0.0035971223071091306,0.9388489207791516
90,0.020477815680789907,0.02047781568078993,0.013651877120527369,0.0034129692801323297,0.9419795222377605
95,0.019480519498546824,0.01948051949854567,0.01298701299903045,0.003246753249757606,0.9448051947541194
100,0.018575851393193916,0.018575851393193718,0.012383900928796895,0.0030959752321998942,0.9473684210526157
105,0.017751479248579283,0.01775147924857881,0.0118343194990522,0.0029585798747630305,0.9497041421290267
110,0.016997167154697,0.016997167154696697,0.011331444769797474,0.0028328611924490145,0.9518413597283598
115,0.016304347871944475,0.016304347871945863,0.010869565247963819,0.0027173913119904057,0.9538043476961554
120,0.01566579628575006,0.015665796285750114,0.01044386419050025,0.002610966047625039,0.9556135771903744
125,0.015075376884415325,0.015075376884412402,0.010050251256273965,0.002512562814068498,0.9572864321608299
130,0.014527845050033145,0.01452784505003196,0.00968523003335414,0.0024213075083380723,0.9588377723582427
135,0.014018691575517958,0.014018691575517559,0.009345794383678142,0.0023364485959197685,0.9602803738693665
140,0.013544017981649028,0.013544017981650735,0.009029345321100892,0.002257336330274846,0.9616252823853246
145,0.013100436637674996,0.01310043663767434,0.008733624425115943,0.0021834061062791094,0.9628820961932556
150,0.012684989489516709,0.012684989489517594,0.008456659659678636,0.0021141649149196053,0.9640591964463674
155,0.012295081961349725,0.01229508196134935,0.008196721307564957,0.0020491803268909473,0.9651639344428451
160,0.011928429423458599,0.011928429423457124,0.007952286282304839,0.0019880715705761424,0.9662027833002033
165,0.011583011654959863,0.011583011654960024,0.007722007769974836,0.0019305019424937526,0.9671814669776116
170,0.011257035571881926,0.011257035571882006,0.007504690381255078,0.0018761725953137796,0.9681050658796673
175,0.010948905083267563,0.010948905083267738,0.007299270055511668,0.0018248175138782937,0.9689781022640747
180,0.010657193687457395,0.010657193687456589,0.007104795791637219,0.0017761989479097757,0.9698046178855391
185,0.010380622827402182,0.010380622827400215,0.006920415218267422,0.001730103804566825,0.9705882353223634
190,0.010118043854580714,0.010118043854580174,0.006745362569718809,0.0016863406424298237,0.9713322090786904
195,0.009868421000414665,0.009868421000415758,0.006578947333611652,0.0016447368334033448,0.9720394738321546
200,0.009630818619583986,0.009630818619584404,0.006420545746390031,0.001605136436597248,0.9727126805778443
205,0.009404388750992965,0.009404388750994034,0.006269592500662481,0.0015673981251654143,0.9733542318721851
210,0.009188361479799264,0.009188361479798885,0.0061255743198661994,0.0015313935799665024,0.9739663091405691
215,0.00898203594548395,0.008982035945482083,0.0059880239636540275,0.001497005990913693,0.9745508981544664
220,0.00878477297513878,0.008784772975138442,0.005856515316759376,0.0014641288291901385,0.9751098099037734
225,0.008595988455563478,0.008595988455566674,0.005730658970378902,0.0014326647425953077,0.9756446993758955
230,0.008415147289512603,0.008415147289513116,0.0056100981930088355,0.001402524548252544,0.9761570826797129
235,0.008241758149977638,0.008241758149979413,0.005494505433321406,0.001373626358330748,0.9766483519083907
240,0.008075370183735994,0.008075370183737742,0.005383580122492005,0.001345895030623147,0.9771197844794111
245,0.007915567370586433,0.00791556737058669,0.005277044913724071,0.0013192612284303326,0.9775725591166725
250,0.007761966364813057,0.007761966364813763,0.0051746442432088315,0.0012936610608019704,0.9780077619663623
255,0.007614213146222064,0.007614213146221561,0.005076142097480443,0.0012690355243704433,0.9784263960857055
260,0.00747197998762295,0.00747197998762314,0.0049813199917490905,0.0012453299979374084,0.9788293900350674
265,0.007334963314486912,0.00733496331448554,0.004889975542990146,0.0012224938857473735,0.97921760394229
270,0.007202881145458109,0.0072028811454595085,0.004801920763639858,0.001200480190909883,0.9795918367545325
275,0.00707547162927769,0.0070754716292784235,0.004716981086186236,0.0011792452715465352,0.9799528303837111
280,0.006952491363523273,0.006952491363523668,0.004634994242349424,0.001158748560586781,0.9803012744700168
285,0.006833712927493099,0.0068337129274945695,0.004555808618330016,0.00113895215458196,0.9806378133721004
290,0.006718925044004868,0.0067189250440036164,0.0044792833626689545,0.0011198208406672456,0.9809630457086553
295,0.006607929499316554,0.0066079294993177246,0.00440528633287861,0.0011013215832191656,0.9812775330852681
300,0.006500541648424893,0.006500541648425397,0.004333694432284138,0.001083423608071106,0.9815817986627946
305,0.006396588439339772,0.006396588439338709,0.004264392292892201,0.0010660980732228695,0.9818763327552065
310,0.006295907752185095,0.006295907752186757,0.004197271834792381,0.001049317958697809,0.982161594702138
315,0.006198347155848319,0.006198347155851005,0.004132231437234158,0.0010330578593083042,0.9824380163917583
320,0.006103763987796023,0.0061037639877979735,0.0040691759918658615,0.0010172939979659265,0.9827060020345743
325,0.0060120240921398204,0.006012024092138525,0.0040080160614246515,0.001002004015355784,0.9829659317389412
330,0.005923000929281444,0.0059230009292822626,0.003948667286188434,0.0009871668215471086,0.9832181640337007
335,0.005836575824130252,0.005836575824128273,0.0038910505494198088,0.0009727626373550272,0.9834630351649666
340,0.005752636681377747,0.005752636681378198,0.0038350911209187066,0.0009587727802292637,0.9837008627360961
