s,XY,XV,YX,YV,VX,VY
0.0001,1036.4421086586465,1034.8189838340083,1034.5087938081463,1033.8542357144627,1033.481542583304,1034.4463362186034
0.00014563484775012445,1036.8831861662472,1034.5195512959542,1034.0676141544234,1033.115790211168,1032.5734975396886,1033.9773306842437
0.00021209508879201905,1037.5254977130446,1034.0836420287005,1033.4250568850164,1032.0419579962343,1031.2531961913214,1033.2950396397166
0.00030888435964774815,1038.4608382173456,1033.4491913092024,1032.489222650772,1030.4814474797172,1029.3348622797544,1032.3029321358474
0.0004498432668969444,1039.8228032134862,1032.5260260676862,1031.1261956460594,1028.215932290762,1026.5506320108693,1030.8613565865994
0.0006551285568595509,1041.8057815908476,1031.1833402231496,1029.1409450704994,1024.9316176368513,1022.515980620174,1028.7688898919773
0.0009540954763499944,1044.6924907565424,1029.2316690662014,1026.249458472045,1020.1803109792429,1016.6827707199094,1025.7361952277065
0.0013894954943731374,1048.8934857567058,1026.3974316009342,1022.0383017281579,1013.3276444505007,1008.2775856962326,1021.3504748471969
0.0020235896477251557,1055.0037502329562,1022.2872958338792,1015.9065012881313,1003.4879858809998,996.2263549169552,1015.0282771590868
0.0029470517025518097,1063.8814665602622,1016.3396279432396,1006.9831569380399,989.4504270437717,979.0735476234742,1005.9567481079952
0.004291934260128779,1076.7529877600655,1007.7616451164859,994.0150875870639,969.6117355162528,954.9233967635114,993.0274312075932
0.0062505519252739694,1095.33680426603,995.455411840003,975.2274531529545,941.9563032371378,921.4674929639431,974.7778476648741
0.009102981779915217,1121.9419982062986,977.9501299292879,948.194239767394,904.1644399247535,876.2280417319407,949.3760306016837
0.013257113655901081,1159.388542616791,953.3902479226554,909.8583440525947,853.9864535153424,817.2210048261428,914.7167367839837
0.019306977288832496,1210.3565975743693,919.6863796927142,857.0808412111043,790.0484938930454,744.217280087898,868.7347956562028
0.02811768697974228,1275.5087816538407,874.9859416152184,788.3868003573419,713.1202745177341,660.333346110351,810.0405271378113
0.040949150623804234,1350.4426430983444,818.5063799338081,706.9355722947963,627.3317676214131,572.5249874984607,738.8444639275847
0.05963623316594643,1424.8464774034621,751.2942223649702,621.4298396219843,539.9189450913626,488.90265912206655,657.779658882107
0.08685113737513521,1488.1277506473361,676.0739841247475,540.450488170113,458.19756846788823,414.0140586083971,571.8766276352263
0.12648552168552957,1534.8497902821457,596.2285164113181,466.65532012563506,385.67241570799985,347.79053987652844,487.26341446109615
0.18420699693267145,1561.9343257108546,515.1459669418659,400.34898381025033,321.90696683516035,289.59037180244894,409.1387828626802
0.2682695795279725,1565.2516815569375,436.2712322883245,0.0,265.33574742332564,0.0,340.12045913887795
0.3906939937054613,1540.0456150551988,363.0092578184367,0.0,353.57027709094456,0.0,280.23898000724614
0.5689866029018293,1483.1200980276683,297.9967143480271,0.0,0.0,0.0,228.76424979314297
0.8286427728546842,1396.2146833367854,242.34014582011747,0.0,0.0,0.0,189.8972271745549
1.2067926406393288,1289.751191886438,196.01325198684864,0.0,0.0,0.0,0.0
1.7575106248547894,1183.7987327782616,159.16553367536858,0.0,0.0,0.0,0.0
2.559547922699533,1101.5415147414062,215.27775460277957,0.0,0.0,0.0,0.0
3.727593720314938,1055.4784683268256,0.0,0.0,0.0,0.0,0.0
5.428675439323859,1038.9525670962523,0.0,0.0,0.0,0.0,0.0
7.9060432109076855,1035.7464888712238,0.0,0.0,0.0,0.0,0.0
11.513953993264458,1035.4820889783464,0.0,0.0,0.0,0.0,0.0
16.768329368110066,1035.4755328702595,0.0,0.0,0.0,0.0,0.0
24.420530945486497,1035.4755035512246,0.0,0.0,0.0,0.0,0.0
35.564803062231285,1035.4755035279243,0.0,0.0,0.0,0.0,0.0
51.79474679231202,1035.475503527924,0.0,0.0,0.0,0.0,0.0
75.43120063354607,1035.475503527924,0.0,0.0,0.0,0.0,0.0
109.85411419875572,1035.475503527924,0.0,0.0,0.0,0.0,0.0
159.98587196060572,1035.475503527924,0.0,nan,0.0,nan,0.0
232.99518105153672,1035.475503527924,0.0,nan,nan,nan,0.0
339.3221771895323,1035.475503527924,0.0,nan,nan,nan,0.0
494.1713361323828,1035.475503527924,0.0,nan,nan,nan,0.0
719.6856730011514,1035.475503527924,0.0,nan,nan,nan,nan
1048.1131341546852,1035.475503527924,0.0,nan,nan,nan,nan
1526.4179671752302,1035.475503527924,nan,nan,nan,nan,nan
2222.996482526191,1035.475503527924,nan,nan,nan,nan,nan
3237.45754281764,1035.475503527924,nan,nan,nan,nan,nan
4714.8663634573895,1035.475503527924,nan,nan,nan,nan,nan
6866.488450042998,1035.475503527924,nan,nan,nan,nan,nan
10000.0,1035.475503527924,nan,nan,nan,nan,nan
