s,XY,XZ,XV,YX,YZ,YV,ZX,ZY,ZV,VX,VY,VZ
0.0001,1036.4421086586465,1034.463130875736,1034.8187200249993,1034.5087938081463,1036.4884705685254,1033.8542357144627,1035.689250701553,1035.260904995186,1035.539718356637,1036.132237645769,1034.4463362186034,1035.1717291896691
0.00014563484775012445,1036.8831861662472,1034.001327094013,1034.5189908488912,1034.0676141544234,1036.9509327945784,1033.115790211168,1035.7865067344255,1035.1626842794426,1035.5689933501815,1036.431923996517,1033.9773306842437,1035.0331243532708
0.00021209508879201905,1037.5254977130446,1033.3290172061008,1034.0824532263086,1033.4250568850164,1037.6246419460022,1032.0419579962343,1035.9278241547963,1035.0193349147198,1035.6116010260118,1036.8683446839455,1033.2950396397166,1034.831274289765
0.00030888435964774815,1038.4608382173456,1032.3503751709811,1033.446673345214,1032.489222650772,1038.6062695823146,1030.4814474797172,1036.1329543278027,1034.8098844639114,1035.6735951882658,1037.5038897215436,1032.3029321358474,1034.5373686096602
0.0004498432668969444,1039.8228032134862,1030.9261445298382,1032.5206951892942,1031.1261956460594,1040.0368108826976,1028.215932290762,1036.4302620811598,1034.5034350192418,1035.7637559467564,1038.429379157383,1030.8613565865994,1034.1094129269832
0.0006551285568595509,1041.8057815908476,1028.8541822385203,1031.1720443934435,1029.1409450704994,1042.122163091769,1024.9316176368513,1036.8601687096238,1034.0541091963921,1035.894773194926,1039.7769893599218,1028.7688898919773,1033.4863683633935
0.0009540954763499944,1044.6924907565424,1025.841456496279,1029.207721220133,1026.249458472045,1045.163291523691,1020.1803109792429,1037.4797518770563,1033.393354970468,1036.085015497402,1041.739100069337,1025.7361952277065,1032.5793890826592
0.0013894954943731374,1048.8934857567058,1021.464332765152,1026.3467162610482,1022.0383017281579,1049.600620938781,1013.3276444505007,1038.368198799685,1032.4176167761816,1036.3608255176202,1044.5954154260617,1021.3504748471969,1031.2594066813092
0.0020235896477251557,1055.0037502329562,1015.1128302772146,1022.1799409739557,1015.9065012881313,1056.0797054006018,1003.4879858809998,1039.632457856086,1030.9683339837413,1036.7598639797302,1048.7522503297885,1015.0282771590868,1029.3389350820355
0.0029470517025518097,1063.8814665602622,1005.9147414846824,1016.1127032723394,1006.9831569380399,1065.5479046885478,989.4504270437717,1041.4103599228301,1028.7985299741108,1037.335421533935,1054.798398400182,1005.9567481079952,1026.5461425843275
0.004291934260128779,1076.7529877600655,992.6378154888723,1007.283106825858,994.0150875870639,1079.3954698923158,969.6117355162528,1043.8641289045815,1025.5158551842335,1038.161718290926,1063.583332591441,993.0274312075932,1022.4877626766215
0.0062505519252739694,1095.33680426603,973.5788853410625,994.4505484874909,975.2274531529545,1099.6547294856396,941.9563032371378,1047.1476824213596,1020.4845821991476,1039.339693369368,1076.3213520888517,974.7778476648741,1016.5970232604861
0.009102981779915217,1121.9419982062986,946.4805921537087,975.8569105790107,948.194239767394,1129.254912516095,904.1644399247535,1051.3113057685528,1012.659912040667,1041.00096715671,1094.7154167552426,949.3760306016837,1008.0620395469626
0.013257113655901081,1159.388542616791,908.5971625883263,949.0955072627486,909.8583440525947,1172.2548147439236,853.9864535153424,1056.0741820475666,1000.3316680369792,1043.3042452606783,1121.0576019351356,914.7167367839837,995.7323635263376
0.019306977288832496,1210.3565975743693,857.1941861483563,911.1233655328729,857.0808412111043,1233.724548833703,790.0484938930454,1060.3669624876447,980.8332742101671,1046.410045848522,1158.1583518578796,868.7347956562028,978.0089149943844
0.02811768697974228,1275.5087816538407,790.9317310295991,858.7871727703221,788.3868003573419,1318.3639098158992,713.1202745177341,1061.641193576355,950.6118385830753,1050.402415690932,1208.7201977233979,810.0405271378113,952.748936953686
0.040949150623804234,1350.4426430983444,712.1538559023719,790.5271173535815,706.9355722947963,1426.5470511229428,627.3317676214131,1055.4621462240036,906.8110724898887,1055.095748941065,1273.5022810792163,738.8444639275847,917.2852498531184
0.05963623316594643,1424.8464774034621,628.0071232126477,709.3356787664007,621.4298396219843,1549.6124109899374,539.9189450913626,1036.7893750507808,851.2282099240512,1059.6309749694378,1348.28073003287,657.779658882107,868.8046547843555
0.08685113737513521,1488.1277506473361,546.7860569374047,623.8062394723212,540.450488170113,1673.9521527271015,458.19756846788823,1003.3657117578714,792.1529781328624,1061.816614854939,1422.862821505952,571.8766276352263,805.5184238273256
0.12648552168552957,1534.8497902821457,472.2747039806984,542.6360049669391,466.65532012563506,1793.766819733968,385.67241570799985,957.4250912498107,737.4147164230569,1057.5759833111583,1486.556145363832,487.26341446109615,728.8396423459552
0.18420699693267145,1561.9343257108546,403.59277026793904,468.5813396807991,400.34898381025033,1910.0090012738945,321.90696683516035,903.1177441100664,688.3802924441965,1041.7605281153258,1533.7859725992125,409.1387828626802,645.0508500160182
0.2682695795279725,1565.2516815569375,0.0,388.63925954721947,0.0,2019.951811644026,265.33574742332564,843.9769563644564,437.78452781501295,1011.2745927673394,1561.4741084502655,340.12045913887795,562.7392131840787
0.3906939937054613,1540.0456150551988,0.0,0.0,0.0,2115.0802271832695,353.57027709094456,782.6871291269437,0.0,967.5431825450645,1565.527499305448,280.23898000724614,486.81749619198393
