s,XY,YX
0.0001,1036.4421086586465,1034.5087938081463
0.00014563484775012445,1036.8831861662472,1034.0676141544234
0.00021209508879201905,1037.5254977130446,1033.4250568850164
0.00030888435964774815,1038.4608382173456,1032.489222650772
0.0004498432668969444,1039.8228032134862,1031.1261956460594
0.0006551285568595509,1041.8057815908476,1029.1409450704994
0.0009540954763499944,1044.6924907565424,1026.249458472045
0.0013894954943731374,1048.8934857567058,1022.0383017281579
0.0020235896477251557,1055.0037502329562,1015.9065012881313
0.0029470517025518097,1063.8814665602622,1006.9831569380399
0.004291934260128779,1076.7529877600655,994.0150875870639
0.0062505519252739694,1095.33680426603,975.2274531529545
0.009102981779915217,1121.9419982062986,948.194239767394
0.013257113655901081,1159.388542616791,909.8583440525947
0.019306977288832496,1210.3565975743693,857.0808412111043
0.02811768697974228,1275.5087816538407,788.3868003573419
0.040949150623804234,1350.4426430983444,706.9355722947963
0.05963623316594643,1424.8464774034621,621.4298396219843
0.08685113737513521,1488.1277506473361,540.450488170113
0.12648552168552957,1534.8497902821457,466.65532012563506
0.18420699693267145,1561.9343257108546,400.34898381025033
0.2682695795279725,1565.2516815569375,0.0
0.3906939937054613,1540.0456150551988,0.0
0.5689866029018293,1483.1200980276683,0.0
0.8286427728546842,1396.2146833367854,0.0
1.2067926406393288,1289.751191886438,0.0
1.7575106248547894,1183.7987327782616,0.0
2.559547922699533,1101.5415147414062,0.0
3.727593720314938,1055.4784683268256,0.0
5.428675439323859,1038.9525670962523,0.0
7.9060432109076855,1035.7464888712238,0.0
11.513953993264458,1035.4820889783464,0.0
16.768329368110066,1035.4755328702595,0.0
24.420530945486497,1035.4755035512246,0.0
35.564803062231285,1035.4755035279243,0.0
51.79474679231202,1035.475503527924,0.0
75.43120063354607,1035.475503527924,0.0
109.85411419875572,1035.475503527924,0.0
159.98587196060572,1035.475503527924,nan
232.99518105153672,1035.475503527924,nan
339.3221771895323,1035.475503527924,nan
494.1713361323828,1035.475503527924,nan
719.6856730011514,1035.475503527924,nan
1048.1131341546852,1035.475503527924,nan
1526.4179671752302,1035.475503527924,nan
2222.996482526191,1035.475503527924,nan
3237.45754281764,1035.475503527924,nan
4714.8663634573895,1035.475503527924,nan
6866.488450042998,1035.475503527924,nan
10000.0,1035.475503527924,nan
