s,XY,XZ,XW,XV,YX,YZ,YW,YV,ZX,ZY,ZW,ZV,WX,WY,WZ,WV,VX,VY,VZ,VW
0.0001,1036.4421086586465,1034.463130875736,1035.475503527924,1034.8187200249993,1034.5087938081463,1036.4884705685254,1031.865267056267,1033.8542357144627,1035.689250701553,1035.260904995186,1035.689250701553,1035.539718356637,1035.475503527924,1033.7910593302986,1034.463130875736,1034.8187200249993,1036.132237645769,1034.4463362186034,1035.1717291896691,1036.132237645769
0.00014563484775012445,1036.8831861662472,1034.001327094013,1035.475503527924,1034.5189908488912,1034.0676141544234,1036.9509327945784,1030.2243752195805,1033.115790211168,1035.7865067344255,1035.1626842794426,1035.7865067344255,1035.5689933501815,1035.475503527924,1033.0239968365515,1034.001327094013,1034.5189908488912,1036.431923996517,1033.9773306842437,1035.0331243532708,1036.431923996517
0.00021209508879201905,1037.5254977130446,1033.3290172061008,1035.475503527924,1034.0824532263086,1033.4250568850164,1037.6246419460022,1027.8420680059842,1032.0419579962343,1035.9278241547963,1035.0193349147198,1035.9278241547963,1035.6116010260118,1035.475503527924,1031.9087286558693,1033.3290172061008,1034.0824532263086,1036.8683446839455,1033.2950396397166,1034.831274289765,1036.8683446839455
0.00030888435964774815,1038.4608382173456,1032.3503751709811,1035.475503527924,1033.446673345214,1032.489222650772,1038.6062695823146,1024.3882760244048,1030.4814474797172,1036.1329543278027,1034.8098844639114,1036.1329543278027,1035.6735951882658,1035.475503527924,1030.288383323232,1032.3503751709811,1033.446673345214,1037.5038897215436,1032.3029321358474,1034.5373686096602,1037.5038897215436
0.0004498432668969444,1039.8228032134862,1030.9261445298382,1035.475503527924,1032.5206951892942,1031.1261956460594,1040.0368108826976,1019.391433892479,1028.215932290762,1036.4302620811598,1034.5034350192418,1036.4302620811598,1035.7637559467564,1035.475503527924,1027.93682276556,1030.9261445298382,1032.5206951892942,1038.429379157383,1030.8613565865994,1034.1094129269832,1038.429379157383
0.0006551285568595509,1041.8057815908476,1028.8541822385203,1035.475503527924,1031.1720443934435,1029.1409450704994,1042.122163091769,1012.1840661870673,1024.9316176368513,1036.8601687096238,1034.0541091963921,1036.8601687096238,1035.894773194926,1035.475503527924,1024.5295426156638,1028.8541822385203,1031.1720443934435,1039.7769893599218,1028.7688898919773,1033.4863683633935,1039.7769893599218
0.0009540954763499944,1044.6924907565424,1025.841456496279,1035.475503527924,1029.207721220133,1026.249458472045,1045.163291523691,1001.8342661861848,1020.1803109792429,1037.4797518770563,1033.393354970468,1037.4797518770563,1036.085015497402,1035.475503527924,1019.60413133526,1025.841456496279,1029.207721220133,1041.739100069337,1025.7361952277065,1032.5793890826592,1041.739100069337
0.0013894954943731374,1048.8934857567058,1021.464332765152,1035.475503527924,1026.3467162610482,1022.0383017281579,1049.600620938781,987.068200457406,1013.3276444505007,1038.368198799685,1032.4176167761816,1038.368198799685,1036.3608255176202,1035.475503527924,1012.5086481454244,1021.464332765152,1026.3467162610482,1044.5954154260617,1021.3504748471969,1031.2594066813092,1044.5954154260617
0.0020235896477251557,1055.0037502329562,1015.1128302772146,1035.475503527924,1022.1799409739557,1015.9065012881313,1056.0797054006018,966.2015090420181,1003.4879858809998,1039.632457856086,1030.9683339837413,1039.632457856086,1036.7598639797302,1035.475503527924,1002.338513252198,1015.1128302772146,1022.1799409739557,1048.7522503297885,1015.0282771590868,1029.3389350820355,1048.7522503297885
0.0029470517025518097,1063.8814665602622,1005.9147414846824,1035.475503527924,1016.1127032723394,1006.9831569380399,1065.5479046885478,937.1247371566194,989.4504270437717,1041.4103599228301,1028.7985299741108,1041.4103599228301,1037.335421533935,1035.475503527924,987.8694393600802,1005.9147414846824,1016.1127032723394,1054.798398400182,1005.9567481079952,1026.5461425843275,1054.798398400182
0.004291934260128779,1076.7529877600655,992.6378154888723,1035.475503527924,1007.283106825858,994.0150875870639,1079.3954698923158,897.4363113925131,969.6117355162528,1043.8641289045815,1025.5158551842335,1043.8641289045815,1038.161718290926,1035.475503527924,967.5088308169635,992.6378154888723,1007.283106825858,1063.583332591441,993.0274312075932,1022.4877626766215,1063.583332591441
0.0062505519252739694,1095.33680426603,973.5788853410625,1035.475503527924,994.4505484874909,975.2274531529545,1099.6547294856396,844.8830366262611,941.9563032371378,1047.1476824213596,1020.4845821991476,1047.1476824213596,1039.339693369368,1035.475503527924,939.316770171123,973.5788853410625,994.4505484874909,1076.3213520888517,974.7778476648741,1016.5970232604861,1076.3213520888517
0.009102981779915217,1121.9419982062986,946.4805921537087,1035.475503527924,975.8569105790107,948.194239767394,1129.254912516095,778.2975870751002,904.1644399247535,1051.3113057685528,1012.659912040667,1051.3113057685528,1041.00096715671,1035.475503527924,901.1909391028136,946.4805921537087,975.8569105790107,1094.7154167552426,949.3760306016837,1008.0620395469626,1094.7154167552426
0.013257113655901081,1159.388542616791,908.5971625883263,1035.475503527924,949.0955072627486,909.8583440525947,1172.2548147439236,699.0282436794666,853.9864535153424,1056.0741820475666,1000.3316680369792,1056.0741820475666,1043.3042452606783,1035.475503527924,851.3392643675727,908.5971625883263,949.0955072627486,1121.0576019351356,914.7167367839837,995.7323635263376,1121.0576019351356
0.019306977288832496,1210.3565975743693,857.1941861483563,1035.475503527924,911.1233655328729,857.0808412111043,1233.724548833703,612.1212566179039,790.0484938930454,1060.3669624876447,980.8332742101671,1060.3669624876447,1046.410045848522,1035.475503527924,789.0806857383772,857.1941861483563,911.1233655328729,1158.1583518578796,868.7347956562028,978.0089149943844,1158.1583518578796
0.02811768697974228,1275.5087816538407,790.9317310295991,1035.475503527924,858.7871727703221,788.3868003573419,1318.3639098158992,525.4557518783059,713.1202745177341,1061.641193576355,950.6118385830753,1061.641193576355,1050.402415690932,1035.475503527924,715.6774413457583,790.9317310295991,858.7871727703221,1208.7201977233979,810.0405271378113,952.748936953686,1208.7201977233979
0.040949150623804234,1350.4426430983444,712.1538559023719,1035.475503527924,790.5271173535815,706.9355722947963,1426.5470511229428,445.8315080692855,627.3317676214131,1055.4621462240036,906.8110724898887,1055.4621462240036,1055.095748941065,1035.475503527924,634.5041566531976,712.1538559023719,790.5271173535815,1273.5022810792163,738.8444639275847,917.2852498531184,1273.5022810792163
0.05963623316594643,1424.8464774034621,628.0071232126477,1035.475503527924,709.3356787664007,621.4298396219843,1549.6124109899374,375.44242192881063,539.9189450913626,1036.7893750507808,851.2282099240512,1036.7893750507808,1059.6309749694378,1035.475503527924,550.2334851325231,628.0071232126477,709.3356787664007,1348.28073003287,657.779658882107,868.8046547843555,1348.28073003287
0.08685113737513521,1488.1277506473361,546.7860569374047,1035.475503527924,623.8062394723212,540.450488170113,1673.9521527271015,313.26722558162567,458.19756846788823,1003.3657117578714,792.1529781328624,1003.3657117578714,1061.816614854939,1035.475503527924,467.76305505207023,546.7860569374047,623.8062394723212,1422.862821505952,571.8766276352263,805.5184238273256,1422.862821505952
0.12648552168552957,1534.8497902821457,472.2747039806984,1035.475503527924,542.6360049669391,466.65532012563506,1793.766819733968,253.56895758336572,385.67241570799985,957.4250912498107,737.4147164230569,957.4250912498107,1057.5759833111583,1035.475503527924,391.3560638229605,472.2747039806984,542.6360049669391,1486.556145363832,487.26341446109615,728.8396423459552,1486.556145363832
0.18420699693267145,1561.9343257108546,403.59277026793904,1035.475503527924,468.5813396807991,400.34898381025033,1910.0090012738945,0.0,321.90696683516035,903.1177441100664,688.3802924441965,903.1177441100664,1041.7605281153258,1035.475503527924,323.6523222641173,403.59277026793904,468.5813396807991,1533.7859725992125,409.1387828626802,645.0508500160182,1533.7859725992125
0.2682695795279725,1565.2516815569375,0.0,1035.475503527924,388.63925954721947,0.0,2019.951811644026,0.0,265.33574742332564,843.9769563644564,437.78452781501295,843.9769563644564,1011.2745927673394,1035.475503527924,265.2105685996235,0.0,388.63925954721947,1561.4741084502655,340.12045913887795,562.7392131840787,1561.4741084502655
0.3906939937054613,1540.0456150551988,0.0,1035.475503527924,0.0,0.0,2115.0802271832695,0.0,353.57027709094456,782.6871291269437,0.0,782.6871291269437,967.5431825450645,1035.475503527924,215.58855637208376,0.0,0.0,1565.527499305448,280.23898000724614,486.81749619198393,1565.527499305448
0.5689866029018293,1483.1200980276683,0.0,1035.475503527924,0.0,0.0,2182.3278284762714,0.0,0.0,721.4946928757292,0.0,721.4946928757292,914.6120831515906,1035.475503527924,174.23629599443913,0.0,0.0,1541.183186004759,228.76424979314297,417.4798030583925,1541.183186004759
0.8286427728546842,1396.2146833367854,0.0,1035.475503527924,0.0,0.0,2205.9307113252426,0.0,0.0,662.5525003379312,0.0,662.5525003379312,856.2124928654304,1035.475503527924,0.0,0.0,0.0,1485.160238366459,189.8972271745549,349.55387630392204,1485.160238366459
1.2067926406393288,1289.751191886438,0.0,1035.475503527924,0.0,0.0,2171.930489688829,0.0,0.0,608.2171503269436,0.0,608.2171503269436,795.1679305891073,1035.475503527924,0.0,0.0,0.0,1399.004879320571,0.0,0.0,1399.004879320571
1.7575106248547894,1183.7987327782616,0.0,1035.475503527924,0.0,0.0,2075.9229250511503,0.0,0.0,561.2496067907457,0.0,561.2496067907457,733.783362599158,1035.475503527924,0.0,0.0,0.0,1292.8569068778038,0.0,0.0,1292.8569068778038
2.559547922699533,1101.5415147414062,0.0,1035.475503527924,0.0,0.0,1930.6629202327542,0.0,0.0,524.6626843900493,0.0,524.6626843900493,674.2053814736262,1035.475503527924,0.0,0.0,0.0,1186.5588787939869,0.0,0.0,1186.5588787939869
3.727593720314938,1055.4784683268256,0.0,1035.475503527924,0.0,0.0,1765.4422270899827,0.0,0.0,500.78114744995327,0.0,500.78114744995327,618.7278136112311,1035.475503527924,0.0,0.0,0.0,1103.3789765647855,0.0,0.0,1103.3789765647855
5.428675439323859,1038.9525670962523,0.0,1035.475503527924,0.0,0.0,1612.0739576813219,0.0,0.0,489.63782995618345,0.0,489.63782995618345,570.0247450634178,1035.475503527924,0.0,0.0,0.0,1056.301670958922,0.0,0.0,1056.301670958922
7.9060432109076855,1035.7464888712238,0.0,1035.475503527924,0.0,0.0,1487.8474215740516,0.0,0.0,488.6117837274957,0.0,488.6117837274957,531.10241088781,1035.475503527924,0.0,0.0,0.0,1039.1635676052754,0.0,0.0,1039.1635676052754
11.513953993264458,1035.4820889783464,0.0,1035.475503527924,0.0,0.0,1393.3564343113928,0.0,0.0,494.6098014596718,0.0,494.6098014596718,504.5475505554316,1035.475503527924,0.0,0.0,0.0,1035.7707801538534,0.0,0.0,1035.7707801538534
16.768329368110066,1035.4755328702595,0.0,1035.475503527924,0.0,0.0,1322.8522919570598,0.0,0.0,505.62060299299685,0.0,505.62060299299685,490.9678761266893,1035.475503527924,0.0,0.0,0.0,1035.4829661540848,0.0,0.0,1035.4829661540848
24.420530945486497,1035.4755035512246,0.0,1035.475503527924,0.0,0.0,1271.1054161693237,0.0,0.0,520.0113828548373,0.0,520.0113828548373,488.1668648146301,1035.475503527924,0.0,0.0,0.0,1035.4755387007458,0.0,0.0,1035.4755387007458
35.564803062231285,1035.4755035279243,0.0,1035.475503527924,0.0,0.0,1234.3474810133428,0.0,0.0,535.7831659577888,0.0,535.7831659577888,492.93727098810206,1035.475503527924,0.0,0.0,0.0,1035.4755035583007,0.0,0.0,1035.4755035583007
51.79474679231202,1035.475503527924,0.0,1035.475503527924,0.0,0.0,1209.9167110854007,0.0,0.0,550.3780685924658,0.0,550.3780685924658,503.0606662826354,1035.475503527924,0.0,0.0,0.0,1035.4755035279245,0.0,0.0,1035.4755035279245
75.43120063354607,1035.475503527924,0.0,1035.475503527924,0.0,0.0,1195.7825076859233,0.0,0.0,561.0252965675818,0.0,561.0252965675818,516.9112119045036,1035.475503527924,0.0,0.0,0.0,1035.475503527924,0.0,0.0,1035.475503527924
109.85411419875572,1035.475503527924,0.0,1035.475503527924,0.0,0.0,1189.533322770244,nan,0.0,566.3985496539357,0.0,566.3985496539357,532.5914524305849,1035.475503527924,0.0,0.0,0.0,1035.475503527924,0.0,0.0,1035.475503527924
159.98587196060572,1035.475503527924,nan,1035.475503527924,0.0,nan,1187.7723246486303,nan,0.0,567.9975087894143,nan,567.9975087894143,547.6555510547141,1035.475503527924,0.0,nan,0.0,1035.475503527924,0.0,0.0,1035.475503527924
232.99518105153672,1035.475503527924,nan,1035.475503527924,nan,nan,1187.5199443177626,nan,nan,568.2299462841567,nan,568.2299462841567,559.2915382132438,1035.475503527924,0.0,nan,nan,1035.475503527924,0.0,0.0,1035.475503527924
339.3221771895323,1035.475503527924,nan,1035.475503527924,nan,nan,1187.5062024760605,nan,nan,568.2426271543585,nan,568.2426271543585,565.6978486508827,1035.475503527924,0.0,nan,nan,1035.475503527924,0.0,0.0,1035.475503527924
494.1713361323828,1035.475503527924,nan,1035.475503527924,nan,nan,1187.5060130652566,nan,nan,568.2428019704265,nan,568.2428019704265,567.8490168493774,1035.475503527924,nan,nan,nan,1035.475503527924,0.0,nan,1035.475503527924
719.6856730011514,1035.475503527924,nan,1035.475503527924,nan,nan,1187.5060127013305,nan,nan,568.2428022690423,nan,568.2428022690423,568.2171605243548,1035.475503527924,nan,nan,nan,1035.475503527924,nan,nan,1035.475503527924
1048.1131341546852,1035.475503527924,nan,1035.475503527924,nan,nan,1187.5060127012903,nan,nan,568.2428022690125,nan,568.2428022690125,568.2423235557557,1035.475503527924,nan,nan,nan,1035.475503527924,nan,nan,1035.475503527924
1526.4179671752302,1035.475503527924,nan,1035.475503527924,nan,nan,1187.5060127012903,nan,nan,568.2428022690125,nan,568.2428022690125,568.2428008214436,1035.475503527924,nan,nan,nan,1035.475503527924,nan,nan,1035.475503527924
2222.996482526191,1035.475503527924,nan,1035.475503527924,nan,nan,1187.5060127012903,nan,nan,568.2428022690125,nan,568.2428022690125,568.2428022692636,1035.475503527924,nan,nan,nan,1035.475503527924,nan,nan,1035.475503527924
