s,XY,XZ,XW,XV,YX,YZ,YW,YV,ZX,ZY,ZW,ZV,WX,WY,WZ,WV,VX,VY,VZ,VW
0.0001,19602.893305257443,19595.654346389423,19602.0,19573.486001255802,19601.044961618594,19608.28656671312,19555.7640242213,19572.520908812843,19591.900356331076,19612.099386953207,19591.900356331076,19598.97014149016,19602.0,19545.40499151293,19595.654346389423,19545.668034793012,19572.13160418272,19573.120521001638,19600.10250557246,19541.415201449843
0.00014563484775012445,19603.280447604797,19592.738897262316,19602.0,19560.496614870728,19600.58861984148,19611.135782638165,19534.486657323163,19559.06410728995,19587.2912684982,19616.708187388085,19587.2912684982,19597.587461257965,19602.0,19519.69356604231,19592.738897262316,19520.05117835026,19558.47575639935,19559.95877270626,19599.23482015657,19513.572125167324
0.00021209508879201905,19603.821262477963,19588.471009299323,19602.0,19541.605095358736,19599.901037672,19615.263194310377,19503.302070627182,19539.461929250752,19580.578640133604,19623.420207482002,19580.578640133604,19595.573785824854,19602.0,19482.376217520683,19588.471009299323,19482.843251857525,19538.559873770642,19540.81009816013,19597.96918780141,19472.807749531654
0.00030888435964774815,19604.560094259108,19582.208894183037,19602.0,19514.146339449624,19598.85092549175,19621.227370961857,19457.471777022376,19510.90537834103,19570.802219943365,19633.19534334663,19570.802219943365,19592.641146478327,19602.0,19428.29504194389,19582.208894183037,19428.861936379748,19509.49624728373,19512.964056192188,19596.121787338438,19412.992243495795
0.0004498432668969444,19605.532618413963,19572.99037150578,19602.0,19474.270126764623,19597.218217115158,19629.81400259909,19389.859531172013,19469.299199163004,19556.563020727746,19647.43184460109,19556.563020727746,19588.37013843782,19602.0,19350.08458916036,19572.99037150578,19350.672431304636,19467.046077537983,19472.497436055855,19593.422425773726,19324.953978587055
0.0006551285568595509,19606.72948738175,19559.355967576976,19602.0,19416.433826258948,19594.621247759893,19642.108294773974,19289.591352811287,19408.67152698193,19535.822133190406,19668.16712698767,19535.822133190406,19582.149904870847,19602.0,19237.310784300258,19559.355967576976,19237.670634606817,19404.968553784023,19413.747520921777,19589.47234039165,19194.85389568409
0.0009540954763499944,19608.007110948267,19539.057224030115,19602.0,19332.698547226748,19590.37461038929,19659.565168357785,19139.868837174243,19320.313567654004,19505.60588255943,19698.3720160672,19505.60588255943,19573.09067103871,19602.0,19075.3476707497,19539.057224030115,19074.845409915677,19314.04064227802,19328.574222289928,19583.679633049003,19001.631241802144
0.0013894954943731374,19608.880988058147,19508.560460605204,19602.0,19211.77314339362,19583.205985476125,19684.036449307023,18914.37768693848,19191.5321510145,19461.571047495756,19742.38512282929,19461.571047495756,19559.8961876101,19602.0,18843.96121494672,19508.560460605204,18841.14017728642,19180.57447535342,19205.3461763238,19575.158659310044,18713.061492949335
0.0020235896477251557,19608.06302529705,19462.175413866946,19602.0,19037.754277068565,19570.68381395396,19717.650661619704,18571.49980054672,19003.86506505626,19397.35609592154,19806.56464339879,19397.35609592154,19540.67745446038,19602.0,18515.572206192326,19462.175413866946,18507.327416129618,18984.182949571583,19027.589055559758,19562.569602828815,18280.09101437998
0.0029470517025518097,19602.44983248515,19390.481170230327,19602.0,18788.5350569139,19548.051344601587,19762.298637545067,18045.704267404202,18730.61173456355,19303.592263504524,19900.301223762657,19303.592263504524,19512.67995201416,19602.0,18053.132671778065,19390.481170230327,18033.36286237045,18694.495612093062,18772.271710742374,19543.855542184687,17630.380157768253
0.004291934260128779,19584.95654478262,19277.424893645853,19602.0,18433.916518221344,19505.85242232028,19818.17056346133,17237.742690921194,18333.69443840916,19166.343187486655,20037.707675361464,19166.343187486655,19471.882057330746,19602.0,17407.562724096548,19277.424893645853,17365.70858481553,18266.706725230157,18407.824811021088,19515.79802044733,16666.928712614405
0.0062505519252739694,19540.00152944598,19094.950265920103,19602.0,17933.603158973485,19425.163359308834,19880.16078395721,16014.3931169312,17760.563955365604,18964.527452606028,20240.82253820376,18964.527452606028,19412.39762483671,19602.0,16515.72993892715,19094.950265920103,16437.71908884706,17636.931063076227,17892.291531439496,19473.241540326842,15290.0646964474
0.009102981779915217,19434.524519881877,18793.29999575505,19602.0,17235.722915345355,19268.39035200562,19929.811218780473,14250.66163061209,16944.048511981673,18665.49319117434,20546.930641060597,18665.49319117434,19325.570140394622,19602.0,15305.559062594795,18793.29999575505,15183.550926915083,16722.171989444854,17172.739790495973,19407.70001229789,13472.718750000526
