s,XY,XV,YX,YV,VX,VY
0.0001,19602.893305257443,19573.486001255802,19601.044961618594,19572.520908812843,19572.13160418272,19573.120521001638
0.00014563484775012445,19603.280447604797,19560.496614870728,19600.58861984148,19559.06410728995,19558.47575639935,19559.95877270626
0.00021209508879201905,19603.821262477963,19541.605095358736,19599.901037672,19539.461929250752,19538.559873770642,19540.81009816013
0.00030888435964774815,19604.560094259108,19514.146339449624,19598.85092549175,19510.90537834103,19509.49624728373,19512.964056192188
0.0004498432668969444,19605.532618413963,19474.270126764623,19597.218217115158,19469.299199163004,19467.046077537983,19472.497436055855
0.0006551285568595509,19606.72948738175,19416.433826258948,19594.621247759893,19408.67152698193,19404.968553784023,19413.747520921777
0.0009540954763499944,19608.007110948267,19332.698547226748,19590.37461038929,19320.313567654004,19314.04064227802,19328.574222289928
0.0013894954943731374,19608.880988058147,19211.77314339362,19583.205985476125,19191.5321510145,19180.57447535342,19205.3461763238
0.0020235896477251557,19608.06302529705,19037.754277068565,19570.68381395396,19003.86506505626,18984.182949571583,19027.589055559758
0.0029470517025518097,19602.44983248515,18788.5350569139,19548.051344601587,18730.61173456355,18694.495612093062,18772.271710742374
0.004291934260128779,19584.95654478262,18433.916518221344,19505.85242232028,18333.69443840916,18266.706725230157,18407.824811021088
0.0062505519252739694,19540.00152944598,17933.603158973485,19425.163359308834,17760.563955365604,17636.931063076227,17892.291531439496
0.009102981779915217,19434.524519881877,17235.722915345355,19268.39035200562,16944.048511981673,16722.171989444854,17172.739790495973
0.013257113655901081,19201.802179479924,16278.196091630369,18963.17395338143,15813.260901811123,15438.944634427597,16188.75787744124
0.019306977288832496,18718.74518075937,15000.096923290017,18380.82337755299,14330.422240350083,13763.656871217208,14886.236433425294
0.02811768697974228,17796.311771071498,13375.69981669734,17330.206146055716,12557.130384160322,11825.125640864966,13250.527311177306
0.040949150623804234,16245.429569852076,11468.834539888012,15629.554068767859,10686.042538532753,9906.058954427484,11355.183418181856
0.05963623316594643,14066.207185696887,9455.000166197324,13297.637463681773,8931.008988319149,8248.096717679859,9376.639749063886
0.08685113737513521,11569.193391134884,7552.466425297524,10664.119675712689,7373.881215568061,6890.693891076807,7516.707010073771
0.12648552168552957,9158.79928016919,5910.029910365656,8141.344951160662,5993.569613667201,5755.104542383993,5900.004004846041
0.18420699693267145,7067.604250774153,4567.024915996834,5963.465903238607,4775.518283320386,4767.4409697027595,4560.9512106001575
0.2682695795279725,5357.484931596321,3499.3775485853444,4194.824050533815,3730.9457049087246,3888.841601921961,3485.730439606902
0.3906939937054613,4010.8807422796795,2667.868596464743,2821.5706794194925,2868.795700661198,3109.9416766970107,2642.9290506001857
0.5689866029018293,2982.83878831002,2034.7543740781564,1801.6601465745623,2181.4043518832937,2437.7769842321104,1997.7155597002875
0.8286427728546842,2223.3164586852486,1566.7749378543688,1084.084110039713,1649.4567647047622,1880.0032988522232,1517.4466909338094
1.2067926406393288,1686.189889615544,1234.7953594404587,614.2345300622707,1250.4836179909103,1435.2405835492673,1173.2897288087242
1.7575106248547894,1331.606082553635,1011.6011445457084,334.77486157178066,962.9955335190698,1093.82954915216,939.4469614274475
2.559547922699533,1123.7019681791894,869.5896926629912,188.60275071703273,766.9671421232418,842.6263000035595,790.9313759980988
3.727593720314938,1024.7680053165207,781.8919795598848,125.19722853596892,642.4586721644954,667.6968473170401,702.2135448978075
5.428675439323859,991.761680977163,727.3897939164923,105.08037526495391,568.6873626765937,554.4814579417791,650.157831063452
7.9060432109076855,985.4978601503924,693.0021815411353,101.3253400678203,526.2932910809358,487.03282033259995,618.8530584798295
11.513953993264458,984.9832663723846,670.9703221952839,101.0177580193508,501.7006101146575,449.30262920132793,599.4105313955383
16.768329368110066,984.9705101134653,656.5311539115379,101.01013512617688,487.53494491252826,428.671448658301,586.9472830157075
24.420530945486497,984.970453044379,646.9624436292139,101.0101010229945,479.6415150892486,417.4887848067099,578.8310044242149
35.564803062231285,984.9704530228738,640.7364954727273,101.01010101021772,475.35003410004333,411.501704919376,573.6318410344616
51.79474679231202,984.9704530228736,636.8338425320478,101.01010101022149,473.04879141530154,408.31240207190217,570.4065027104781
75.43120063354607,984.9704530228736,634.4586385344118,101.01010101027505,471.8519539404174,406.63530200603634,568.4544596204563
109.85411419875572,984.9704530228736,633.0074959834781,101.01010101038584,471.26456192888577,405.78441162897985,567.2748851484001
159.98587196060572,984.9704530228736,632.0414289466976,0.0,471.0070460138674,405.3863102081899,566.4976627685413
232.99518105153672,984.9704530228736,631.3074055624663,0.0,470.9205405614838,405.23725169772314,565.8740185959713
339.3221771895323,984.9704530228736,630.7617276240109,0.0,470.90316771144,nan,565.3315812306403
494.1713361323828,984.9704530228736,630.4394815623846,0.0,nan,nan,564.9205023201301
719.6856730011514,984.9704530228736,630.3103785807689,nan,nan,nan,nan
1048.1131341546852,984.9704530228736,630.2807210859532,nan,nan,nan,nan
1526.4179671752302,984.9704530228736,nan,nan,nan,nan,nan
2222.996482526191,984.9704530228736,nan,nan,nan,nan,nan
3237.45754281764,984.9704530228736,nan,nan,nan,nan,nan
4714.8663634573895,984.9704530228736,nan,nan,nan,nan,nan
6866.488450042998,984.9704530228736,nan,nan,nan,nan,nan
10000.0,984.9704530228736,nan,nan,nan,nan,nan
