s,XY,XW,XV,YX,YW,YV,WX,WY,WV,VX,VY,VW
0.0001,19602.893305257443,19602.0,19601.357858233783,19601.044961618594,19542.612868858407,19572.520908812843,19602.0,19544.671678298946,19601.357858233783,19602.61364569612,19573.120521001638,19602.61364569612
0.00014563484775012445,19603.280447604797,19602.0,19601.05534931147,19600.58861984148,19515.456669258678,19559.06410728995,19602.0,19518.593217694975,19601.05534931147,19602.884212002264,19559.95877270626,19602.884212002264
0.00021209508879201905,19603.821262477963,19602.0,19600.60417800449,19599.901037672,19475.848100492654,19539.461929250752,19602.0,19480.7064121767,19600.60417800449,19603.267634865213,19540.81009816013,19603.267634865213
0.00030888435964774815,19604.560094259108,19602.0,19599.924607825767,19598.85092549175,19418.041715498926,19510.90537834103,19602.0,19425.72465595331,19599.924607825767,19603.803515163312,19512.964056192188,19603.803515163312
0.0004498432668969444,19605.532618413963,19602.0,19598.887185931642,19597.218217115158,19333.608250053738,19469.299199163004,19602.0,19346.060034611615,19598.887185931642,19604.536183464028,19472.497436055855,19604.536183464028
0.0006551285568595509,19606.72948738175,19602.0,19597.27512589619,19594.621247759893,19210.15841013263,19408.67152698193,19602.0,19230.891371182457,19597.27512589619,19605.501901224186,19413.747520921777,19605.501901224186
0.0009540954763499944,19608.007110948267,19602.0,19594.712820463617,19590.37461038929,19029.46417421813,19320.313567654004,19602.0,19064.927220406582,19594.712820463617,19606.693459464856,19328.574222289928,19606.693459464856
0.0013894954943731374,19608.880988058147,19602.0,19590.52639502963,19583.205985476125,18764.758359556505,19191.5321510145,19602.0,18826.837509935896,19590.52639502963,19607.973105777233,19205.3461763238,19607.973105777233
0.0020235896477251557,19608.06302529705,19602.0,19583.466047933158,19570.68381395396,18377.113051135126,19003.86506505626,19602.0,18487.408778279118,19583.466047933158,19608.870602861374,19027.589055559758,19608.870602861374
0.0029470517025518097,19602.44983248515,19602.0,19571.145041835607,19548.051344601587,17811.50204651392,18730.61173456355,19602.0,18007.668537033125,19571.145041835607,19608.130779105202,18772.271710742374,19608.130779105202
0.004291934260128779,19584.95654478262,19602.0,19548.89694865496,19505.85242232028,16995.622103784917,18333.69443840916,19602.0,17337.68090586873,19548.89694865496,19602.723608605957,18407.824811021088,19602.723608605957
0.0062505519252739694,19540.00152944598,19602.0,19507.448299487733,19425.163359308834,15850.892080777834,17760.563955365604,19602.0,16417.95692079423,19507.448299487733,19585.72334959934,17892.291531439496,19585.72334959934
0.009102981779915217,19434.524519881877,19602.0,19428.24149024878,19268.39035200562,14333.984303399902,16944.048511981673,19602.0,15188.696968895229,19428.24149024878,19541.883559644826,17172.739790495973,19541.883559644826
0.013257113655901081,19201.802179479924,19602.0,19274.392637558398,18963.17395338143,12514.909572987444,15813.260901811123,19602.0,13617.171474962188,19274.392637558398,19438.818948821627,16188.75787744124,19438.818948821627
0.019306977288832496,18718.74518075937,19602.0,18974.810209683965,18380.82337755299,10616.045097056556,14330.422240350083,19602.0,11747.669500828395,18974.810209683965,19211.051049364505,14886.236433425294,19211.051049364505
0.02811768697974228,17796.311771071498,19602.0,18402.647609310665,17330.206146055716,8883.213710230191,12557.130384160322,19602.0,9737.691525108386,18402.647609310665,18737.369183004834,13250.527311177306,18737.369183004834
0.040949150623804234,16245.429569852076,19602.0,17368.112505142977,15629.554068767859,7401.4489514087745,10686.042538532753,19602.0,7808.534095048879,17368.112505142977,17830.245863063275,11355.183418181856,17830.245863063275
0.05963623316594643,14066.207185696887,19602.0,15686.981390289808,13297.637463681773,6120.214988614306,8931.008988319149,19602.0,6124.208907476898,15686.981390289808,16298.49066328347,9376.639749063886,16298.49066328347
0.08685113737513521,11569.193391134884,19602.0,13369.583390984353,10664.119675712689,4984.587494031011,7373.881215568061,19602.0,4735.044423362619,13369.583390984353,14134.003819345475,7516.707010073771,14134.003819345475
0.12648552168552957,9158.79928016919,19602.0,10738.462138978915,8141.344951160662,3979.6524504364857,5993.569613667201,19602.0,3623.4509763132432,10738.462138978915,11640.006760595246,5900.004004846041,11640.006760595246
