s,XY,XV,YX,YV,VX,VY
0.0001,19602.893305257443,19601.357858233783,19601.044961618594,19572.520908812843,19602.61364569612,19573.120521001638
0.00014563484775012445,19603.280447604797,19601.05534931147,19600.58861984148,19559.06410728995,19602.884212002264,19559.95877270626
0.00021209508879201905,19603.821262477963,19600.60417800449,19599.901037672,19539.461929250752,19603.267634865213,19540.81009816013
0.00030888435964774815,19604.560094259108,19599.924607825767,19598.85092549175,19510.90537834103,19603.803515163312,19512.964056192188
0.0004498432668969444,19605.532618413963,19598.887185931642,19597.218217115158,19469.299199163004,19604.536183464028,19472.497436055855
0.0006551285568595509,19606.72948738175,19597.27512589619,19594.621247759893,19408.67152698193,19605.501901224186,19413.747520921777
0.0009540954763499944,19608.007110948267,19594.712820463617,19590.37461038929,19320.313567654004,19606.693459464856,19328.574222289928
0.0013894954943731374,19608.880988058147,19590.52639502963,19583.205985476125,19191.5321510145,19607.973105777233,19205.3461763238
0.0020235896477251557,19608.06302529705,19583.466047933158,19570.68381395396,19003.86506505626,19608.870602861374,19027.589055559758
0.0029470517025518097,19602.44983248515,19571.145041835607,19548.051344601587,18730.61173456355,19608.130779105202,18772.271710742374
0.004291934260128779,19584.95654478262,19548.89694865496,19505.85242232028,18333.69443840916,19602.723608605957,18407.824811021088
0.0062505519252739694,19540.00152944598,19507.448299487733,19425.163359308834,17760.563955365604,19585.72334959934,17892.291531439496
0.009102981779915217,19434.524519881877,19428.24149024878,19268.39035200562,16944.048511981673,19541.883559644826,17172.739790495973
0.013257113655901081,19201.802179479924,19274.392637558398,18963.17395338143,15813.260901811123,19438.818948821627,16188.75787744124
0.019306977288832496,18718.74518075937,18974.810209683965,18380.82337755299,14330.422240350083,19211.051049364505,14886.236433425294
0.02811768697974228,17796.311771071498,18402.647609310665,17330.206146055716,12557.130384160322,18737.369183004834,13250.527311177306
0.040949150623804234,16245.429569852076,17368.112505142977,15629.554068767859,10686.042538532753,17830.245863063275,11355.183418181856
0.05963623316594643,14066.207185696887,15686.981390289808,13297.637463681773,8931.008988319149,16298.49066328347,9376.639749063886
0.08685113737513521,11569.193391134884,13369.583390984353,10664.119675712689,7373.881215568061,14134.003819345475,7516.707010073771
0.12648552168552957,9158.79928016919,10738.462138978915,8141.344951160662,5993.569613667201,11640.006760595246,5900.004004846041
0.18420699693267145,7067.604250774153,8208.33403231009,5963.465903238607,4775.518283320386,9222.96615887094,4560.9512106001575
0.2682695795279725,5357.484931596321,6019.297468800422,4194.824050533815,3730.9457049087246,7121.362352917835,3485.730439606902
0.3906939937054613,4010.8807422796795,4239.100041397795,2821.5706794194925,2868.795700661198,5400.53007237067,2642.9290506001857
0.5689866029018293,2982.83878831002,2855.2092448018184,1801.6601465745623,2181.4043518832937,4044.2364459957466,1997.7155597002875
0.8286427728546842,2223.3164586852486,1826.0166308167873,1084.084110039713,1649.4567647047622,3007.906224907509,1517.4466909338094
1.2067926406393288,1686.189889615544,1100.652913581468,614.2345300622707,1250.4836179909103,2241.4758972471645,1173.2897288087242
1.7575106248547894,1331.606082553635,624.5962814256426,334.77486157178066,962.9955335190698,1698.6551615346054,939.4469614274475
2.559547922699533,1123.7019681791894,340.5667712119755,188.60275071703273,766.9671421232418,1339.4250407573104,790.9313759980988
3.727593720314938,1024.7680053165207,191.37571919261245,125.19722853596892,642.4586721644954,1127.8791645466663,702.2135448978075
5.428675439323859,991.761680977163,126.23352378705282,105.08037526495391,568.6873626765937,1026.444476568773,650.157831063452
7.9060432109076855,985.4978601503924,105.32915318824766,101.3253400678203,526.2932910809358,992.1754768497174,618.8530584798295
11.513953993264458,984.9832663723846,101.35361466035552,101.0177580193508,501.7006101146575,985.5451527804195,599.4105313955383
16.768329368110066,984.9705101134653,101.01877782160929,101.01013512617688,487.53494491252826,984.9849729133884,586.9472830157075
24.420530945486497,984.970453044379,101.01014193982455,101.0101010229945,479.6415150892486,984.9705215156434,578.8310044242149
35.564803062231285,984.9704530228738,101.01010102685478,101.01010101021772,475.35003410004333,984.9704530509098,573.6318410344616
51.79474679231202,984.9704530228736,101.0101010101012,101.01010101022149,473.04879141530154,984.9704530228739,570.4065027104781
75.43120063354607,984.9704530228736,101.010101010101,101.01010101027505,471.8519539404174,984.9704530228736,568.4544596204563
109.85411419875572,984.9704530228736,101.01010101010101,101.01010101038584,471.26456192888577,984.9704530228736,567.2748851484001
159.98587196060572,984.9704530228736,101.01010101010101,0.0,471.0070460138674,984.9704530228736,566.4976627685413
232.99518105153672,984.9704530228736,0.0,0.0,470.9205405614838,984.9704530228736,565.8740185959713
339.3221771895323,984.9704530228736,0.0,0.0,470.90316771144,984.9704530228736,565.3315812306403
494.1713361323828,984.9704530228736,0.0,0.0,nan,984.9704530228736,564.9205023201301
719.6856730011514,984.9704530228736,0.0,nan,nan,984.9704530228736,nan
1048.1131341546852,984.9704530228736,nan,nan,nan,984.9704530228736,nan
1526.4179671752302,984.9704530228736,nan,nan,nan,984.9704530228736,nan
2222.996482526191,984.9704530228736,nan,nan,nan,984.9704530228736,nan
3237.45754281764,984.9704530228736,nan,nan,nan,984.9704530228736,nan
4714.8663634573895,984.9704530228736,nan,nan,nan,984.9704530228736,nan
6866.488450042998,984.9704530228736,nan,nan,nan,984.9704530228736,nan
10000.0,984.9704530228736,nan,nan,nan,984.9704530228736,nan
