s,XY,XZ,YX,YZ,ZX,ZY
0.0001,1036.4421086586465,1034.463130875736,1034.5087938081463,1036.4884705685254,1035.689250701553,1035.260904995186
0.00014563484775012445,1036.8831861662472,1034.001327094013,1034.0676141544234,1036.9509327945784,1035.7865067344255,1035.1626842794426
0.00021209508879201905,1037.5254977130446,1033.3290172061008,1033.4250568850164,1037.6246419460022,1035.9278241547963,1035.0193349147198
0.00030888435964774815,1038.4608382173456,1032.3503751709811,1032.489222650772,1038.6062695823146,1036.1329543278027,1034.8098844639114
0.0004498432668969444,1039.8228032134862,1030.9261445298382,1031.1261956460594,1040.0368108826976,1036.4302620811598,1034.5034350192418
0.0006551285568595509,1041.8057815908476,1028.8541822385203,1029.1409450704994,1042.122163091769,1036.8601687096238,1034.0541091963921
0.0009540954763499944,1044.6924907565424,1025.841456496279,1026.249458472045,1045.163291523691,1037.4797518770563,1033.393354970468
0.0013894954943731374,1048.8934857567058,1021.464332765152,1022.0383017281579,1049.600620938781,1038.368198799685,1032.4176167761816
0.0020235896477251557,1055.0037502329562,1015.1128302772146,1015.9065012881313,1056.0797054006018,1039.632457856086,1030.9683339837413
0.0029470517025518097,1063.8814665602622,1005.9147414846824,1006.9831569380399,1065.5479046885478,1041.4103599228301,1028.7985299741108
0.004291934260128779,1076.7529877600655,992.6378154888723,994.0150875870639,1079.3954698923158,1043.8641289045815,1025.5158551842335
0.0062505519252739694,1095.33680426603,973.5788853410625,975.2274531529545,1099.6547294856396,1047.1476824213596,1020.4845821991476
0.009102981779915217,1121.9419982062986,946.4805921537087,948.194239767394,1129.254912516095,1051.3113057685528,1012.659912040667
0.013257113655901081,1159.388542616791,908.5971625883263,909.8583440525947,1172.2548147439236,1056.0741820475666,1000.3316680369792
0.019306977288832496,1210.3565975743693,857.1941861483563,857.0808412111043,1233.724548833703,1060.3669624876447,980.8332742101671
0.02811768697974228,1275.5087816538407,790.9317310295991,788.3868003573419,1318.3639098158992,1061.641193576355,950.6118385830753
0.040949150623804234,1350.4426430983444,712.1538559023719,706.9355722947963,1426.5470511229428,1055.4621462240036,906.8110724898887
0.05963623316594643,1424.8464774034621,628.0071232126477,621.4298396219843,1549.6124109899374,1036.7893750507808,851.2282099240512
0.08685113737513521,1488.1277506473361,546.7860569374047,540.450488170113,1673.9521527271015,1003.3657117578714,792.1529781328624
0.12648552168552957,1534.8497902821457,472.2747039806984,466.65532012563506,1793.766819733968,957.4250912498107,737.4147164230569
0.18420699693267145,1561.9343257108546,403.59277026793904,400.34898381025033,1910.0090012738945,903.1177441100664,688.3802924441965
0.2682695795279725,1565.2516815569375,0.0,0.0,2019.951811644026,843.9769563644564,437.78452781501295
0.3906939937054613,1540.0456150551988,0.0,0.0,2115.0802271832695,782.6871291269437,0.0
0.5689866029018293,1483.1200980276683,0.0,0.0,2182.3278284762714,721.4946928757292,0.0
0.8286427728546842,1396.2146833367854,0.0,0.0,2205.9307113252426,662.5525003379312,0.0
1.2067926406393288,1289.751191886438,0.0,0.0,2171.930489688829,608.2171503269436,0.0
1.7575106248547894,1183.7987327782616,0.0,0.0,2075.9229250511503,561.2496067907457,0.0
2.559547922699533,1101.5415147414062,0.0,0.0,1930.6629202327542,524.6626843900493,0.0
3.727593720314938,1055.4784683268256,0.0,0.0,1765.4422270899827,500.78114744995327,0.0
5.428675439323859,1038.9525670962523,0.0,0.0,1612.0739576813219,489.63782995618345,0.0
7.9060432109076855,1035.7464888712238,0.0,0.0,1487.8474215740516,488.6117837274957,0.0
11.513953993264458,1035.4820889783464,0.0,0.0,1393.3564343113928,494.6098014596718,0.0
16.768329368110066,1035.4755328702595,0.0,0.0,1322.8522919570598,505.62060299299685,0.0
24.420530945486497,1035.4755035512246,0.0,0.0,1271.1054161693237,520.0113828548373,0.0
35.564803062231285,1035.4755035279243,0.0,0.0,1234.3474810133428,535.7831659577888,0.0
51.79474679231202,1035.475503527924,0.0,0.0,1209.9167110854007,550.3780685924658,0.0
75.43120063354607,1035.475503527924,0.0,0.0,1195.7825076859233,561.0252965675818,0.0
109.85411419875572,1035.475503527924,0.0,0.0,1189.533322770244,566.3985496539357,0.0
159.98587196060572,1035.475503527924,nan,nan,1187.7723246486303,567.9975087894143,nan
232.99518105153672,1035.475503527924,nan,nan,1187.5199443177626,568.2299462841567,nan
339.3221771895323,1035.475503527924,nan,nan,1187.5062024760605,568.2426271543585,nan
494.1713361323828,1035.475503527924,nan,nan,1187.5060130652566,568.2428019704265,nan
719.6856730011514,1035.475503527924,nan,nan,1187.5060127013305,568.2428022690423,nan
1048.1131341546852,1035.475503527924,nan,nan,1187.5060127012903,568.2428022690125,nan
1526.4179671752302,1035.475503527924,nan,nan,1187.5060127012903,568.2428022690125,nan
2222.996482526191,1035.475503527924,nan,nan,1187.5060127012903,568.2428022690125,nan
3237.45754281764,1035.475503527924,nan,nan,1187.5060127012903,568.2428022690125,nan
4714.8663634573895,1035.475503527924,nan,nan,1187.5060127012903,568.2428022690125,nan
6866.488450042998,1035.475503527924,nan,nan,1187.5060127012903,568.2428022690125,nan
10000.0,1035.475503527924,nan,nan,1187.5060127012903,568.2428022690125,nan
