s,XY,XZ,XW,YX,YZ,YW,ZX,ZY,ZW,WX,WY,WZ
0.0001,19602.893305257443,19595.654346389423,19602.0,19601.044961618594,19608.28656671312,19555.7640242213,19591.900356331076,19612.099386953207,19591.900356331076,19602.0,19545.40499151293,19595.654346389423
0.00014563484775012445,19603.280447604797,19592.738897262316,19602.0,19600.58861984148,19611.135782638165,19534.486657323163,19587.2912684982,19616.708187388085,19587.2912684982,19602.0,19519.69356604231,19592.738897262316
0.00021209508879201905,19603.821262477963,19588.471009299323,19602.0,19599.901037672,19615.263194310377,19503.302070627182,19580.578640133604,19623.420207482002,19580.578640133604,19602.0,19482.376217520683,19588.471009299323
0.00030888435964774815,19604.560094259108,19582.208894183037,19602.0,19598.85092549175,19621.227370961857,19457.471777022376,19570.802219943365,19633.19534334663,19570.802219943365,19602.0,19428.29504194389,19582.208894183037
0.0004498432668969444,19605.532618413963,19572.99037150578,19602.0,19597.218217115158,19629.81400259909,19389.859531172013,19556.563020727746,19647.43184460109,19556.563020727746,19602.0,19350.08458916036,19572.99037150578
0.0006551285568595509,19606.72948738175,19559.355967576976,19602.0,19594.621247759893,19642.108294773974,19289.591352811287,19535.822133190406,19668.16712698767,19535.822133190406,19602.0,19237.310784300258,19559.355967576976
0.0009540954763499944,19608.007110948267,19539.057224030115,19602.0,19590.37461038929,19659.565168357785,19139.868837174243,19505.60588255943,19698.3720160672,19505.60588255943,19602.0,19075.3476707497,19539.057224030115
0.0013894954943731374,19608.880988058147,19508.560460605204,19602.0,19583.205985476125,19684.036449307023,18914.37768693848,19461.571047495756,19742.38512282929,19461.571047495756,19602.0,18843.96121494672,19508.560460605204
0.0020235896477251557,19608.06302529705,19462.175413866946,19602.0,19570.68381395396,19717.650661619704,18571.49980054672,19397.35609592154,19806.56464339879,19397.35609592154,19602.0,18515.572206192326,19462.175413866946
0.0029470517025518097,19602.44983248515,19390.481170230327,19602.0,19548.051344601587,19762.298637545067,18045.704267404202,19303.592263504524,19900.301223762657,19303.592263504524,19602.0,18053.132671778065,19390.481170230327
0.004291934260128779,19584.95654478262,19277.424893645853,19602.0,19505.85242232028,19818.17056346133,17237.742690921194,19166.343187486655,20037.707675361464,19166.343187486655,19602.0,17407.562724096548,19277.424893645853
0.0062505519252739694,19540.00152944598,19094.950265920103,19602.0,19425.163359308834,19880.16078395721,16014.3931169312,18964.527452606028,20240.82253820376,18964.527452606028,19602.0,16515.72993892715,19094.950265920103
0.009102981779915217,19434.524519881877,18793.29999575505,19602.0,19268.39035200562,19929.811218780473,14250.66163061209,18665.49319117434,20546.930641060597,18665.49319117434,19602.0,15305.559062594795,18793.29999575505
0.013257113655901081,19201.802179479924,18285.0067171029,19602.0,18963.17395338143,19919.00064372754,11960.32658246427,18217.554591628428,21029.085701458258,18217.554591628428,19602.0,13727.696088457711,18285.0067171029
0.019306977288832496,18718.74518075937,17424.81150900634,19602.0,18380.82337755299,19742.465678033193,9453.448077004081,17539.65641748967,21864.26313993349,17539.65641748967,19602.0,11827.09832786976,17424.81150900634
0.02811768697974228,17796.311771071498,16007.397457075132,19602.0,17330.206146055716,19210.327642403987,7234.717950477029,16517.623882438238,23589.95925512034,16517.623882438238,19602.0,9788.351898512881,16007.397457075132
0.040949150623804234,16245.429569852076,13849.104742121737,19602.0,15629.554068767859,18077.505997743054,5590.801105074123,15041.224326903617,28203.6115367743,15041.224326903617,19602.0,7848.076552755316,13849.104742121737
0.05963623316594643,14066.207185696887,11014.471268533096,19602.0,13297.637463681773,16218.895507658051,4436.425551431202,13118.525096677595,45139.1249395303,13118.525096677595,19602.0,6157.814718776155,11014.471268533096
0.08685113737513521,11569.193391134884,7996.040737501515,19602.0,10664.119675712689,13846.106617214175,3577.5458330886245,10968.72054327692,142857.3950754917,10968.72054327692,19602.0,4760.517983967036,7996.040737501515
0.12648552168552957,9158.79928016919,5454.903578540346,19602.0,8141.344951160662,11396.440229526861,2890.6006891821735,8894.546889633904,1387005.8036436758,8894.546889633904,19602.0,3642.146137879971,5454.903578540346
0.18420699693267145,7067.604250774153,3727.3098233526907,19602.0,5963.465903238607,9187.646921026035,2316.216706150973,7079.267574027043,61359977.37744966,7079.267574027043,19602.0,2769.312065592612,3727.3098233526907
0.2682695795279725,5357.484931596321,2699.987893818634,19602.0,4194.824050533815,7326.033226989567,1829.752368161334,5571.155007519567,22580973881.065994,5571.155007519567,19602.0,2104.9671293828137,2699.987893818634
0.3906939937054613,4010.8807422796795,2075.722503828686,19602.0,2821.5706794194925,5809.861756490541,1424.0906992184287,4355.305698344048,176577927198304.78,4355.305698344048,19602.0,1614.6351513263232,2075.722503828686
0.5689866029018293,2982.83878831002,1644.0506390620071,19602.0,1801.6601465745623,4602.381411600394,1097.3170576914513,3396.1803474547837,1.1634457856344559e+20,3396.1803474547837,19602.0,1267.9948185229855,1644.0506390620071
0.8286427728546842,2223.3164586852486,1318.9191138729032,19602.0,1084.084110039713,3658.8086836978623,845.6436912768922,2654.8232036998197,4.79682457264776e+28,2654.8232036998197,19602.0,1037.2810980833185,1318.9191138729032
1.2067926406393288,1686.189889615544,1066.3965737449628,19602.0,614.2345300622707,2936.098346981034,661.9780825766691,2095.70084696732,2.2755080698018383e+41,2095.70084696732,19602.0,894.4241442364689,1066.3965737449628
1.7575106248547894,1331.606082553635,867.4966114856588,19602.0,334.77486157178066,2396.2922823459426,536.687640341385,1688.60937887573,8.433155839963353e+59,1688.60937887573,19602.0,810.6445275230254,867.4966114856588
2.559547922699533,1123.7019681791894,709.5939681287513,19602.0,188.60275071703273,2006.3352117809825,457.8990955393027,1407.4462710011637,1.1094891196188785e+87,1407.4462710011637,19602.0,761.5326329825463,709.5939681287513
3.727593720314938,1024.7680053165207,583.7446269879689,19602.0,125.19722853596892,1735.100478924855,411.83958845411024,1226.477910522543,3.873404032917283e+126,1226.477910522543,19602.0,732.072975046309,583.7446269879689
5.428675439323859,991.761680977163,483.37035945912424,19602.0,105.08037526495391,1550.3244359894304,385.45630383760073,1116.8333887616286,1.5977883120665775e+184,1116.8333887616286,19602.0,714.5913174509288,483.37035945912424
7.9060432109076855,985.4978601503924,403.55518096550315,19602.0,101.3253400678203,1421.456548568128,369.7530924911791,1049.9362706324946,1.3259476652688027e+268,1049.9362706324946,19602.0,704.7118092137816,403.55518096550315
11.513953993264458,984.9832663723846,340.6042180687787,19602.0,101.0177580193508,1327.4351492293226,359.907885494983,1006.4092226574651,inf,1006.4092226574651,19602.0,699.6567528479587,340.6042180687787
16.768329368110066,984.9705101134653,291.75943385033077,19602.0,101.01013512617688,1257.6238295576468,353.40683258132145,977.3201599779527,inf,977.3201599779527,19602.0,697.6466154094908,291.75943385033077
24.420530945486497,984.970453044379,255.01206765603732,19602.0,101.0101010229945,1206.3943620039054,348.8812139624979,958.4661054111536,inf,958.4661054111536,19602.0,697.506140081471,255.01206765603732
35.564803062231285,984.9704530228738,228.90935566262004,19602.0,101.01010101021772,1170.0040062032092,345.6179827964321,947.0549682298866,inf,947.0549682298866,19602.0,698.4070281841631,228.90935566262004
51.79474679231202,984.9704530228736,212.15504371258655,19602.0,101.01010101022149,1145.8175439745467,343.2544157621456,940.8454041283126,inf,940.8454041283126,19602.0,699.6670100690137,212.15504371258655
75.43120063354607,984.9704530228736,203.03172276026206,19602.0,101.01010101027505,1131.824682609064,341.64477305596955,937.9271742657346,inf,937.9271742657346,19602.0,700.6375365251535,203.03172276026206
109.85411419875572,984.9704530228736,199.20760486394965,19602.0,101.01010101038584,1125.6379895425416,340.7472910969047,936.8193026161111,inf,936.8193026161111,19602.0,700.9197243770088,199.20760486394965
159.98587196060572,984.9704530228736,198.15767908309937,19602.0,0.0,1123.894601402144,340.40305263872983,936.5286690638193,nan,936.5286690638193,19602.0,700.5486838778802,198.15767908309937
232.99518105153672,984.9704530228736,198.00824175008455,19602.0,0.0,1123.6447448745848,nan,936.4878509264553,nan,936.4878509264553,19602.0,699.7742293959856,198.00824175008455
339.3221771895323,984.9704530228736,198.00011226332967,19602.0,0.0,1123.6311404512999,nan,936.4856351324675,nan,936.4856351324675,19602.0,698.7888264336276,198.00011226332967
494.1713361323828,984.9704530228736,198.00000021530803,19602.0,0.0,1123.630952934604,nan,936.4856045967015,nan,936.4856045967015,19602.0,nan,198.00000021530803
719.6856730011514,984.9704530228736,nan,19602.0,nan,1123.6309525743172,nan,936.4856045380316,nan,936.4856045380316,19602.0,nan,nan
1048.1131341546852,984.9704530228736,nan,19602.0,nan,1123.6309525742774,nan,936.4856045380251,nan,936.4856045380251,19602.0,nan,nan
1526.4179671752302,984.9704530228736,nan,19602.0,nan,1123.6309525742774,nan,936.4856045380251,nan,936.4856045380251,19602.0,nan,nan
2222.996482526191,984.9704530228736,nan,19602.0,nan,1123.6309525742774,nan,936.4856045380251,nan,936.4856045380251,19602.0,nan,nan
3237.45754281764,984.9704530228736,nan,19602.0,nan,1123.6309525742774,nan,936.4856045380251,nan,936.4856045380251,19602.0,nan,nan
4714.8663634573895,984.9704530228736,nan,19602.0,nan,1123.6309525742774,nan,936.4856045380251,nan,936.4856045380251,19602.0,nan,nan
6866.488450042998,984.9704530228736,nan,19602.0,nan,1123.6309525742774,nan,936.4856045380251,nan,936.4856045380251,19602.0,nan,nan
10000.0,984.9704530228736,nan,19602.0,nan,1123.6309525742774,nan,936.4856045380251,nan,936.4856045380251,19602.0,nan,nan
