s,XY,XZ,XW,XV,YX,YZ,YW,YV,ZX,ZY,ZW,ZV,WX,WY,WZ,WV,VX,VY,VZ,VW
0.0001,19602.893305257443,19595.654346389423,19602.0,19601.357858233783,19601.044961618594,19608.28656671312,19542.612868858407,19572.520908812843,19591.900356331076,19612.099386953207,19591.900356331076,19598.97014149016,19602.0,19544.671678298946,19595.654346389423,19601.357858233783,19602.61364569612,19573.120521001638,19600.10250557246,19602.61364569612
0.00014563484775012445,19603.280447604797,19592.738897262316,19602.0,19601.05534931147,19600.58861984148,19611.135782638165,19515.456669258678,19559.06410728995,19587.2912684982,19616.708187388085,19587.2912684982,19597.587461257965,19602.0,19518.593217694975,19592.738897262316,19601.05534931147,19602.884212002264,19559.95877270626,19599.23482015657,19602.884212002264
0.00021209508879201905,19603.821262477963,19588.471009299323,19602.0,19600.60417800449,19599.901037672,19615.263194310377,19475.848100492654,19539.461929250752,19580.578640133604,19623.420207482002,19580.578640133604,19595.573785824854,19602.0,19480.7064121767,19588.471009299323,19600.60417800449,19603.267634865213,19540.81009816013,19597.96918780141,19603.267634865213
0.00030888435964774815,19604.560094259108,19582.208894183037,19602.0,19599.924607825767,19598.85092549175,19621.227370961857,19418.041715498926,19510.90537834103,19570.802219943365,19633.19534334663,19570.802219943365,19592.641146478327,19602.0,19425.72465595331,19582.208894183037,19599.924607825767,19603.803515163312,19512.964056192188,19596.121787338438,19603.803515163312
0.0004498432668969444,19605.532618413963,19572.99037150578,19602.0,19598.887185931642,19597.218217115158,19629.81400259909,19333.608250053738,19469.299199163004,19556.563020727746,19647.43184460109,19556.563020727746,19588.37013843782,19602.0,19346.060034611615,19572.99037150578,19598.887185931642,19604.536183464028,19472.497436055855,19593.422425773726,19604.536183464028
0.0006551285568595509,19606.72948738175,19559.355967576976,19602.0,19597.27512589619,19594.621247759893,19642.108294773974,19210.15841013263,19408.67152698193,19535.822133190406,19668.16712698767,19535.822133190406,19582.149904870847,19602.0,19230.891371182457,19559.355967576976,19597.27512589619,19605.501901224186,19413.747520921777,19589.47234039165,19605.501901224186
0.0009540954763499944,19608.007110948267,19539.057224030115,19602.0,19594.712820463617,19590.37461038929,19659.565168357785,19029.46417421813,19320.313567654004,19505.60588255943,19698.3720160672,19505.60588255943,19573.09067103871,19602.0,19064.927220406582,19539.057224030115,19594.712820463617,19606.693459464856,19328.574222289928,19583.679633049003,19606.693459464856
0.0013894954943731374,19608.880988058147,19508.560460605204,19602.0,19590.52639502963,19583.205985476125,19684.036449307023,18764.758359556505,19191.5321510145,19461.571047495756,19742.38512282929,19461.571047495756,19559.8961876101,19602.0,18826.837509935896,19508.560460605204,19590.52639502963,19607.973105777233,19205.3461763238,19575.158659310044,19607.973105777233
0.0020235896477251557,19608.06302529705,19462.175413866946,19602.0,19583.466047933158,19570.68381395396,19717.650661619704,18377.113051135126,19003.86506505626,19397.35609592154,19806.56464339879,19397.35609592154,19540.67745446038,19602.0,18487.408778279118,19462.175413866946,19583.466047933158,19608.870602861374,19027.589055559758,19562.569602828815,19608.870602861374
0.0029470517025518097,19602.44983248515,19390.481170230327,19602.0,19571.145041835607,19548.051344601587,19762.298637545067,17811.50204651392,18730.61173456355,19303.592263504524,19900.301223762657,19303.592263504524,19512.67995201416,19602.0,18007.668537033125,19390.481170230327,19571.145041835607,19608.130779105202,18772.271710742374,19543.855542184687,19608.130779105202
0.004291934260128779,19584.95654478262,19277.424893645853,19602.0,19548.89694865496,19505.85242232028,19818.17056346133,16995.622103784917,18333.69443840916,19166.343187486655,20037.707675361464,19166.343187486655,19471.882057330746,19602.0,17337.68090586873,19277.424893645853,19548.89694865496,19602.723608605957,18407.824811021088,19515.79802044733,19602.723608605957
0.0062505519252739694,19540.00152944598,19094.950265920103,19602.0,19507.448299487733,19425.163359308834,19880.16078395721,15850.892080777834,17760.563955365604,18964.527452606028,20240.82253820376,18964.527452606028,19412.39762483671,19602.0,16417.95692079423,19094.950265920103,19507.448299487733,19585.72334959934,17892.291531439496,19473.241540326842,19585.72334959934
0.009102981779915217,19434.524519881877,18793.29999575505,19602.0,19428.24149024878,19268.39035200562,19929.811218780473,14333.984303399902,16944.048511981673,18665.49319117434,20546.930641060597,18665.49319117434,19325.570140394622,19602.0,15188.696968895229,18793.29999575505,19428.24149024878,19541.883559644826,17172.739790495973,19407.70001229789,19541.883559644826
0.013257113655901081,19201.802179479924,18285.0067171029,19602.0,19274.392637558398,18963.17395338143,19919.00064372754,12514.909572987444,15813.260901811123,18217.554591628428,21029.085701458258,18217.554591628428,19198.555000992434,19602.0,13617.171474962188,18285.0067171029,19274.392637558398,19438.818948821627,16188.75787744124,19304.79617841536,19438.818948821627
0.019306977288832496,18718.74518075937,17424.81150900634,19602.0,18974.810209683965,18380.82337755299,19742.465678033193,10616.045097056556,14330.422240350083,17539.65641748967,21864.26313993349,17539.65641748967,19012.000191019928,19602.0,11747.669500828395,17424.81150900634,18974.810209683965,19211.051049364505,14886.236433425294,19139.51667671153,19211.051049364505
0.02811768697974228,17796.311771071498,16007.397457075132,19602.0,18402.647609310665,17330.206146055716,19210.327642403987,8883.213710230191,12557.130384160322,16517.623882438238,23589.95925512034,16517.623882438238,18736.08576021918,19602.0,9737.691525108386,16007.397457075132,18402.647609310665,18737.369183004834,13250.527311177306,18867.571289729363,18737.369183004834
0.040949150623804234,16245.429569852076,13849.104742121737,19602.0,17368.112505142977,15629.554068767859,18077.505997743054,7401.4489514087745,10686.042538532753,15041.224326903617,28203.6115367743,15041.224326903617,18323.762319155998,19602.0,7808.534095048879,13849.104742121737,17368.112505142977,17830.245863063275,11355.183418181856,18410.743498827887,17830.245863063275
0.05963623316594643,14066.207185696887,11014.471268533096,19602.0,15686.981390289808,13297.637463681773,16218.895507658051,6120.214988614306,8931.008988319149,13118.525096677595,45139.1249395303,13118.525096677595,17700.735128999244,19602.0,6124.208907476898,11014.471268533096,15686.981390289808,16298.49066328347,9376.639749063886,17636.863820152215,16298.49066328347
0.08685113737513521,11569.193391134884,7996.040737501515,19602.0,13369.583390984353,10664.119675712689,13846.106617214175,4984.587494031011,7373.881215568061,10968.72054327692,142857.3950754917,10968.72054327692,16758.620030181093,19602.0,4735.044423362619,7996.040737501515,13369.583390984353,14134.003819345475,7516.707010073771,16350.273246941464,14134.003819345475
