s,XY,XW,XV,YX,YW,YV,WX,WY,WV,VX,VY,VW
0.0001,19602.893305257443,19602.0,19573.486001255802,19601.044961618594,19555.7640242213,19572.520908812843,19602.0,19545.40499151293,19545.668034793012,19572.13160418272,19573.120521001638,19541.415201449843
0.00014563484775012445,19603.280447604797,19602.0,19560.496614870728,19600.58861984148,19534.486657323163,19559.06410728995,19602.0,19519.69356604231,19520.05117835026,19558.47575639935,19559.95877270626,19513.572125167324
0.00021209508879201905,19603.821262477963,19602.0,19541.605095358736,19599.901037672,19503.302070627182,19539.461929250752,19602.0,19482.376217520683,19482.843251857525,19538.559873770642,19540.81009816013,19472.807749531654
0.00030888435964774815,19604.560094259108,19602.0,19514.146339449624,19598.85092549175,19457.471777022376,19510.90537834103,19602.0,19428.29504194389,19428.861936379748,19509.49624728373,19512.964056192188,19412.992243495795
0.0004498432668969444,19605.532618413963,19602.0,19474.270126764623,19597.218217115158,19389.859531172013,19469.299199163004,19602.0,19350.08458916036,19350.672431304636,19467.046077537983,19472.497436055855,19324.953978587055
0.0006551285568595509,19606.72948738175,19602.0,19416.433826258948,19594.621247759893,19289.591352811287,19408.67152698193,19602.0,19237.310784300258,19237.670634606817,19404.968553784023,19413.747520921777,19194.85389568409
0.0009540954763499944,19608.007110948267,19602.0,19332.698547226748,19590.37461038929,19139.868837174243,19320.313567654004,19602.0,19075.3476707497,19074.845409915677,19314.04064227802,19328.574222289928,19001.631241802144
0.0013894954943731374,19608.880988058147,19602.0,19211.77314339362,19583.205985476125,18914.37768693848,19191.5321510145,19602.0,18843.96121494672,18841.14017728642,19180.57447535342,19205.3461763238,18713.061492949335
0.0020235896477251557,19608.06302529705,19602.0,19037.754277068565,19570.68381395396,18571.49980054672,19003.86506505626,19602.0,18515.572206192326,18507.327416129618,18984.182949571583,19027.589055559758,18280.09101437998
0.0029470517025518097,19602.44983248515,19602.0,18788.5350569139,19548.051344601587,18045.704267404202,18730.61173456355,19602.0,18053.132671778065,18033.36286237045,18694.495612093062,18772.271710742374,17630.380157768253
0.004291934260128779,19584.95654478262,19602.0,18433.916518221344,19505.85242232028,17237.742690921194,18333.69443840916,19602.0,17407.562724096548,17365.70858481553,18266.706725230157,18407.824811021088,16666.928712614405
0.0062505519252739694,19540.00152944598,19602.0,17933.603158973485,19425.163359308834,16014.3931169312,17760.563955365604,19602.0,16515.72993892715,16437.71908884706,17636.931063076227,17892.291531439496,15290.0646964474
0.009102981779915217,19434.524519881877,19602.0,17235.722915345355,19268.39035200562,14250.66163061209,16944.048511981673,19602.0,15305.559062594795,15183.550926915083,16722.171989444854,17172.739790495973,13472.718750000526
0.013257113655901081,19201.802179479924,19602.0,16278.196091630369,18963.17395338143,11960.32658246427,15813.260901811123,19602.0,13727.696088457711,13581.444832937004,15438.944634427597,16188.75787744124,11372.77116380397
0.019306977288832496,18718.74518075937,19602.0,15000.096923290017,18380.82337755299,9453.448077004081,14330.422240350083,19602.0,11827.09832786976,11712.180650327227,13763.656871217208,14886.236433425294,9324.950081937877
0.02811768697974228,17796.311771071498,19602.0,13375.69981669734,17330.206146055716,7234.717950477029,12557.130384160322,19602.0,9788.351898512881,9757.688304919826,11825.125640864966,13250.527311177306,7606.056234768621
0.040949150623804234,16245.429569852076,19602.0,11468.834539888012,15629.554068767859,5590.801105074123,10686.042538532753,19602.0,7848.076552755316,7908.216201283034,9906.058954427484,11355.183418181856,6262.52757680387
0.05963623316594643,14066.207185696887,19602.0,9455.000166197324,13297.637463681773,4436.425551431202,8931.008988319149,19602.0,6157.814718776155,6281.148112639327,8248.096717679859,9376.639749063886,5211.559718498278
0.08685113737513521,11569.193391134884,19602.0,7552.466425297524,10664.119675712689,3577.5458330886245,7373.881215568061,19602.0,4760.517983967036,4920.107290225146,6890.693891076807,7516.707010073771,4369.832439449522
0.12648552168552957,9158.79928016919,19602.0,5910.029910365656,8141.344951160662,2890.6006891821735,5993.569613667201,19602.0,3642.146137879971,3822.4878234420594,5755.104542383993,5900.004004846041,3678.1501288591476
0.18420699693267145,7067.604250774153,19602.0,4567.024915996834,5963.465903238607,2316.216706150973,4775.518283320386,19602.0,2769.312065592612,2960.214410201911,4767.4409697027595,4560.9512106001575,3093.9398414319367
0.2682695795279725,5357.484931596321,19602.0,3499.3775485853444,4194.824050533815,1829.752368161334,3730.9457049087246,19602.0,2104.9671293828137,2297.7179961111046,3888.841601921961,3485.730439606902,2586.4729633394186
0.3906939937054613,4010.8807422796795,19602.0,2667.868596464743,2821.5706794194925,1424.0906992184287,2868.795700661198,19602.0,1614.6351513263232,1802.323954741081,3109.9416766970107,2642.9290506001857,2135.9892647942993
0.5689866029018293,2982.83878831002,19602.0,2034.7543740781564,1801.6601465745623,1097.3170576914513,2181.4043518832937,19602.0,1267.9948185229855,1445.3306964722883,2437.7769842321104,1997.7155597002875,1733.6056010142001
0.8286427728546842,2223.3164586852486,19602.0,1566.7749378543688,1084.084110039713,845.6436912768922,1649.4567647047622,19602.0,1037.2810980833185,1199.2035543673217,1880.0032988522232,1517.4466909338094,1379.7181934967803
1.2067926406393288,1686.189889615544,19602.0,1234.7953594404587,614.2345300622707,661.9780825766691,1250.4836179909103,19602.0,894.4241442364689,1035.389672895565,1435.2405835492673,1173.2897288087242,1079.4667062189517
1.7575106248547894,1331.606082553635,19602.0,1011.6011445457084,334.77486157178066,536.687640341385,962.9955335190698,19602.0,810.6445275230254,926.9740104437742,1093.82954915216,939.4469614274475,836.8584902427262
