M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,V
380,1.290419739480707e-15,1.1505833798791858e-15,3.758408822974227e-15,4.4453242736483675e-15,4.317754261380314e-15,0.49999999999999245,0.49999999999999245
385,2.583292748428078e-15,2.8408860424308783e-15,7.016350674742929e-15,6.5747621707381284e-15,7.771957670484475e-15,0.4999999999999865,0.49999999999998673
390,7.114481453410838e-17,7.433406484080979e-16,6.967285285409234e-16,1.1775693440128285e-16,3.7289695893739574e-16,0.4999999999999991,0.49999999999999883
395,1.8006997885529217e-15,1.8669380641536424e-15,4.543455052316092e-15,4.612146597383506e-15,5.446258216059245e-15,0.4999999999999911,0.49999999999999056
400,4.955604322720633e-16,1.0941581821452486e-15,2.0018678848217998e-15,1.6780363152182737e-15,1.3934570570818413e-15,0.4999999999999967,0.4999999999999967
405,1.6289709258843882e-15,1.9086436450874306e-15,5.083174334988632e-15,3.787848056574541e-15,4.759342765385109e-15,0.49999999999999134,0.49999999999999134
410,6.059575582732649e-16,6.427566002736655e-16,1.9233632618876096e-15,2.021494040555345e-15,2.5906525568282087e-15,0.49999999999999606,0.49999999999999606
415,7.212612232078491e-16,1.7761670938859958e-15,3.7780349787077814e-15,3.5523341877719917e-15,3.8859788352422895e-15,0.4999999999999931,0.4999999999999931
420,6.010510193398795e-16,4.6612119867174326e-17,1.3542047456147488e-15,1.4915878357495784e-15,1.4523355242824841e-15,0.4999999999999975,0.4999999999999975
425,1.4201546152393391e-16,5.20723358921091e-16,5.680618460957357e-16,7.810850383816365e-16,7.006096101847407e-16,0.4999999999999986,0.4999999999999986
430,1.844858638953398e-15,1.9454426870878255e-15,5.426632060325687e-15,5.0831743349886184e-15,5.95653826513145e-15,0.4999999999999899,0.4999999999999899
435,5.985977498731851e-16,6.427566002736659e-16,1.6289709258844051e-15,1.942989417621158e-15,1.678036315218273e-15,0.49999999999999695,0.4999999999999966
440,1.0867983737451622e-15,9.886675950774275e-16,3.5032687984381304e-15,3.140184917367512e-15,3.3560726304365285e-15,0.4999999999999938,0.4999999999999941
445,2.8703252760312664e-16,8.73363930142847e-16,4.90653893338678e-16,4.219623482712631e-16,1.275700122680563e-15,0.4999999999999983,0.4999999999999983
450,7.3352757054132035e-16,1.1162376073454876e-15,2.7280356469630374e-15,1.0598124096115396e-15,2.188316364290494e-15,0.49999999999999606,0.49999999999999606
455,3.721609780973754e-15,3.1009326059003463e-15,8.812143924362377e-15,9.224293194766852e-15,1.0293918682245137e-14,0.4999999999999824,0.4999999999999824
460,8.439246965425232e-16,1.1211441462788754e-15,1.324765512014426e-15,1.0598124096115407e-15,2.6789702576291722e-15,0.4999999999999966,0.49999999999999634
465,5.397192826725434e-16,1.0107470202776722e-15,1.9233632618876092e-15,2.7672879584301317e-15,1.9135501840208355e-15,0.4999999999999959,0.4999999999999959
470,3.14018491736754e-16,6.795556422740691e-16,7.457939178747908e-16,1.3443916677479783e-15,4.906538933386781e-16,0.49999999999999817,0.49999999999999817
475,1.2308006665407626e-16,4.544494768765893e-16,1.6568470511125653e-17,3.5503865380983546e-17,1.70418553828721e-16,0.4999999999999996,0.4999999999999996
480,2.232475214690986e-16,8.90536816409701e-16,1.1971954997463751e-15,3.1401849173675415e-16,2.845792581364334e-16,0.4999999999999987,0.4999999999999983
485,6.378500613402815e-16,1.1530366493458936e-16,6.182239056067343e-16,1.452335524282487e-15,7.457939178747906e-16,0.4999999999999983,0.4999999999999983
490,9.248825889434016e-16,4.1214927040448664e-16,2.50233485602724e-15,2.8163533477639918e-15,3.3953249419036283e-15,0.49999999999999495,0.49999999999999495
495,1.2585272364137007e-15,1.2266347333466869e-15,2.9635495157655957e-15,2.2275686757575832e-15,2.531774089627562e-15,0.4999999999999947,0.49999999999999495
500,2.600465634695e-16,5.88784672006415e-17,6.574762170738301e-16,1.5700924586837734e-16,4.3177542613803773e-16,0.4999999999999992,0.4999999999999992
