M,X,Y_{cj},Y_{rj},Z,T,V
5,0.16666666666666666,0.02777777777777773,0.02777777777777778,0.16666666666666663,0.30555555555555564,0.30555555555555564
10,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
15,0.17647058823529435,0.1764705882352939,0.17647058823529402,0.23529411764705863,0.11764705882352956,0.11764705882352956
20,0.17647058823529402,0.17647058823529413,0.17647058823529413,0.23529411764705893,0.11764705882352945,0.11764705882352945
25,0.17647058823529402,0.17647058823529388,0.17647058823529435,0.23529411764705904,0.11764705882352947,0.11764705882352947
30,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
35,0.17647058823529416,0.1764705882352939,0.17647058823529405,0.23529411764705882,0.1176470588235295,0.1176470588235295
40,0.17647058823529396,0.17647058823529407,0.17647058823529407,0.2352941176470591,0.1176470588235294,0.1176470588235294
45,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.23529411764705885,0.11764705882352938,0.11764705882352938
50,0.17647058823529402,0.17647058823529388,0.17647058823529435,0.23529411764705904,0.11764705882352947,0.11764705882352947
55,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
60,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
65,0.17647058823529396,0.17647058823529407,0.17647058823529407,0.2352941176470591,0.1176470588235294,0.1176470588235294
70,0.17647058823529396,0.17647058823529407,0.17647058823529407,0.2352941176470591,0.1176470588235294,0.1176470588235294
75,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.23529411764705885,0.11764705882352938,0.11764705882352938
80,0.1764705882352941,0.17647058823529382,0.17647058823529427,0.2352941176470591,0.11764705882352933,0.11764705882352933
85,0.17647058823529435,0.1764705882352939,0.17647058823529402,0.23529411764705863,0.11764705882352956,0.11764705882352956
90,0.17647058823529416,0.1764705882352939,0.17647058823529405,0.23529411764705882,0.1176470588235295,0.1176470588235295
95,0.17647058823529402,0.17647058823529388,0.17647058823529435,0.23529411764705904,0.11764705882352947,0.11764705882352947
100,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
105,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
110,0.17647058823529435,0.17647058823529405,0.17647058823529416,0.23529411764705835,0.11764705882352963,0.11764705882352963
115,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
120,0.17647058823529435,0.17647058823529405,0.17647058823529416,0.23529411764705835,0.11764705882352963,0.11764705882352963
125,0.17647058823529396,0.17647058823529407,0.17647058823529407,0.2352941176470591,0.1176470588235294,0.1176470588235294
130,0.17647058823529402,0.17647058823529388,0.17647058823529435,0.23529411764705904,0.11764705882352947,0.11764705882352947
135,0.17647058823529435,0.17647058823529405,0.17647058823529416,0.23529411764705835,0.11764705882352963,0.11764705882352963
140,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
145,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
150,0.1764705882352941,0.17647058823529382,0.17647058823529427,0.2352941176470591,0.11764705882352933,0.11764705882352933
155,0.1764705882352941,0.17647058823529382,0.17647058823529427,0.2352941176470591,0.11764705882352933,0.11764705882352933
160,0.17647058823529416,0.1764705882352939,0.17647058823529405,0.23529411764705882,0.1176470588235295,0.1176470588235295
165,0.17647058823529435,0.17647058823529405,0.17647058823529416,0.23529411764705835,0.11764705882352963,0.11764705882352963
170,0.17647058823529396,0.17647058823529407,0.17647058823529407,0.2352941176470591,0.1176470588235294,0.1176470588235294
175,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
180,0.17647058823529396,0.17647058823529407,0.17647058823529407,0.2352941176470591,0.1176470588235294,0.1176470588235294
185,0.17647058823529435,0.17647058823529405,0.17647058823529416,0.23529411764705835,0.11764705882352963,0.11764705882352963
190,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
195,0.17647058823529402,0.17647058823529388,0.17647058823529435,0.23529411764705904,0.11764705882352947,0.11764705882352947
200,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
205,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
210,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
215,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
220,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
225,0.17647058823529368,0.17647058823529407,0.17647058823529407,0.23529411764705904,0.11764705882352956,0.11764705882352956
230,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
235,0.1764705882352941,0.17647058823529382,0.17647058823529427,0.2352941176470591,0.11764705882352933,0.11764705882352933
240,0.1764705882352941,0.17647058823529382,0.17647058823529427,0.2352941176470591,0.11764705882352933,0.11764705882352933
245,0.17647058823529416,0.1764705882352939,0.17647058823529405,0.23529411764705882,0.1176470588235295,0.1176470588235295
250,0.17647058823529402,0.17647058823529388,0.17647058823529435,0.23529411764705904,0.11764705882352947,0.11764705882352947
255,0.1764705882352938,0.1764705882352942,0.1764705882352942,0.23529411764705904,0.11764705882352942,0.11764705882352942
