M,X_{cj},X_{rj},Y_{cj},Y_{rj},U,W
450,3.89010528658682e-16,8.89166922648416e-16,0.4999999999999981,0.49999999999999845,1.151184616895642e-15,1.150533371590968e-15
455,7.224392843356861e-16,3.8900576848844647e-16,0.49999999999999883,0.49999999999999883,6.349564022481618e-16,6.356076395838008e-16
460,1.0002885735927368e-15,2.7785793710909357e-17,0.4999999999999538,0.5000000000000443,4.931978383686411e-16,4.931978383686411e-16
465,2.222837461297714e-16,4.167820239933214e-16,0.5000000000000452,0.4999999999999541,5.198921601375025e-17,1.2622851403756063e-16
470,6.390584444220888e-16,2.2228119805985697e-16,0.49999999999999795,0.49999999999999795,1.6140350079824869e-15,1.6140350079824869e-15
475,1.2781025463455304e-15,3.05633217604366e-16,0.5000000000000441,0.49999999999995226,1.0620103104611937e-15,1.0620103104611937e-15
480,3.0562985942505226e-16,0.0,0.499999999999999,0.499999999999999,8.106354474594159e-16,9.935141097929434e-16
485,6.11253141226105e-16,5.279004401498179e-16,0.4999999999999986,0.4999999999999983,1.0155354478786688e-15,1.0155354478786688e-15
490,1.1113576327374053e-16,1.3891970409217567e-16,0.4999999999999996,0.49999999999999956,2.762114429020211e-16,2.762114429020211e-16
495,8.335096161332401e-16,1.9448557709775602e-16,0.5000000000000467,0.49999999999994943,1.478177209861293e-15,1.478177209861293e-15
500,9.724180434993068e-16,1.667002360284526e-16,0.4999999999999986,0.49999999999999867,7.827097019773437e-16,7.827097019773437e-16
