M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,U,W
5,0.14285714285714257,0.14285714285714293,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429
10,0.05000000000000012,0.04999999999999951,0.09999999999999917,0.10000000000000031,0.0999999999999997,0.3000000000000005,0.30000000000000066
15,0.04000000001200023,0.040000000012000464,0.08000000002400048,0.08000000002400083,0.08000000002400101,0.33999999995199837,0.33999999995199853
20,0.0333333333333324,0.03333333333333251,0.06666666666666458,0.06666666666666496,0.06666666666666443,0.36666666666667064,0.3666666666666704
25,0.02857142857142908,0.028571428571429452,0.057142857142859924,0.05714285714286028,0.05714285714286017,0.3857142857142805,0.3857142857142805
30,0.024999999981250028,0.024999999981250267,0.04999999996250083,0.04999999996250019,0.049999999962500166,0.4000000000749993,0.4000000000749992
35,0.022222222239507115,0.02222222223950658,0.0444444444790137,0.044444444479013946,0.044444444479014106,0.4111111110419723,0.4111111110419723
40,0.019999999999999945,0.019999999999999702,0.03999999999999813,0.039999999999998426,0.03999999999999825,0.4200000000000027,0.4200000000000028
45,0.018181818166941328,0.018181818166941716,0.03636363633388399,0.03636363633388353,0.03636363633388254,0.4272727273322334,0.4272727273322334
50,0.016666666666665955,0.016666666666666472,0.03333333333333231,0.033333333333331924,0.03333333333333174,0.43333333333333574,0.4333333333333359
55,0.0153846153976322,0.015384615397631645,0.030769230795263346,0.030769230795263693,0.030769230795263242,0.4384615384094729,0.43846153840947305
60,0.014285714310203288,0.014285714310204057,0.028571428620407045,0.02857142862040536,0.028571428620405796,0.44285714275918725,0.44285714275918725
65,0.013333333344888204,0.013333333344888032,0.026666666689775083,0.026666666689775756,0.026666666689774823,0.4466666666204491,0.4466666666204491
70,0.012500000010935946,0.012500000010935939,0.025000000021871218,0.02500000002186967,0.02500000002187034,0.4499999999562584,0.44999999995625845
75,0.01176470585640034,0.011764705856400442,0.02352941171280007,0.02352941171280038,0.02352941171279971,0.45294117657439953,0.45294117657439953
80,0.011111111111110208,0.011111111111109628,0.022222222222219343,0.022222222222219513,0.022222222222218355,0.4555555555555615,0.4555555555555615
85,0.010526315803600545,0.01052631580360063,0.02105263160720136,0.02105263160720133,0.021052631607201392,0.4578947367855974,0.4578947367855974
90,0.009999999990999583,0.009999999990999505,0.019999999981999802,0.019999999981999955,0.019999999981999833,0.4600000000360007,0.4600000000360007
95,0.009523809532427123,0.009523809532427185,0.019047619064854204,0.019047619064854682,0.01904761906485475,0.46190476187028817,0.46190476187029383
100,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
105,0.008695652154063954,0.008695652154063729,0.017391304308127797,0.017391304308126767,0.01739130430812747,0.4652173913837451,0.4652173913837451
110,0.008333333340971527,0.008333333340970079,0.016666666681942048,0.01666666668194175,0.01666666668194175,0.466666666636118,0.4666666666361147
115,0.008000000022078667,0.008000000022078135,0.016000000044155402,0.016000000044156328,0.016000000044155065,0.4679999999116882,0.4679999999116882
120,0.007692307663905432,0.007692307663904868,0.01538461532781003,0.015384615327808663,0.015384615327809041,0.46923076934438096,0.46923076934438096
125,0.007407407407407683,0.0074074074074085,0.014814814814815929,0.014814814814816665,0.01481481481481658,0.47037037037037543,0.4703703703703592
130,0.0071428571494900174,0.007142857149489855,0.014285714298979143,0.014285714298980352,0.014285714298979589,0.47142857140204053,0.47142857140204053
135,0.006896551717716358,0.006896551717716279,0.01379310343543202,0.013793103435431695,0.013793103435430247,0.4724137931291367,0.47241379312913667
140,0.006666666629333189,0.006666666629332766,0.013333333258666202,0.013333333258666136,0.013333333258666211,0.47333333348266776,0.47333333348266776
145,0.006451612882102634,0.00645161288210248,0.01290322576420511,0.012903225764204839,0.012903225764204858,0.47419354847159,0.47419354847159
150,0.006250000029296149,0.006250000029296616,0.012500000058592522,0.01250000005859132,0.012500000058591646,0.4749999998828159,0.4749999998828159
155,0.00606060605775768,0.006060606057758187,0.012121212115514942,0.012121212115515315,0.012121212115514736,0.47575757576896954,0.47575757576896954
160,0.0058823529411761236,0.005882352941176985,0.011764705882352292,0.011764705882353958,0.011764705882353389,0.47647058823529365,0.47647058823529365
165,0.005714285749306865,0.005714285749306627,0.011428571498613907,0.01142857149861401,0.011428571498613557,0.47714285700277237,0.4771428570027726
170,0.0055555555188269955,0.005555555518827195,0.011111111037654296,0.01111111103765362,0.011111111037653845,0.477777777924692,0.477777777924692
175,0.00540540539262144,0.005405405392622259,0.01081081078524479,0.01081081078524273,0.01081081078524369,0.4783783784295124,0.47837837842951264
180,0.005263157934626882,0.005263157934626377,0.010526315869252794,0.01052631586925305,0.01052631586925335,0.4789473682614938,0.4789473682614938
185,0.005128205123338285,0.005128205123337678,0.010256410246675307,0.01025641024667624,0.010256410246675514,0.47948717950664843,0.47948717950664843
190,0.005000000004749933,0.0050000000047505525,0.010000000009501233,0.010000000009500564,0.010000000009500413,0.47999999998099857,0.47999999998099857
195,0.004878048754968884,0.004878048754969506,0.009756097509939277,0.009756097509938983,0.009756097509940201,0.48048780498012156,0.48048780498012156
200,0.004761904761904003,0.004761904761904078,0.00952380952380726,0.009523809523806203,0.009523809523805977,0.48095238095238624,0.48095238095238624
205,0.004651162808436057,0.004651162808435761,0.009302325616870657,0.009302325616870034,0.009302325616869693,0.48139534876625883,0.48139534876625883
210,0.004545454580165313,0.004545454580165754,0.009090909160331659,0.00909090916033127,0.009090909160331659,0.4818181816793375,0.4818181816793368
215,0.004444444452939499,0.004444444452939446,0.008888888905879144,0.008888888905879902,0.008888888905880687,0.4822222221882408,0.48222222218824057
220,0.0043478260453679715,0.004347826045368524,0.008695652090736725,0.008695652090736222,0.008695652090736536,0.482608695818527,0.482608695818527
225,0.004255319108193404,0.004255319108193098,0.008510638216385499,0.00851063821638566,0.008510638216385443,0.48297872356722843,0.48297872356722843
230,0.004166666678646278,0.0041666666786456304,0.008333333357291677,0.008333333357292588,0.008333333357292076,0.4833333332854159,0.4833333332854159
235,0.004081632608037622,0.00408163260803734,0.00816326521607553,0.008163265216074855,0.008163265216075358,0.4836734695678496,0.48367346956784973
240,0.0040000000307193,0.004000000030719596,0.008000000061438911,0.008000000061438977,0.008000000061439083,0.483999999877122,0.4839999998771222
245,0.003921568670779983,0.0039215686707799865,0.00784313734156031,0.007843137341560414,0.0078431373415601,0.48431372531687966,0.48431372531687966
250,0.003846153846153556,0.00384615384615348,0.007692307692306608,0.007692307692306675,0.007692307692306408,0.48461538461538667,0.48461538461538667
255,0.0037735848802422822,0.0037735848802423824,0.007547169760484836,0.00754716976048554,0.007547169760484627,0.4849056604790302,0.4849056604790302
260,0.003703703660904655,0.003703703660905084,0.007407407321809706,0.007407407321809629,0.007407407321808897,0.4851851853563811,0.4851851853563809
265,0.0036363636311079945,0.003636363631107316,0.007272727262214508,0.007272727262214479,0.007272727262214307,0.4854545454755707,0.48545454547557076
270,0.0035714285679837522,0.0035714285679843243,0.007142857135967171,0.007142857135967466,0.007142857135966513,0.4857142857280654,0.4857142857280654
275,0.0035087718959694782,0.003508771895968998,0.007017543791939667,0.00701754379193896,0.007017543791940096,0.4859649124161213,0.48596491241612155
280,0.0034482758887038134,0.003448275888704529,0.006896551777408404,0.006896551777407851,0.0068965517774071065,0.4862068964451841,0.4862068964451841
285,0.003389830480636793,0.003389830480636886,0.006779660961272912,0.006779660961272063,0.006779660961272053,0.4864406780774546,0.4864406780774546
290,0.0033333333687750664,0.0033333333687746245,0.006666666737546393,0.006666666737549335,0.006666666737547969,0.4866666665249032,0.4866666665249033
295,0.0032786885166636993,0.0032786885166633138,0.0065573770333274125,0.006557377033327451,0.006557377033327776,0.48688524593334515,0.48688524593334515
300,0.003225806420394496,0.003225806420394417,0.006451612840789493,0.006451612840788901,0.0064516128407889105,0.48709677431842197,0.48709677431842197
305,0.0031746031515499117,0.003174603151549099,0.0063492063030998296,0.006349206303098576,0.006349206303098479,0.48730158739380197,0.48730158739380197
310,0.003125000045410919,0.003125000045410242,0.00625000009082162,0.006250000090822069,0.006250000090822892,0.48749999981835607,0.48749999981835607
315,0.0030769231007791932,0.0030769231007787574,0.006153846201557099,0.006153846201557806,0.006153846201556458,0.48769230759688537,0.48769230759688537
320,0.0030303030303020944,0.00303030303030169,0.006060606060604035,0.006060606060603403,0.006060606060603853,0.4878787878787924,0.4878787878787924
325,0.002985074648585133,0.002985074648585492,0.0059701492971715835,0.00597014929717145,0.005970149297170999,0.48805970140565763,0.48805970140565763
330,0.0029411764420400454,0.0029411764420406274,0.005882352884080431,0.0058823528840793865,0.00588235288407954,0.4882352942318399,0.4882352942318399
335,0.002898550699308299,0.0028985506993079034,0.005797101398616291,0.005797101398616751,0.005797101398616761,0.488405797202767,0.488405797202767
