M,X,Y_{cj},Y_{rj},U,W
260,5.134468312754266e-16,0.49999999999994577,0.49999999999998535,3.426743650519277e-14,3.426743650519277e-14
265,7.059723704330628e-16,0.49999999999994954,0.4999999999999323,5.871315989067002e-14,5.887097580231336e-14
270,1.0910228746408342e-15,0.49999999999989214,0.49999999999987466,1.160309846629169e-13,1.1609691734123278e-13
275,2.567055201852399e-16,0.4999999999999594,0.49999999999999906,2.0756295854274712e-14,2.0599865927911834e-14
280,3.2087497590557733e-16,0.4999999999999704,0.49999999999998856,2.044525100383365e-14,2.044525100383365e-14
285,6.41736588606277e-17,0.49999999999994205,0.4999999999999888,3.456754243064499e-14,3.456754243064499e-14
290,6.417236858138798e-17,0.49999999999993155,0.49999999999995076,5.887300937047068e-14,5.87991860792706e-14
295,1.28342243998868e-16,0.49999999999997796,0.5000000000000026,9.642776421307527e-15,9.713088920217064e-15
300,3.2084958467287363e-16,0.4999999999999179,0.49999999999996536,5.825813800510801e-14,5.825813800510801e-14
305,1.2833750269409687e-16,0.49999999999998557,0.4999999999998931,6.066152803123632e-14,6.066152803123632e-14
310,5.133409866317011e-16,0.49999999999996525,0.49999999999983297,1.0063225388692812e-13,1.0063225388692812e-13
315,1.9249959326838165e-16,0.4999999999999785,0.49999999999999944,1.0877918910620025e-14,1.0980372307427905e-14
320,1.2833094590933166e-16,0.49999999999998784,0.4999999999998977,5.7099500891912e-14,5.7099500891912e-14
325,5.774800261761043e-16,0.4999999999999543,0.5000000000000376,3.795477446347547e-15,3.795477446347547e-15
330,1.3474325088822908e-15,0.49999999999990224,0.499999999999912,9.21488064255496e-14,9.210732575586581e-14
335,1.9248746376353755e-16,0.499999999999866,0.49999999999985345,1.4027555251107605e-13,1.4023720539915439e-13
340,0.0,0.5000000000000179,0.49999999999992156,3.025041706620344e-14,3.025041706620344e-14
345,4.491244939684043e-16,0.5000000000000717,0.49999999999983474,4.65131446322493e-14,4.65131446322493e-14
350,8.340768612845166e-16,0.49999999999995454,0.49999999999992834,5.803732613092912e-14,5.803732613092912e-14
355,6.415889999008097e-16,0.5000000000000094,0.4999999999998883,5.094216659212429e-14,5.094216659212429e-14
360,3.849483915215037e-16,0.5000000000000104,0.49999999999997835,5.487206246917607e-15,5.330257073616603e-15
365,6.415725336868022e-17,0.4999999999999354,0.49999999999994826,5.824081431315499e-14,5.808317793671397e-14
370,1.2831292682571779e-16,0.4999999999999721,0.4999999999999564,3.564292520480642e-14,3.5651821901881246e-14
375,5.132455560662352e-16,0.4999999999999992,0.4999999999999986,7.443062995687102e-16,7.443062995687102e-16
380,0.0,0.4999999999998935,0.49999999999987454,1.1603825341312063e-13,1.1603825341312063e-13
385,4.490795160001856e-16,0.49999999999992756,0.49999999999998107,4.540063593509465e-14,4.555801424762151e-14
390,3.849210360428451e-16,0.5000000000000296,0.49999999999993455,1.7664830768827576e-14,1.7664830768827576e-14
395,5.132225073539491e-16,0.49999999999997713,0.49999999999999806,1.2158336426047476e-14,1.2158336426047476e-14
400,0.0,0.499999999999869,0.49999999999988803,1.2151047713225483e-13,1.2150214487212605e-13
405,2.5660591805254933e-16,0.49999999999995415,0.4999999999999327,5.635174967830812e-14,5.6508995980630355e-14
410,1.2830167389215096e-16,0.49999999999988176,0.4999999999999281,9.49651652357885e-14,9.49651652357885e-14
415,3.84901259120892e-16,0.49999999999998546,0.4999999999999693,2.2263317800313068e-14,2.2549425230392023e-14
420,4.49047183768317e-16,0.4999999999999697,0.5000000000000032,1.3213188323946133e-14,1.3370116783117399e-14
425,3.848939994292587e-16,0.4999999999999826,0.49999999999990397,5.6526231880047076e-14,5.6526231880047076e-14
430,5.773357441938465e-16,0.49999999999995814,0.49999999999997835,3.148741288100973e-14,3.1330362022644494e-14
435,2.565913822148052e-16,0.49999999999999944,0.4999999999998817,5.937728805130773e-14,5.937728805130773e-14
440,3.848837282585319e-16,0.49999999999998007,0.49999999999995054,3.4545632433134473e-14,3.4412952788529736e-14
445,5.131739444216778e-16,0.5,0.499999999999999,2.878459807882824e-16,1.3104979147096558e-16
450,5.131696813349609e-16,0.4999999999998861,0.499999999999941,8.621720467302589e-14,8.621720467302589e-14
455,3.848741339217522e-16,0.4999999999999084,0.4999999999999039,9.357484157387886e-14,9.373150990215659e-14
460,3.207258956461887e-16,0.4999999999998687,0.499999999999912,1.0944708547149695e-13,1.0963714062137792e-13
465,4.490127616191373e-16,0.49999999999997513,0.499999999999924,5.0315174871240903e-14,5.015788259383778e-14
470,1.2828838388703466e-16,0.5000000000000102,0.49999999999998224,3.746860196388173e-15,3.589882320401401e-15
475,7.05580853219056e-16,0.4999999999999066,0.49999999999989253,1.0004540162555779e-13,1.0020212777033355e-13
480,5.131459669270054e-16,0.49999999999997835,0.4999999999999905,1.536850873384277e-14,1.521134525349367e-14
485,6.414278745134827e-17,0.49999999999997496,0.5000000000000027,1.1166294647890328e-14,1.1209390583209204e-14
490,1.9242701515434916e-16,0.4999999999998452,0.49999999999987116,1.417921512317679e-13,1.4163517789193167e-13
495,6.414189838690752e-17,0.49999999999985956,0.49999999999988426,1.2811924524348069e-13,1.2796252353472675e-13
500,5.131317374783481e-16,0.49999999999998535,0.4999999999999904,1.1926805159884926e-14,1.1769646037651872e-14
