M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
410,2.2248034887527304e-15,1.6560567322294763e-15,4.5332462064059394e-15,3.4292083849196216e-15,2.944100857296846e-15,0.4999999999994331,5.760066415918159e-13,0.4999999999994332,5.428855069472264e-13
415,8.029086297965333e-16,5.185451567435944e-16,2.1745442056989442e-15,2.2581805213027496e-15,1.6392717858345886e-15,0.4999999999996268,2.4532204092908245e-13,0.49999999999976363,3.5682597689207594e-13
420,7.359745449191322e-16,1.3214088420138963e-15,1.4886757840409717e-15,2.6929977666359155e-15,1.3883156188247265e-15,0.49999999999949796,4.981878601334416e-13,0.49999999999949796,4.981878601334416e-13
425,4.0477255284571285e-15,4.7000449318035266e-15,1.087199005577328e-14,9.316459170870335e-15,7.108608882620992e-15,0.4999999999995345,4.4754128911127025e-13,0.4999999999995345,4.4754128911127025e-13
430,3.345119139049269e-16,4.3486548807640496e-16,1.8398155264770977e-16,3.345119139049269e-17,2.8433512681918784e-16,0.5000000000000124,2.3298754803478156e-14,0.4999999999999396,2.3298754803478156e-14
435,3.6795143462300335e-15,3.646064215809761e-15,7.977856105235118e-15,7.392478822880339e-15,5.285120606403139e-15,0.4999999999990149,9.71040561035316e-13,0.4999999999991318,8.542661557381428e-13
440,6.857064135999977e-16,1.4048619205463366e-15,3.294735694614623e-15,2.6592029210341373e-15,2.2578138008780412e-15,0.49999999999993683,5.80509015025754e-14,0.49999999999989325,1.0153472285281917e-13
445,1.8396443653161536e-16,7.191337064417692e-16,9.36546222342769e-16,5.0172119054076923e-17,2.3413655558569227e-16,0.4999999999998667,2.4968991249245614e-13,0.4999999999996319,2.4968991249245614e-13
450,1.0368597196001807e-15,1.3378835091615238e-15,1.722525018045462e-15,2.7593847376456425e-15,1.3880541407550807e-15,0.49999999999980516,2.1284054276373393e-13,0.4999999999997286,2.4528421786090085e-13
455,3.344611769566587e-16,0.0,1.0033835308699758e-15,1.3880138843701336e-15,1.5552444728484627e-15,0.4999999999997524,3.268354621220468e-13,0.4999999999997524,1.640699303560889e-13
460,2.1906585411147873e-15,1.8060391025984505e-15,4.3144267450962986e-15,3.9632524751466005e-15,3.210736182397246e-15,0.49999999999960126,4.4637594227463376e-13,0.49999999999952316,4.1378362550644507e-13
465,5.501577427060942e-15,4.698915674784573e-15,1.2524867759479166e-14,1.1019876973960976e-14,9.213888031339146e-15,0.4999999999987836,1.0745299766203102e-12,0.49999999999895006,1.1488597993050696e-12
470,1.5216715327420942e-15,1.3377332155974451e-15,4.280746289911825e-15,3.46138469535839e-15,3.1938380522389007e-15,0.4999999999997422,2.6761352978026896e-13,0.4999999999997422,2.342370860511127e-13
475,3.210474248081826e-15,3.093425707787176e-15,7.223567058184108e-15,5.4176752936380815e-15,4.514729411365068e-15,0.4999999999991452,7.557322610224281e-13,0.4999999999992258,8.497222388790321e-13
480,9.530846928662226e-16,5.517858748172868e-16,4.1801960213430815e-16,2.0064940902446793e-16,2.1737019310984025e-16,0.4999999999992197,8.649494399522251e-13,0.4999999999992197,6.933105913158783e-13
485,2.9929439114545327e-15,3.7788006926744385e-15,8.00905102562414e-15,6.2534135356647795e-15,4.213529975902471e-15,0.4999999999989504,1.07602185741757e-12,0.4999999999988202,1.1280890492626506e-12
490,3.1099085892407896e-15,3.9124656445287355e-15,7.992130675575793e-15,6.4371763809553974e-15,4.397343865431869e-15,0.499999999999146,8.015872988461394e-13,0.499999999999146,8.805722890373947e-13
495,4.48083367629285e-15,4.547711790864385e-15,9.66388755558682e-15,9.413094625943561e-15,6.972043444082532e-15,0.4999999999989123,9.056467079990851e-13,0.49999999999924133,9.056467079990851e-13
500,4.4974451011069855e-15,4.2800964530980975e-15,9.128643216373286e-15,8.092057356638592e-15,6.303110792257745e-15,0.499999999998386,1.660460075154053e-12,0.499999999998301,1.620166979638559e-12
