c,X,Y,Z,V,W
0.9,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0
1.1,0.0,0.0,0.0,1.0,0.0
1.2,0.0,0.0,0.0,1.0,0.0
1.3,0.0,0.0,0.0,1.0,0.0
1.4,0.0,0.0,0.0,1.0,0.0
1.5,0.0,0.0,0.0,1.0,0.0
1.6,0.0,0.0,0.0,1.0,0.0
1.7,0.0,0.0,0.0,1.0,0.0
1.8,0.0,0.0,0.0,1.0,0.0
1.9,0.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,0.0,1.0,0.0
2.1,0.01818181818181929,0.027272727272728507,0.018181818181818764,0.009090909090909432,0.9272727272727239
2.2,0.01818181818181929,0.027272727272728507,0.018181818181818764,0.009090909090909432,0.9272727272727239
2.3,0.01818181818181929,0.027272727272728507,0.018181818181818764,0.009090909090909432,0.9272727272727239
2.4,0.01818181818181929,0.027272727272728507,0.018181818181818764,0.009090909090909432,0.9272727272727239
2.5,0.01818181818181929,0.027272727272728507,0.018181818181818764,0.009090909090909432,0.9272727272727239
2.6,0.01818181818181929,0.027272727272728507,0.018181818181818764,0.009090909090909432,0.9272727272727239
2.7,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
2.8,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
2.9,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
3.0,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
3.1,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
3.2,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
3.3,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
3.4,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
3.5,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
3.6,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
3.7,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
3.8,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
3.9,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
4.0,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
4.1,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
4.2,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
4.3,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
4.4,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
4.5,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
4.6,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
4.7,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
4.8,0.1250000000000001,0.37499999999999933,0.25000000000000006,0.12500000000000036,0.12500000000000028
