s,X,Y,S,O
0.0001,0.13332567457005295,0.06182384677259925,0.360428640689994,0.4444218379673537
0.00014563484775012445,0.13433511375164714,0.06275992903847233,0.37264916713225693,0.43025579007762355
0.00021209508879201905,0.13749181880924183,0.0660349951054944,0.390136187652047,0.4063369984332168
0.00030888435964774815,0.1419173102791148,0.06751023236287781,0.41466808451329096,0.37590437284471645
0.0004498432668969444,0.16015196630179554,0.07671064111746312,0.44771859732190605,0.31541879525883526
0.0006551285568595509,0.17645897650430686,0.07659174797862452,0.48888086675726566,0.258068408759803
0.0009540954763499944,0.19261345156868104,0.06838756090620011,0.5334823096444038,0.2055166778807151
0.0013894954943731374,0.22056337433047826,0.06261661969679908,0.5727486231824667,0.144071382790256
0.0020235896477251557,0.2359740046603743,0.05341779126519062,0.6006797238412949,0.10992848023314009
0.0029470517025518097,0.2521878065183617,0.049843789750809914,0.6199637420474413,0.07800466168338702
0.004291934260128779,0.25536307630325705,0.0455119042284418,0.6367334322286662,0.06239158723963496
0.0062505519252739694,0.24464151962105823,0.040085601028756856,0.6545958138305273,0.060677065519657535
0.009102981779915217,0.24244685800924487,0.03874244686270645,0.6754106930677051,0.04340000206034368
0.013257113655901081,0.2233560025827095,0.035746926744155236,0.7007310914335727,0.04016597923956266
0.019306977288832496,0.20041155174500616,0.03395918281613494,0.7316090364530239,0.03402022898583496
0.02811768697974228,0.17747395940117502,0.03456306050768733,0.7676160080779174,0.020346972013220277
0.040949150623804234,0.14541098504323016,0.033218843615029095,0.8060209762573591,0.01534919508438164
0.05963623316594643,0.11399574176122068,0.03136495748393649,0.842675073453191,0.011964227301651722
0.08685113737513521,0.08733707263164475,0.029379833763954876,0.8744451692874672,0.008837924316933261
0.12648552168552957,0.06596090601935004,0.027204860155894933,0.9003239316186614,0.0065103022060936065
0.18420699693267145,0.04943184169540653,0.026307559613715645,0.9206171866570367,0.0036434120338411017
0.2682695795279725,0.036818059264357925,0.024266299416833857,0.9361052678739089,0.002810373444899313
0.3906939937054613,0.027556155749458563,0.022347920014413977,0.9476757139973185,0.002420210238808907
0.5689866029018293,0.020920046467831337,0.020626081036466376,0.9561520213809535,0.0023018511147489215
0.8286427728546842,0.016405453068949756,0.01930561319592242,0.9622158739213375,0.0020730598137903788
1.2067926406393288,0.01333916853638025,0.018317115429807525,0.9663857036574135,0.001958012376398638
1.7575106248547894,0.01142483381841684,0.018573507363368616,0.9690398486481492,0.0009618101700652984
2.559547922699533,0.010320269973348402,0.018186607804642423,0.9705117624711066,0.0009813597509026456
3.727593720314938,0.009824742807731608,0.01802998766616942,0.9711937474646355,0.0009515220614633651
5.428675439323859,0.009654289581161905,0.01791163918682003,0.9714887949423836,0.0009452762896344202
7.9060432109076855,0.009623405778192307,0.01775469817090791,0.9716849022316559,0.0009369938192437687
11.513953993264458,0.00962304719915834,0.01753079013245279,0.9719209854650117,0.000925177203377259
16.768329368110066,0.009626240711096466,0.01721496782864995,0.9722502815943772,0.0009085098658762772
24.420530945486497,0.009630769161724378,0.016776191787379227,0.9727076853341556,0.0008853537167406878
35.564803062231285,0.009636926953440735,0.016179582726801183,0.9733296222975015,0.0008538680222565968
51.79474679231202,0.009645041222138315,0.01539341676862879,0.9741491634359445,0.0008123785732884133
75.43120063354607,0.009655256044128577,0.014403734812367164,0.9751808604570382,0.0007601486864659099
109.85411419875572,0.009667287762571896,0.013238019476703233,0.9763960640197967,0.0006986287409280847
159.98587196060572,0.009680153664002256,0.01199148277662489,0.9776955200642535,0.0006328434951193015
232.99518105153672,0.009692112657362086,0.010832813545444188,0.9789033783935662,0.0005716954036274859
339.3221771895323,0.009701193404069684,0.00995300857438661,0.9798205338110622,0.0005252642104815684
494.1713361323828,0.009706352597376618,0.009952035067570465,0.980341612335053,0.0
719.6856730011514,0.009708292227967052,0.009754192747370063,0.9805375150246628,0.0
1048.1131341546852,0.00970869915258137,0.009712686436668802,0.9805786144107499,0.0
1526.4179671752302,0.009708736761463953,0.009708850330740395,0.9805824129077956,0.0
2222.996482526191,0.009708737857885622,0.009708738495749715,0.9805825236463647,0.0
3237.45754281764,0.009708737864077293,0.009708737864077102,0.9805825242718457,0.0
4714.8663634573895,0.009708737864077293,0.009708737864077102,0.9805825242718457,0.0
6866.488450042998,0.009708737864077293,0.009708737864077102,0.9805825242718457,0.0
10000.0,0.009708737864077293,0.009708737864077102,0.9805825242718457,0.0
