s,X,Y,R,S,O
0.0001,0.07663783849869071,0.0688332562305273,0.3028703686565767,0.08081672263175446,0.47084181398245073
0.00014563484775012445,0.08285451559417106,0.07828868122251467,0.3289358354554996,0.07262872314938998,0.4372922445784248
0.00021209508879201905,0.08897795101751756,0.08337602617602485,0.3687642504392377,0.058167505579521606,0.4007142667876983
0.00030888435964774815,0.08566747628193397,0.07851082657204353,0.4298571623482911,0.03999865181339021,0.36596588298434124
0.0004498432668969444,0.07690156863686515,0.07172722235348791,0.5220467392595608,0.019210021249462583,0.31011444850062353
0.0006551285568595509,0.06728830693050333,0.05932608141176141,0.6517815727153955,0.00527565759246143,0.2163283813498783
0.0009540954763499944,0.047890697605283916,0.03813146044964839,0.8037706347693397,0.00046339152152916063,0.1097438156541987
0.0013894954943731374,0.021118003294640895,0.01573140950863132,0.9275571011620937,4.300250560668184e-06,0.03558918578407357
0.0020235896477251557,0.004594027628839608,0.0034074450620406324,0.9853523754603695,4.369708505626291e-08,0.0066461081516651305
0.0029470517025518097,0.00040296507093184295,0.00033073762664820127,0.9986687238150833,3.928923096910807e-09,0.0005975695584137015
0.004291934260128779,1.1461275353747677e-05,1.109232812153069e-05,0.9999596678864925,1.168900564923049e-10,1.7778393142239217e-05
0.0062505519252739694,6.402236019080785e-08,7.991722751180841e-08,0.9999997454579068,7.271887844832674e-13,1.1060177817543421e-07
0.009102981779915217,0.0,0.0,1.0,0.0,0.0
0.013257113655901081,0.0,0.0,1.0,0.0,0.0
0.019306977288832496,0.0,0.0,1.0,0.0,0.0
0.02811768697974228,0.0,0.0,1.0,0.0,0.0
0.040949150623804234,0.0,0.0,1.0,0.0,0.0
0.05963623316594643,0.0,0.0,1.0,0.0,0.0
0.08685113737513521,0.0,0.0,1.0,0.0,0.0
0.12648552168552957,0.0,0.0,1.0,0.0,0.0
0.18420699693267145,0.0,0.0,1.0,0.0,0.0
0.2682695795279725,0.0,0.0,1.0,0.0,0.0
0.3906939937054613,0.0,0.0,1.0,0.0,0.0
0.5689866029018293,0.0,0.0,1.0,0.0,0.0
0.8286427728546842,0.0,0.0,1.0,0.0,0.0
1.2067926406393288,0.0,0.0,1.0,0.0,0.0
1.7575106248547894,0.0,0.0,1.0,0.0,0.0
2.559547922699533,0.0,0.0,1.0,0.0,0.0
3.727593720314938,0.0,0.0,1.0,0.0,0.0
5.428675439323859,0.0,0.0,1.0,0.0,0.0
7.9060432109076855,0.0,0.0,1.0,0.0,0.0
11.513953993264458,0.0,0.0,1.0,0.0,0.0
16.768329368110066,0.0,0.0,1.0,0.0,0.0
24.420530945486497,0.0,0.0,1.0,0.0,0.0
35.564803062231285,0.0,0.0,1.0,0.0,0.0
51.79474679231202,0.0,0.0,1.0,0.0,0.0
75.43120063354607,0.0,0.0,1.0,0.0,0.0
109.85411419875572,0.0,0.0,1.0,0.0,0.0
159.98587196060572,0.0,0.0,1.0,0.0,0.0
232.99518105153672,0.0,0.0,1.0,0.0,0.0
339.3221771895323,0.0,0.0,1.0,0.0,0.0
494.1713361323828,0.0,0.0,1.0,0.0,0.0
719.6856730011514,0.0,0.0,1.0,0.0,0.0
1048.1131341546852,0.0,0.0,1.0,0.0,0.0
1526.4179671752302,0.0,0.0,1.0,0.0,0.0
2222.996482526191,0.0,0.0,1.0,0.0,0.0
3237.45754281764,0.0,0.0,1.0,0.0,0.0
4714.8663634573895,0.0,0.0,1.0,0.0,0.0
6866.488450042998,0.0,0.0,1.0,0.0,0.0
10000.0,0.0,0.0,1.0,0.0,0.0
