fines,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,V
0.0,0.09693618748097775,0.09693618748097772,0.2648938646169641,0.22491033544390676,0.24490210003043592,0.04078319975651788,0.030638125190219925
0.1,0.09693618748097775,0.09693618748097772,0.2648938646169641,0.22491033544390676,0.24490210003043592,0.04078319975651788,0.030638125190219925
0.2,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
0.3,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
0.4,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
0.5,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
0.6,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
0.7,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
0.8,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
0.9,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.0,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.1,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.2,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.3,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.4,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.5,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.6,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.7,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.8,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.9,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.0,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.1,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.2,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.3,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.4,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.5,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.6,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.7,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.8,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.9,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.0,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.1,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.2,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.3,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.4,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.5,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.6,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.7,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.8,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.9,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.0,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.1,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.2,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.3,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.4,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.5,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.6,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.7,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.8,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.9,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
