fines,X_{cj},X_{rj},Y_{cj},Y_{rj},T,V
0.0,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.1,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.2,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.3,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.4,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.5,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.6,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.7,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.8,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
0.9,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
1.0,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
1.1,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
1.2,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
1.3,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
1.4,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
1.5,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
1.6,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
1.7,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
1.8,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
1.9,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
2.0,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
2.1,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
2.2,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
2.3,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
2.4,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
2.5,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
2.6,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
2.7,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
2.8,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
2.9,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
3.0,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
3.1,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
3.2,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
3.3,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
3.4,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
3.5,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
3.6,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
3.7,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
3.8,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
3.9,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
4.0,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
4.1,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
4.2,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
4.3,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
4.4,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
4.5,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
4.6,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
4.7,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
4.8,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
4.9,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
