mu,X,Y,Z,W,V
1.0,0.199998179,0.200001781,0.199999343,0.199999779,0.200000918
0.03359818286283781,0.027503623,0.067304555,0.872472599,0.023174689,0.009544534
0.05455594781168514,0.018340502,0.081072632,0.870798702,0.015730189,0.014057975
0.615848211066026,0.209024824,0.269998543,0.224096652,0.147482415,0.149397566
0.08858667904100823,0.025116889,0.117534123,0.811854665,0.022986553,0.02250777
0.0206913808111479,0.068659301,0.078280956,0.760812274,0.084442965,0.007804504
0.14384498882876628,0.041618682,0.175145965,0.709162527,0.037181777,0.036891049
0.23357214690901212,0.072106184,0.250950185,0.555910139,0.059654232,0.06137926
0.3792690190732246,0.126191377,0.312414016,0.366491245,0.093809191,0.101094171
0.012742749857031334,0.125354882,0.094487849,0.533955545,0.239171657,0.007030067
0.007847599703514606,0.147670682,0.092188097,0.320547448,0.43350318,0.006090593
0.004832930238571752,0.132308891,0.077475391,0.185642693,0.599164311,0.005408714
0.002976351441631319,0.104369716,0.061251503,0.111335331,0.718389828,0.004653622
0.0018329807108324356,0.079383901,0.048990345,0.07253494,0.794774474,0.00431634
0.0011288378916846883,0.060659445,0.040946512,0.052087783,0.842134296,0.004171964
0.0006951927961775605,0.049067947,0.035441832,0.040919691,0.870690811,0.003879719
0.00042813323987193956,0.0407651,0.031886929,0.034900643,0.889031708,0.00341562
0.0001,0.025813179,0.024291266,0.022698091,0.92431424,0.002883224
0.0001623776739188721,0.030430915,0.026111714,0.025505179,0.915156618,0.002795574
0.00026366508987303583,0.032185029,0.02742353,0.026695079,0.910633164,0.003063198
