mu,X,Y,Z,V
1.0,0.249980515,0.25001211,0.25000993,0.249997445
0.0206913808111479,0.03133501,0.061864768,0.896823501,0.009976721
0.03359818286283781,0.019205709,0.060910369,0.907651272,0.01223265
0.14384498882876628,0.052336697,0.179385862,0.720638393,0.047639048
0.012742749857031334,0.061836775,0.086439385,0.8401008,0.01162304
0.007847599703514606,0.104302816,0.125094972,0.753410771,0.017191441
0.23357214690901212,0.08741034,0.262406593,0.573755542,0.076427525
0.08858667904100823,0.031878813,0.119574221,0.819022466,0.0295245
0.3792690190732246,0.142978892,0.34084187,0.395906806,0.120272432
0.05455594781168514,0.021027946,0.081169971,0.879345176,0.018456907
0.002976351441631319,0.182899705,0.194255533,0.581984323,0.040860439
0.0018329807108324356,0.208488938,0.215788594,0.520605785,0.055116683
0.615848211066026,0.212943721,0.327519801,0.278739346,0.180797132
0.0011288378916846883,0.227187096,0.230037097,0.47430413,0.068471677
0.0001623776739188721,0.251264374,0.251446691,0.402184195,0.09510474
0.00026366508987303583,0.24833427,0.249685493,0.409457941,0.092522296
0.004832930238571752,0.146994324,0.163589058,0.662131649,0.027284969
0.0001,0.252081401,0.25040432,0.398451175,0.099063104
0.0006951927961775605,0.238687777,0.240510579,0.441119439,0.079682205
0.00042813323987193956,0.244696801,0.245409859,0.41994536,0.08994798
