mu,X,Y,Z,W
1.0,0.249983656,0.249981018,0.250025845,0.250009481
0.03359818286283781,0.020672836,0.062358743,0.901599441,0.01536898
0.05455594781168514,0.021142893,0.081360087,0.878534228,0.018962792
0.0206913808111479,0.038678101,0.066302755,0.865267632,0.029751512
0.08858667904100823,0.031764448,0.119447671,0.819179793,0.029608088
0.615848211066026,0.208501075,0.327192917,0.283550489,0.180755519
0.14384498882876628,0.0522275,0.179229458,0.720898049,0.047644993
0.012742749857031334,0.079089898,0.09031934,0.734018674,0.096572088
0.23357214690901212,0.087293652,0.262238842,0.574036983,0.076430523
0.3792690190732246,0.142484836,0.340483119,0.396790093,0.120241952
0.007847599703514606,0.117258605,0.108813967,0.536770807,0.237156621
0.004832930238571752,0.126383363,0.105183783,0.347125962,0.421306892
0.002976351441631319,0.112862839,0.088407873,0.216884339,0.581844949
0.0018329807108324356,0.090527952,0.069990701,0.139731921,0.699749426
0.0011288378916846883,0.069773644,0.054633791,0.093753997,0.781838568
0.0006951927961775605,0.056047219,0.046722514,0.070366663,0.826863604
0.00042813323987193956,0.044067244,0.037011211,0.05309468,0.865826865
0.0001623776739188721,0.032015977,0.029283045,0.039807263,0.898893715
0.0001,0.030969587,0.027477962,0.036236253,0.905316198
0.00026366508987303583,0.036855922,0.033575543,0.044983564,0.884584971
