mu,X,Y,Z
1.0,0.333329077,0.333324056,0.333346867
0.0206913808111479,0.02394607,0.052693984,0.923359946
0.03359818286283781,0.021317389,0.060666825,0.918015786
0.615848211066026,0.254577348,0.403707033,0.341715619
0.05455594781168514,0.028650245,0.083775438,0.887574317
0.012742749857031334,0.039763771,0.06232342,0.897912809
0.007847599703514606,0.067665378,0.087024892,0.84530973
0.08858667904100823,0.044544538,0.123025993,0.832429469
0.14384498882876628,0.071284357,0.184899801,0.743815842
0.004832930238571752,0.100856457,0.117437836,0.781705707
0.3792690190732246,0.1755735,0.378855249,0.445571251
0.23357214690901212,0.113499907,0.276266437,0.610233656
0.002976351441631319,0.13269964,0.146567083,0.720733277
0.0018329807108324356,0.159684161,0.169954247,0.670361592
0.0011288378916846883,0.179025307,0.186614173,0.63436052
0.0006951927961775605,0.193879087,0.199355023,0.60676589
0.00042813323987193956,0.203017464,0.207068519,0.589914017
0.00026366508987303583,0.208841704,0.212420867,0.578737429
0.0001623776739188721,0.212769613,0.215773922,0.571456465
0.0001,0.218636158,0.22158294,0.559780902
