mu,X,Y
1.0,0.5,0.5
0.615848211066026,0.423945962,0.576054038
0.3792690190732246,0.321796807,0.678203193
0.23357214690901212,0.219505058,0.780494942
0.00026366508987303583,0.000263443,0.999736557
0.002976351441631319,0.002973883,0.997026117
0.004832930238571752,0.004838079,0.995161921
0.0006951927961775605,0.000696467,0.999303533
0.0001,0.000100352,0.999899648
0.0001623776739188721,0.000162487,0.999837513
0.00042813323987193956,0.000427235,0.999572765
0.0018329807108324356,0.00183369,0.99816631
0.0011288378916846883,0.001128889,0.998871111
0.14384498882876628,0.140719191,0.859280809
0.08858667904100823,0.087905166,0.912094834
0.05455594781168514,0.054422416,0.945577584
0.03359818286283781,0.033564886,0.966435114
0.0206913808111479,0.020689583,0.979310417
0.012742749857031334,0.012746056,0.987253944
0.007847599703514606,0.007843344,0.992156656
