mu,X,Y,Z,W
1.0,0.249991022,0.249986582,0.250000829,0.250021567
0.03359818286283781,0.02374972,0.065026111,0.892632634,0.018591535
0.05455594781168514,0.021771445,0.082182591,0.876659251,0.019386713
0.615848211066026,0.212945761,0.327539984,0.278729073,0.180785182
0.0206913808111479,0.049938287,0.070665095,0.83202574,0.047370878
0.08858667904100823,0.031943672,0.119708483,0.81866958,0.029678265
0.14384498882876628,0.05232806,0.179410515,0.720584884,0.047676541
0.23357214690901212,0.087420563,0.262405901,0.573757847,0.076415689
0.3792690190732246,0.143013805,0.340860674,0.395874105,0.120251416
0.012742749857031334,0.101111343,0.0889694,0.662869499,0.147049758
0.007847599703514606,0.141396338,0.096283338,0.446473338,0.315846986
0.004832930238571752,0.14393254,0.086741621,0.274798061,0.494527778
0.002976351441631319,0.120492243,0.069461758,0.168806423,0.641239576
0.0018329807108324356,0.092361716,0.055175983,0.107010745,0.745451556
0.0011288378916846883,0.070427615,0.045083286,0.077581385,0.806907714
0.0006951927961775605,0.053501507,0.037584397,0.057413728,0.851500368
0.00042813323987193956,0.044220686,0.032780158,0.046306558,0.876692598
0.00026366508987303583,0.039227424,0.032575424,0.042882219,0.885314933
0.0001623776739188721,0.033240627,0.027969234,0.036766983,0.902023156
0.0001,0.028143452,0.025548998,0.030995999,0.915311551
