gamma,X,Y,Z
0.0,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.05,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.1,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.15,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.2,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.25,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.3,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.35,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.4,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.45,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.5,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.55,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.6,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.65,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.7,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.75,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.8,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.85,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.9,0.2500000000000002,0.24999999999999986,0.49999999999999994
0.95,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.0,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.05,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.1,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.15,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.2,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.25,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.3,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.35,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.4,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.45,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.5,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.55,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.6,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.65,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.7,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.75,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.8,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.85,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.9,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.95,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.0,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.05,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.1,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.15,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.2,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.25,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.3,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.35,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.4,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.45,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.5,0.2500000000000002,0.24999999999999986,0.49999999999999994
