sigma,X,Y,Z,W'
0.0,0.006493506493507006,0.655844155844199,0.0064935064935075365,0.3311688311687866
0.05,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.1,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.15,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.2,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.25,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.3,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.35,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.4,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.45,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.5,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.55,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.6,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.65,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.7,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.75,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.8,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.85,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.9,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
0.95,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.0,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.05,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.1,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.15,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.2,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
1.25,0.018518518518516748,0.018518518518516356,0.018518518518516162,0.9444444444444506
