s,X,Y,R,S
0.0001,0.24107410979686647,0.23669333271435314,0.27452587418232066,0.24770668330645962
0.00014563484775012445,0.23686382394328329,0.2306589052627347,0.28619270937920444,0.24628456141477761
0.00021209508879201905,0.23058649698296013,0.22192716534888912,0.303692145106809,0.24379419256134172
0.00030888435964774815,0.2211564091473311,0.20935862082329737,0.33019345076554096,0.2392915192638306
0.0004498432668969444,0.20689161573993997,0.19145172278763498,0.37070441149159455,0.23095224998083053
0.0006551285568595509,0.18529980094436502,0.1664568522667903,0.4328338382545139,0.21540950853433072
0.0009540954763499944,0.15328855520685716,0.13300431424992698,0.5264131410799341,0.1872939894632817
0.0013894954943731374,0.10932574513677741,0.0919789573665634,0.6573587139164375,0.14133658358022158
0.0020235896477251557,0.059576706510268224,0.04983323650127824,0.8089512447723124,0.08163881221614107
0.0029470517025518097,0.020936542015261822,0.018424775761307268,0.9302720072658649,0.030366674957565936
0.004291934260128779,0.003951172930620718,0.003977171140641588,0.9859721414608759,0.00609951446786182
0.0062505519252739694,0.0003253241570726301,0.00041327380594825304,0.9987099664834195,0.0005514355535597951
0.009102981779915217,8.5098325121667e-06,1.531753094966277e-05,0.9999590128676158,1.7159768922474533e-05
0.013257113655901081,4.285989695409766e-08,1.2712594169351875e-07,0.9999997094182557,1.2059590565420643e-07
0.019306977288832496,0.0,0.0,1.0,0.0
0.02811768697974228,0.0,0.0,1.0,0.0
0.040949150623804234,0.0,0.0,1.0,0.0
0.05963623316594643,0.0,0.0,1.0,0.0
0.08685113737513521,0.0,0.0,1.0,0.0
0.12648552168552957,0.0,0.0,1.0,0.0
0.18420699693267145,0.0,0.0,1.0,0.0
0.2682695795279725,0.0,0.0,1.0,0.0
0.3906939937054613,0.0,0.0,1.0,0.0
0.5689866029018293,0.0,0.0,1.0,0.0
0.8286427728546842,0.0,0.0,1.0,0.0
1.2067926406393288,0.0,0.0,1.0,0.0
1.7575106248547894,0.0,0.0,1.0,0.0
2.559547922699533,0.0,0.0,1.0,0.0
3.727593720314938,0.0,0.0,1.0,0.0
5.428675439323859,0.0,0.0,1.0,0.0
7.9060432109076855,0.0,0.0,1.0,0.0
11.513953993264458,0.0,0.0,1.0,0.0
16.768329368110066,0.0,0.0,1.0,0.0
24.420530945486497,0.0,0.0,1.0,0.0
35.564803062231285,0.0,0.0,1.0,0.0
51.79474679231202,0.0,0.0,1.0,0.0
75.43120063354607,0.0,0.0,1.0,0.0
109.85411419875572,0.0,0.0,1.0,0.0
159.98587196060572,0.0,0.0,1.0,0.0
232.99518105153672,0.0,0.0,1.0,0.0
339.3221771895323,0.0,0.0,1.0,0.0
494.1713361323828,0.0,0.0,1.0,0.0
719.6856730011514,0.0,0.0,1.0,0.0
1048.1131341546852,0.0,0.0,1.0,0.0
1526.4179671752302,0.0,0.0,1.0,0.0
2222.996482526191,0.0,0.0,1.0,0.0
3237.45754281764,0.0,0.0,1.0,0.0
4714.8663634573895,0.0,0.0,1.0,0.0
6866.488450042998,0.0,0.0,1.0,0.0
10000.0,0.0,0.0,1.0,0.0
