s,X,Y,R,S
0.0001,0.24981786033496622,0.23683119312298023,0.2562247275165021,0.25712621902555144
0.00014563484775012445,0.24974913933744455,0.23095122716330893,0.25897841518103815,0.26032121831820837
0.00021209508879201905,0.24966453230096297,0.22254613239348692,0.26288465330815003,0.2649046819974002
0.00030888435964774815,0.24957262768352978,0.21066455610522927,0.268340829546107,0.2714219866651339
0.0004498432668969444,0.24950020778583082,0.1941838218397791,0.27576359207852585,0.28055237829586416
0.0006551285568595509,0.24950870663945426,0.17206318192337086,0.28540230082766355,0.2930258106095114
0.0009540954763499944,0.24971149008191085,0.14403065231123718,0.2968940459600385,0.3093638116468135
0.0013894954943731374,0.25026426848142286,0.11185073296834519,0.30850672621372305,0.32937827233650885
0.0020235896477251557,0.25127265257925496,0.08043451135274048,0.3165931215257021,0.3516997145423025
0.0029470517025518097,0.25261717030825426,0.05634628021773274,0.3167816711134342,0.3742548783605789
0.004291934260128779,0.25388951280119204,0.042762678812585955,0.30709164190043264,0.3962561664857893
0.0062505519252739694,0.2544951476662965,0.03700501293538013,0.28852287054271103,0.4199769688556123
0.009102981779915217,0.25342014703984334,0.03490074302768427,0.2618581673820015,0.4498209425504709
0.013257113655901081,0.2486064897211986,0.03450816256640136,0.22704372400723025,0.48984162370516976
0.019306977288832496,0.2368019798234356,0.03524500130669949,0.18548188755833803,0.5424711313115269
0.02811768697974228,0.2149547582419615,0.03652965323401083,0.14159721805556066,0.6069183704684671
0.040949150623804234,0.18361548985367765,0.037583867787547943,0.10244208452039143,0.676358557838383
0.05963623316594643,0.14878600129455524,0.0379895121201589,0.07407883338093474,0.7391456532043512
0.08685113737513521,0.11730808405229395,0.03805253620319379,0.05670860346708896,0.7879307762774231
0.12648552168552957,0.0916582019051563,0.038172775291553995,0.04569231247862224,0.8244767103246675
0.18420699693267145,0.07142787600152678,0.03848193971545574,0.03749286999463139,0.852597314288386
0.2682695795279725,0.05590560045826539,0.03909618512848066,0.031075597880165284,0.8739226165330886
0.3906939937054613,0.04432919294467823,0.04003500643127177,0.02606699412681165,0.8895688064972384
0.5689866029018293,0.03582252409743754,0.040945712723943935,0.022025959127140216,0.9012058040514784
0.8286427728546842,0.029535659180362276,0.041030529585454216,0.018506020100121447,0.910927791134062
1.2067926406393288,0.024880968685796142,0.039666369614554116,0.015346575825902691,0.9201060858737471
1.7575106248547894,0.02164205832138002,0.03724739742392966,0.012766556867719594,0.9283439873869707
2.559547922699533,0.019706956377671093,0.03468352954325668,0.010976946715287384,0.9346325673637847
3.727593720314938,0.01880507532766757,0.032401433685358534,0.00993133455050345,0.9388621564364704
5.428675439323859,0.018532965874475144,0.03029261751762866,0.009443218956110375,0.9417311976517859
7.9060432109076855,0.0185173116056327,0.02807563020538898,0.00929266981975996,0.9441143883692183
11.513953993264458,0.018559272375387143,0.025641872053330593,0.009282504064454406,0.9465163515068279
16.768329368110066,0.018606081509327483,0.02318067597015704,0.009303114756292166,0.9489101277642232
24.420530945486497,0.018646415161519648,0.02106320366872104,0.009323207932244304,0.950967173237515
35.564803062231285,0.01867378231118855,0.01962642866259149,0.00933689115559468,0.9523628978706253
51.79474679231202,0.018687005826241766,0.018932194122150844,0.009343502913120688,0.9530372971384866
75.43120063354607,0.01869095437270895,0.018724895432748988,0.009345477186355113,0.9532386730081869
109.85411419875572,0.018691553174602506,0.018693458333362646,0.009345776587301057,0.9532692119047337
159.98587196060572,0.01869158824805612,0.01869161697707159,0.009345794124028533,0.9532710006508438
232.99518105153672,0.018691588783856506,0.01869158884740714,0.009345794391927934,0.9532710279768085
339.3221771895323,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
494.1713361323828,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
719.6856730011514,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
1048.1131341546852,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
1526.4179671752302,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
2222.996482526191,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
3237.45754281764,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
4714.8663634573895,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
6866.488450042998,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
10000.0,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
