c,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,V
0.9,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.0,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.1,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.2,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.3,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.4,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.5,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.6,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.7,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.8,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
1.9,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.0,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.1,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
2.2,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
2.3,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
2.4,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
2.5,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
2.6,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
2.7,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
2.8,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
2.9,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
3.0,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
3.1,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
3.2,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
3.3,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
3.4,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
3.5,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
3.6,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
3.7,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
3.8,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
3.9,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
4.0,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
4.1,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
4.2,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
4.3,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
4.4,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
4.5,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
4.6,0.05884057971014511,0.05884057971014492,0.29276499005399265,0.17795964762716698,0.23536231884057957,0.11710144927536223,0.059130434782608536
