c,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
0.9,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.0,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.1,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.2,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.3,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.4,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.5,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.6,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.7,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.8,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
1.9,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.0,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.1,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.2,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.3,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.4,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.5,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.6,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
2.7,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
2.8,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
2.9,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
3.0,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
3.1,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
3.2,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
3.3,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
3.4,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
3.5,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
3.6,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
3.7,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
3.8,2.799716339487222e-16,1.889808529153875e-15,0.49999999999998357,0.5000000000000128,5.553138082265925e-19,7.932529628547128e-16,1.8492613539548484e-21,8.399149018461666e-16
