N,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,U,W
2,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
3,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
4,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
5,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
6,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
7,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
8,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
9,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
10,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
11,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
12,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
13,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
14,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
15,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
16,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
17,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
18,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
19,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
20,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
21,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
22,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
23,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
24,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
25,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
26,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
27,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
28,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
29,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
30,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
31,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
32,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
33,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
34,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
35,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
36,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
37,0.009090909090908924,0.009090909090909155,0.018181818181817654,0.018181818181817227,0.01818181818181744,0.4636363636363648,0.46363636363636485
