c,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,U,W
0.9,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1.0,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1.1,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1.2,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1.3,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1.4,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1.5,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1.6,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1.7,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1.8,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
1.9,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
2.0,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
2.1,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
2.2,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
2.3,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
2.4,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
2.5,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
2.6,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
2.7,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
2.8,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
2.9,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
3.0,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
3.1,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
3.2,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
3.3,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
3.4,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
3.5,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
3.6,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
3.7,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
3.8,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
3.9,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
4.0,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
4.1,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
4.2,0.059158134243458525,0.059158134243458546,0.2923777019340157,0.17861205915813452,0.23549488054607529,0.11604095563139924,0.05915813424345832
