c,X_{cj},X_{rj},Y_{cj},Y_{rj},U,W
0.9,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
1.0,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
1.1,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
1.2,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
1.3,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
1.4,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
1.5,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
1.6,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
1.7,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
1.8,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
1.9,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
2.0,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
2.1,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
2.2,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
2.3,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
2.4,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
2.5,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
2.6,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
2.7,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
2.8,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
2.9,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
3.0,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
3.1,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
3.2,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
3.3,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
3.4,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
3.5,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
3.6,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
3.7,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
3.8,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
3.9,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
4.0,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
4.1,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
4.2,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
4.3,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
4.4,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
4.5,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
4.6,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
4.7,9.321587339247063e-17,3.481112560023903e-16,0.4999999999999977,0.5000000000000018,3.370517455998938e-17,5.266433524998341e-19
