c,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
0.9,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.0,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.1,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.2,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.3,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.4,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.5,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.6,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.7,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.8,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
1.9,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
2.0,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
2.1,0.0489603588754473,0.05882869776006034,0.2590885648492866,0.2243059214193348,0.16113149542287447,0.01612117002488692,0.11539475329858116,0.02013141132461053,0.09603762702491764
2.2,0.0489603588754473,0.05882869776006034,0.2590885648492866,0.2243059214193348,0.16113149542287447,0.01612117002488692,0.11539475329858116,0.02013141132461053,0.09603762702491764
2.3,0.0489603588754473,0.05882869776006034,0.2590885648492866,0.2243059214193348,0.16113149542287447,0.01612117002488692,0.11539475329858116,0.02013141132461053,0.09603762702491764
2.4,0.0489603588754473,0.05882869776006034,0.2590885648492866,0.2243059214193348,0.16113149542287447,0.01612117002488692,0.11539475329858116,0.02013141132461053,0.09603762702491764
2.5,0.0489603588754473,0.05882869776006034,0.2590885648492866,0.2243059214193348,0.16113149542287447,0.01612117002488692,0.11539475329858116,0.02013141132461053,0.09603762702491764
2.6,0.0489603588754473,0.05882869776006034,0.2590885648492866,0.2243059214193348,0.16113149542287447,0.01612117002488692,0.11539475329858116,0.02013141132461053,0.09603762702491764
2.7,0.05119398557065747,0.06156261920326496,0.3214485526986352,0.18645256285355247,0.1693003718507286,0.0169384642817305,0.120757445360253,0.021152012610519313,0.051193985570658435
2.8,0.05119398557065747,0.06156261920326496,0.3214485526986352,0.18645256285355247,0.1693003718507286,0.0169384642817305,0.120757445360253,0.021152012610519313,0.051193985570658435
2.9,0.05119398557065747,0.06156261920326496,0.3214485526986352,0.18645256285355247,0.1693003718507286,0.0169384642817305,0.120757445360253,0.021152012610519313,0.051193985570658435
3.0,0.05119398557065747,0.06156261920326496,0.3214485526986352,0.18645256285355247,0.1693003718507286,0.0169384642817305,0.120757445360253,0.021152012610519313,0.051193985570658435
