M,X_{cj},X_{rj},Y_{cj},Y_{rj},U,W
5,0.16666666666666652,0.16666666666666669,0.1666666666666667,0.25925925925925924,0.0740740740740741,0.1666666666666667
10,3.571271896258854e-17,1.3814531964045792e-16,0.5,0.49999999999999983,2.727757382055954e-17,2.727757382055954e-17
15,6.036208089055001e-16,3.184164955284432e-16,0.49999999999999956,0.49999999999999956,6.917393690668812e-17,6.917393690668812e-17
20,5.845086532737186e-16,1.344369902529553e-15,0.4999999999999991,0.4999999999999986,8.402311890809706e-17,8.402311890809706e-17
25,1.4460699718354502e-16,1.6195983684557042e-15,0.49999999999999645,0.5000000000000018,3.6151749295886254e-17,5.4227623943829384e-17
30,5.665583147960473e-16,7.251946429389406e-16,0.49999999999999567,0.5000000000000018,6.345453125715729e-16,6.345453125715729e-16
35,5.715736380825536e-16,3.7152286475365994e-16,0.49999999999999617,0.5000000000000029,4.644035809420749e-17,3.57233523801596e-17
40,1.3666992674798356e-15,1.4236450702914952e-16,0.500000000000003,0.4999999999999955,5.872535914952419e-17,5.872535914952419e-17
45,7.097781308101439e-16,1.3911651363878818e-15,0.49999999999999445,0.5000000000000033,2.1293343924304316e-17,2.1293343924304316e-17
50,5.38194691903531e-16,1.5579320028786425e-15,0.5000000000000038,0.49999999999999417,1.416301820798766e-17,2.1244527311981483e-17
55,7.633713009372441e-16,1.6963806687494316e-16,0.4999999999999993,0.49999999999999983,7.068252786455964e-18,1.590356876952592e-17
60,8.468695894063098e-17,1.0162435072875719e-15,0.5000000000000053,0.49999999999999356,1.4114493156771833e-17,1.4114493156771833e-17
65,7.893718918528e-16,8.175637451332572e-16,0.49999999999999284,0.5000000000000056,1.1452940395185715e-17,2.3786876205385718e-17
70,1.1545646527320688e-15,3.9424158873777964e-16,0.5000000000000057,0.4999999999999928,7.040028370317494e-18,6.160024824027807e-18
75,3.399349888776297e-16,2.2662332591841985e-17,0.49999999999999256,0.5000000000000071,6.798699777552594e-17,6.798699777552594e-17
80,2.9674992552471557e-16,1.2286531239952236e-16,0.49999999999999983,0.49999999999999983,1.0260768049300272e-17,6.054731211452996e-18
85,4.419499043651956e-16,2.0418148613706021e-16,0.49999999999999967,0.49999999999999967,2.48494216735602e-18,7.959278362529308e-18
90,1.12275573337962e-16,1.3192379867210536e-15,0.5000000000000081,0.4999999999999905,1.666590541735374e-17,1.929736416746222e-17
95,5.4639611204481e-17,1.7864202746251603e-16,0.49999999999999983,0.49999999999999983,3.2039141850389445e-18,3.2039141850389445e-18
100,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
105,9.247772968113123e-16,1.4011777224413822e-16,0.4999999999999991,0.4999999999999998,1.488751330093969e-17,1.488751330093969e-17
110,2.5599495951866783e-16,6.254814103871486e-16,0.49999999999999956,0.49999999999999956,1.2207732887604193e-17,1.6427340803982957e-17
115,2.4959091549589977e-16,1.807068663737878e-17,0.49999999999999983,0.49999999999999983,7.713427665280515e-18,7.713427665280515e-18
120,5.597934473200536e-17,1.1195868946401071e-16,0.5000000000000001,0.4999999999999998,5.2480635686255015e-18,6.99741809150067e-18
125,6.14186826299497e-17,6.849064247739256e-16,0.4999999999999996,0.4999999999999996,1.0205869829937637e-17,6.615788312111818e-18
130,4.755150273950413e-16,9.510300547900825e-16,0.5000000000000119,0.49999999999998673,6.118759543686193e-18,4.370542531204423e-18
