M,X,Y_{cj},Y_{rj},U,W
5,0.20000000000000043,0.19999999999999987,0.32499999999999984,0.0749999999999999,0.19999999999999987
10,4.4217216036536606e-16,0.49999999999999867,0.5000000000000009,2.5509932328771116e-17,8.50331077625704e-18
15,1.3362002557305714e-16,0.5000000000000021,0.49999999999999767,1.6702503196632143e-17,4.175625799158036e-18
20,1.984897508209129e-16,0.49999999999999795,0.5000000000000018,4.755483613417704e-17,2.0676015710511758e-17
25,3.945843961259561e-16,0.5000000000000033,0.49999999999999634,1.0275635315780109e-17,1.2330762378936128e-17
30,9.930136612989099e-17,0.500000000000006,0.4999999999999937,1.9860273225978198e-16,1.9860273225978198e-16
35,2.482534153247268e-17,0.4999999999999968,0.500000000000002,5.958081967793443e-16,5.958081967793443e-16
40,4.716814891169816e-16,0.5000000000000041,0.4999999999999945,4.468561475845088e-16,4.468561475845088e-16
45,5.213321721819263e-16,0.5000000000000098,0.4999999999999887,5.461575137143989e-16,5.461575137143989e-16
50,3.475547814546183e-16,0.5000000000000042,0.49999999999999545,4.965068306494548e-17,4.965068306494548e-17
55,1.297353659572398e-16,0.4999999999999902,0.5000000000000095,8.108460372327487e-18,8.108460372327487e-18
60,6.48042842678426e-16,0.5000000000000001,0.4999999999999992,3.037700825055122e-18,1.0125669416850407e-18
65,0.0,0.5000000000000001,0.49999999999999994,8.093816821250692e-18,8.093816821250692e-18
70,4.529307197865852e-16,0.5000000000000108,0.4999999999999888,1.7187103206187388e-17,1.2132072851426391e-17
75,1.4895204919483633e-16,0.49999999999998823,0.5000000000000112,1.241267076623636e-16,1.241267076623636e-16
80,7.109218272197002e-16,0.4999999999999873,0.5000000000000121,3.534412493279759e-18,1.009832140937074e-17
85,5.813844264934332e-16,0.4999999999999909,0.5000000000000085,6.056087775973263e-18,5.046739813311052e-19
90,1.9860273225978146e-16,0.49999999999999867,0.5000000000000001,4.2203080605203563e-16,4.2203080605203563e-16
95,3.8727608731531106e-16,0.5000000000000075,0.49999999999999206,1.0589580512528038e-17,8.06825181906898e-18
100,1.2904756305218285e-16,0.5000000000000122,0.4999999999999875,1.2602301079314734e-17,1.0585932906624375e-17
105,3.225182671801113e-16,0.4999999999999501,0.5000000000000496,1.5118043774067718e-18,2.5196739623446196e-18
110,4.513974147312743e-16,0.49999999999999756,0.5000000000000019,1.5113752725377488e-18,3.5265423025880805e-18
115,6.446862009905394e-17,0.5000000000000037,0.49999999999999617,1.0073221890477178e-18,1.5109832835715766e-18
120,0.0,0.5000000000000102,0.4999999999999898,9.063742774859182e-18,1.1077907835938999e-17
125,5.155133198114463e-16,0.5000000000000251,0.49999999999997424,1.4096067338594236e-17,1.107548148032404e-17
130,3.4755478145461836e-16,0.5000000000000049,0.4999999999999939,4.716814891169821e-16,4.716814891169821e-16
135,9.930136612989065e-17,0.4999999999999629,0.5000000000000361,5.461575137143985e-16,5.461575137143985e-16
140,0.0,0.49999999999997574,0.500000000000024,2.0629034208048102e-16,2.0779978360789917e-16
145,4.507467516128404e-16,0.49999999999999084,0.5000000000000083,1.584656548638892e-16,1.5544726143791036e-16
