M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,V
5,0.06349206349206375,0.1428571428571429,0.06349206349206346,0.14285714285714268,0.14285714285714268,0.14285714285714268,0.3015873015873018
10,0.08085424630214358,0.10744557088249981,0.2300426569165141,0.24527726995734314,0.23765996343692877,0.04021937842778797,0.05850091407678254
15,0.08034318324005366,0.10789946841729095,0.229371298238585,0.24592576242435246,0.23764853033146924,0.040025015634971156,0.05878674171327748
20,0.08007423501720075,0.10813869273945342,0.22900103698582744,0.2462841341168342,0.23764258555133072,0.03992395437262356,0.05893536121673001
25,0.07990830556947841,0.1082864050476162,0.22876652044915732,0.24651136379768016,0.23763894212341907,0.039862016098122,0.0590264469145268
30,0.07979571964225293,0.10838668241291934,0.22860468850271135,0.24666827231935698,0.23763648041103494,0.03982016698758687,0.059087989724137494
35,0.07971431641693526,0.10845921218217874,0.22848629231679723,0.2467831191228484,0.23763470571982273,0.039789997236987465,0.059132357004430196
40,0.0796527169927373,0.10851411132928054,0.22839591704771142,0.24687081428109553,0.23763336566440335,0.03976721629485932,0.059165858389912646
45,0.07960447838258641,0.10855711159360835,0.22832466917571143,0.24693996681476652,0.23763231799523885,0.039749405919062245,0.059192050119026195
50,0.0795656790180035,0.1085917031401579,0.22826705822420662,0.2469958946390582,0.23763147643163207,0.039735099337748284,0.05921308920919345
55,0.079533795252771,0.1086201327486824,0.2282195113608964,0.24704205983968472,0.23763078560029088,0.039723355204941115,0.05923035999273341
60,0.07950712944047839,0.10864391222625172,0.22817960349550437,0.2470808131711875,0.2376302083333462,0.03971354166688289,0.0592447916663489
65,0.07948449755515627,0.10866409621837309,0.22814563069787627,0.2471138068115357,0.2376297187547056,0.039705218829999146,0.059257031132353935
70,0.07946504860893083,0.10868144286439835,0.22811636069991245,0.2471422358894194,0.23762929829466561,0.039698071009318506,0.059267542633354854
75,0.07944815524847865,0.1086965111569933,0.22809088026389984,0.247166986298289,0.23762893328109438,0.03969186577860497,0.059276667972639786
80,0.0794333448261263,0.10870972229783273,0.22806849822540348,0.2471887286241801,0.23762861342479163,0.03968642822146002,0.05928466438020572
85,0.07942025447563025,0.10872139969443463,0.2280486818540355,0.24720797981399034,0.23762833083401336,0.03968162417822128,0.05929172914967473
90,0.07940860099113643,0.10873179578233247,0.2280310139237378,0.24722514478564936,0.23762807935469382,0.0396773490297944,0.059298016132655625
95,0.07939816010626,0.10874111047956458,0.22801516302194044,0.2472405452123893,0.2376278541171648,0.03967351999180371,0.05930364707087701
100,0.07938875191525419,0.10874950417272711,0.22800086256026372,0.24725443987492843,0.2376276512175962,0.03967007069913594,0.059308719560094356
105,0.07938023042513867,0.10875710702452993,0.22798789566989325,0.24726703930997362,0.23762746748993394,0.03966694732887378,0.05931331275165669
110,0.0793724759243627,0.10876402577299257,0.22797608412694872,0.24727851655199362,0.23762730033947096,0.039664105771008436,0.05931749151322302
115,0.07936538932050999,0.10877034877681371,0.22796528010720238,0.24728901513172702,0.23762714761946474,0.03966150953090058,0.05932130951338166
120,0.07935888788604469,0.10877614980645052,0.22795535997243563,0.2472986551045624,0.23762700753849914,0.039659128154484226,0.05932481153752324
125,0.0793529020179427,0.10878149093193534,0.22794621952451058,0.24730753765544053,0.23762687858997575,0.03965693602958536,0.059328035250609916
130,0.0793473727264968,0.10878642476103129,0.22793777031727644,0.24731574867773495,0.2376267594975057,0.039654911457595664,0.059331012562359314
135,0.0793422496922211,0.10879099617116549,0.22792993679691792,0.24732336154843707,0.2376266491726776,0.039653035935514946,0.059333770683065994
140,0.07933748972790616,0.10879524368033477,0.22792265403326223,0.24733043933003415,0.23762654668164804,0.039651293588019124,0.05933633295879541
145,0.0793330555595129,0.10879920053386158,0.22791586591797408,0.24733703651937522,0.23762645121867515,0.039649670717472836,0.05933871953312835
150,0.07932891484514068,0.10880289557897542,0.227909523711733,0.24734320045791347,0.23762636208482324,0.039648155441994695,0.059340947879419445
155,0.0793250393843871,0.10880635396969505,0.22790358487143975,0.247348972470193,0.23762627867081654,0.03964673740387996,0.05934303322958869
160,0.0793214044822664,0.10880959773393621,0.2278980121055144,0.247354388780967,0.23762620044324062,0.039645407535089904,0.05934498891898553
165,0.07931798841505251,0.1088126462497798,0.22789277257880763,0.2473594812871252,0.23762612693296686,0.03964415786043072,0.059346826675837155
170,0.07931477199551254,0.10881551663313146,0.22788783726477174,0.2473642781866857,0.2376260577257287,0.039642981337389006,0.059348556856780775
175,0.07931173822210331,0.10881822405051926,0.22788318042248457,0.24736880448656404,0.23762599245452484,0.03964187172691738,0.059350188636886556
180,0.07930887196581962,0.10882078199834949,0.22787877912836907,0.24737308245729808,0.23762593079283376,0.039640823478173555,0.05935173017915657
185,0.07930615972220825,0.10882320252403838,0.22787461290547434,0.24737713199302377,0.23762587244924965,0.039639831637238686,0.059353188768767065
190,0.07930358940545702,0.10882549640964051,0.22787066341545534,0.2473809709105835,0.2376258171630199,0.03963889177133306,0.05935457092451061
195,0.07930115015771816,0.10882767334189836,0.22786691417240332,0.24738461522744276,0.23762576469992358,0.03963799989869632,0.05935588250191737
200,0.0792988322045861,0.10882974204112508,0.22786335032635574,0.2473880793719285,0.23762571484914213,0.03963715243541704,0.05935712877144541
205,0.0792966267171516,0.1088317103842378,0.22785995845590357,0.24739137638465225,0.23762566742027807,0.03963634614472472,0.059358314493051956
210,0.0792945257042562,0.10883358550085206,0.22785672640640767,0.24739451807563542,0.23762562224102193,0.03963557809736856,0.05935944397445824
215,0.07929252191333842,0.10883537386171539,0.22785364314078294,0.24739751516923833,0.23762557915501092,0.03963484563518245,0.059360521124731724
220,0.07929060874902248,0.1088370813513191,0.2278506986170072,0.2474003774231298,0.23762553802006833,0.03963414634116271,0.059361549498290304
225,0.07928878020045908,0.10883871333270904,0.22784788367865141,0.2474031137346154,0.23762549870663355,0.03963347801277097,0.05936253233416058
230,0.07928703077564271,0.10884027470606741,0.2278451899557846,0.2474057322368995,0.23762546109634192,0.03963283863781477,0.059363472591448974
235,0.07928535544459507,0.10884176995939854,0.22784260977918233,0.24740824038241502,0.23762542508079898,0.03963222637357936,0.05936437298003069
240,0.07928374960228096,0.10884320320159917,0.22784013612469184,0.2474106449968599,0.237625390560776,0.03963163953319224,0.059365235980599805
245,0.07928220900965795,0.1088445782150498,0.22783776252368426,0.2474129523661988,0.23762535744494176,0.039631076564006426,0.05936606387646106
250,0.07928072976901153,0.10884589847761396,0.227835483026136,0.24741516827251417,0.23762532564932468,0.039630536038525226,0.05936685876687454
255,0.07927930828832924,0.10884716719441473,0.2278332921466714,0.24741729804642573,0.23762529509654892,0.039630016641329154,0.059367622586280894
260,0.0792779412492086,0.10884838732646811,0.22783118481591386,0.24741934661435636,0.2376252657151356,0.03962951715730145,0.05936835712161586
265,0.07927662558374615,0.10884956161129664,0.2278291563455749,0.2474213185324423,0.23762523743900868,0.03962903646314546,0.0593690640247859
270,0.07927535844774837,0.10885069258682824,0.22782720238776075,0.24742321802606992,0.23762521020691504,0.03962857351755969,0.05936974482711803
275,0.07927413720476072,0.10885178260564286,0.227825318910889,0.24742504901327253,0.23762518396208054,0.039628127355371176,0.05937040094798332
280,0.0792729594082386,0.10885283385087806,0.22782350217266614,0.24742681513097994,0.2376251586518235,0.03962769708099598,0.05937103370441767
285,0.07927182277642576,0.1088538483586438,0.22782174868175775,0.24742851977226987,0.23762513422701395,0.03962728185923633,0.05937164432465245
290,0.07927072519259083,0.10885482801780536,0.22782005519851048,0.2474301660856478,0.23762511064207903,0.03962688091534635,0.05937223394802005
295,0.07926966467439366,0.10885577459731895,0.22781841868802308,0.24743175702066195,0.2376250878543425,0.039626493523823574,0.05937280364143621
300,0.07926863937770075,0.1088566897428242,0.22781683632630717,0.2474332953219026,0.23762506582410475,0.039626119009784404,0.05937335439737606
305,0.07926764757678463,0.1088575749943093,0.22781530546999731,0.24743478355843973,0.23762504451421912,0.03962575674171931,0.0593738871445307
310,0.07926668765721244,0.10885843179245806,0.2278138236455929,0.24743622413427532,0.23762502388993423,0.03962540612888052,0.0593744027516466
315,0.07926575810327034,0.10885926148986962,0.22781238853024166,0.24743761930701436,0.23762500391862804,0.03962506661667685,0.059374902034299085
320,0.07926485749807433,0.10886006535095673,0.22781099795209644,0.2474389711875155,0.23762498456980624,0.03962473768670548,0.05937538575484535
325,0.07926398451096878,0.10886084456318962,0.22780964987101973,0.24744028175864338,0.23762496581483195,0.03962441885213889,0.05937585462920767
330,0.07926313788853802,0.10886160024511934,0.2278083423648415,0.24744155288862105,0.23762494762673148,0.03962410965443482,0.05937630933171356
335,0.07926231645650542,0.10886233344467747,0.2278070736324255,0.24744278632804767,0.23762492998023668,0.039623809664021806,0.05937675049408556
340,0.07926151910709735,0.10886304515045467,0.22780584197426157,0.24744398372875964,0.23762491285151016,0.03962351847567725,0.05937717871223921
345,0.07926074479365751,0.10886373629650589,0.22780464578425727,0.24744514665180792,0.23762489621803262,0.03962323570655596,0.05937759454918263
350,0.07925999253615598,0.10886440775743085,0.22780348355834096,0.24744627655909357,0.2376248800587174,0.039622960998196045,0.05937799853206504
355,0.07925926140126582,0.10886506036615666,0.2278023538637602,0.2474473748432085,0.23762486435348495,0.039622694009237604,0.05937839116288631
360,0.07925855051512327,0.10886569490254712,0.22780125535887885,0.24744844280818934,0.23762484908353404,0.03962243442007936,0.05937877291164796
365,0.07925785904520816,0.1088663121095735,0.2278001867652441,0.24744948169666822,0.23762483423095648,0.039622181926257355,0.05937914422609219
370,0.07925718620946398,0.10886691268517505,0.22779914688174796,0.2474504926761073,0.23762481977892747,0.03962193624177214,0.05937950552680606
375,0.07925653126362034,0.10886749729357202,0.22779813456508252,0.24745147685779453,0.23762480571143849,0.039621697094454504,0.05937985721403768
380,0.07925589350121931,0.10886806656524364,0.22779714872984166,0.24745243529674416,0.23762479201329229,0.03962146422597517,0.05938019966768372
385,0.07925527225910461,0.10886862109202584,0.22779618835704105,0.2474533689834109,0.23762477867022616,0.03962123739384317,0.059380533244348464
390,0.07925466690108408,0.10886916144169244,0.22779525246892124,0.24745427886818955,0.23762476566855525,0.03962101636544066,0.059380858286116604
395,0.07925407682522904,0.10886968815144284,0.227794340140258,0.24745516585041036,0.23762475299533473,0.039620800920684915,0.05938117511663986
400,0.07925350146026089,0.10887020173112338,0.2277934504928179,0.2474560307837357,0.23762474063827674,0.03962059085070643,0.059381484043078706
405,0.07925294026375486,0.10887070266483079,0.22779258269260824,0.24745687447882617,0.23762472858571695,0.03962038595719169,0.059381785357071254
410,0.0792523927185218,0.1088711914141429,0.2277917359443179,0.24745769770874818,0.23762471682653288,0.039620186051060165,0.0593820793366763
415,0.07925185833262388,0.1088716684181026,0.22779090949136727,0.24745850120892335,0.23762470535014507,0.039619990952469514,0.05938236624636846
420,0.07925133663575863,0.10887213409644508,0.22779010261033736,0.2474592856825438,0.23762469414644083,0.039619800489492187,0.05938264633898208
425,0.07925082718290326,0.108872588846346,0.22778931461663782,0.2474600517950621,0.23762468320584962,0.03961961449944704,0.05938291985375427
430,0.07925032954706247,0.10887303304889287,0.22778854485329877,0.2474608001850834,0.2376246725191908,0.03961943282624774,0.05938318702022391
435,0.07924984332291181,0.10887346706583337,0.22778779269663663,0.24746153145886113,0.23762466207774915,0.03961925532173368,0.059383448056274254
440,0.0792493681213563,0.1088738912444325,0.2277870575478485,0.2474622461984667,0.23762465187315776,0.03961908184368125,0.05938370317105691
445,0.07924890357135587,0.1088743059158417,0.22778633883585925,0.24746294495901971,0.2376246418974394,0.03961891225647104,0.05938395256401282
450,0.07924844931993964,0.10887471139508655,0.22778563601734908,0.2474636282686614,0.2376246321430059,0.03961874643109065,0.05938419642486691
455,0.07924800502857576,0.10887510798430886,0.22778494857116002,0.24746429663399455,0.23762462260257652,0.039618584243807875,0.05938443493557648
460,0.07924757037135811,0.1088754959743805,0.2277842759954959,0.24746495054279946,0.2376246132691473,0.03961842557551046,0.05938466827130812
465,0.07924714504047181,0.10887587564002775,0.22778361781640266,0.24746559045579716,0.23762460413610018,0.03961827031369954,0.0593848965975009
470,0.07924672873892841,0.10887624724631777,0.22778297357652175,0.24746621681757622,0.23762459519704893,0.039618118349835175,0.059385120073771586
475,0.0792463211805623,0.10887661104865526,0.22778234283511412,0.24746683005657316,0.23762458644584306,0.03961796957933878,0.05938533885391353
480,0.07924592209186827,0.10887696729114854,0.22778172517089212,0.2474674305823147,0.23762457787660352,0.03961782390225779,0.05938555308491511
485,0.0792455312156382,0.10887731620336112,0.2277811201876736,0.24746801877992583,0.23762456948379979,0.03961768122459689,0.059385762905004476
490,0.0792451482964085,0.10887765801329903,0.22778052749186356,0.24746859503201893,0.23762456126194173,0.039617541453004876,0.05938596845146334
495,0.07924477309684844,0.10887799293278524,0.2277799467178207,0.24746915969403233,0.23762455320592712,0.03961740450075443,0.05938616985183189
500,0.0792444053850231,0.10887832116882788,0.2277793775081549,0.24746971311338528,0.23762454531077026,0.03961727028309354,0.059386367230745
