M,X_{cj},X_{rj},Y_{cj},Y_{rj},T,V
365,2.7755575615628892e-17,3.3306690738754667e-16,0.49999999999996403,0.5000000000000355,0.0,0.0
370,6.661338147750933e-16,5.551115123125778e-16,0.4999999999999632,0.5000000000000355,0.0,0.0
375,4.075138658509231e-16,1.8067374479701258e-16,0.49999999999999967,0.49999999999999967,0.0,0.0
380,1.054711873393897e-15,3.6082248300317533e-16,0.49999999999996203,0.5000000000000365,0.0,0.0
385,5.32754558084547e-16,2.5099662855863704e-16,0.4999999999999996,0.4999999999999996,0.0,0.0
390,8.326672684688673e-17,5.551115123125782e-16,0.5000000000000381,0.49999999999996136,0.0,0.0
395,2.2204460492503116e-16,2.2204460492503116e-16,0.4999999999999609,0.5000000000000385,0.0,0.0
400,3.3306690738754637e-16,4.996003610813196e-16,0.49999999999996025,0.5000000000000389,0.0,0.0
405,2.5032454916033405e-16,3.630399843264022e-16,0.49999999999999967,0.49999999999999967,0.0,0.0
410,7.771561172376085e-16,1.9428902930940212e-16,0.4999999999999593,0.5000000000000397,0.0,0.0
415,7.6498355953425e-16,4.903663731525884e-16,0.4999999999999994,0.4999999999999994,0.0,0.0
420,5.551115123125783e-17,8.604228440844962e-16,0.5000000000000409,0.4999999999999583,0.0,0.0
425,2.220446049250313e-16,2.7755575615628914e-16,0.5000000000000412,0.49999999999995826,0.0,0.0
430,1.1025185690261322e-16,6.525809339235656e-16,0.4999999999999996,0.4999999999999996,0.0,0.0
435,9.022295141203313e-16,1.068544852116901e-15,0.49999999999999906,0.49999999999999906,0.0,0.0
440,1.511452497645815e-16,3.4508523783111206e-16,0.4999999999999998,0.4999999999999998,0.0,0.0
445,0.0,1.2767564783189273e-15,0.4999999999999557,0.500000000000043,0.0,0.0
450,5.535946140267541e-16,8.329487418637293e-16,0.4999999999999993,0.4999999999999993,0.0,0.0
455,3.720122871032534e-16,1.1768420691103728e-15,0.4999999999999992,0.4999999999999992,0.0,0.0
460,2.283328923644485e-16,4.4268420784473094e-16,0.49999999999999967,0.49999999999999967,0.0,0.0
465,9.442099444941607e-16,2.0504958336548669e-16,0.4999999999999994,0.4999999999999994,0.0,0.0
470,5.535210660617332e-16,1.056363962678442e-15,0.4999999999999992,0.4999999999999992,0.0,0.0
475,1.1102230246251562e-16,3.0531133177191795e-16,0.5000000000000462,0.4999999999999533,0.0,0.0
480,6.17122356651869e-16,4.371961521643291e-16,0.49999999999999956,0.49999999999999956,0.0,0.0
485,5.2665496147769936e-17,6.375068494509487e-16,0.49999999999999967,0.49999999999999967,0.0,0.0
490,6.090754689056905e-16,2.404402395044404e-17,0.49999999999999967,0.49999999999999967,0.0,0.0
495,3.1485493370548737e-16,1.2875529720096164e-17,0.49999999999999983,0.49999999999999983,0.0,0.0
500,5.828670879282069e-16,4.1633363423443355e-16,0.5000000000000486,0.4999999999999504,0.0,0.0
