M,X,Y_{cj},Y_{rj},Z,U,W
5,0.1666666666666663,0.16666666666666677,0.2592592592592593,0.16666666666666663,0.07407407407407415,0.1666666666666668
10,0.07262569832402252,0.2011173184357545,0.20111731843575412,0.26815642458100486,0.12849162011173199,0.12849162011173199
15,0.07086614173414296,0.20078740157515185,0.200787401575152,0.26771653543353624,0.1299212598410085,0.1299212598410085
20,0.0699088145896659,0.20060790273556173,0.2006079027355623,0.2674772036474165,0.13069908814589684,0.13069908814589684
25,0.0693069306930694,0.20049504950495026,0.20049504950495045,0.2673267326732676,0.13118811881188105,0.1311881188118812
30,0.0688935281816243,0.2004175365340541,0.20041753653405409,0.2672233820454059,0.1315240083524308,0.13152400835243078
35,0.0685920577635576,0.20036101083066662,0.20036101083066682,0.26714801444088987,0.13176895306710956,0.13176895306710956
40,0.06836248012718595,0.2003179650238473,0.2003179650238477,0.26709062003179646,0.1319554848966614,0.1319554848966614
45,0.06818181818036545,0.2002840909088185,0.20028409090881852,0.2670454545450914,0.13210227272845307,0.13210227272845307
50,0.06803594351732997,0.20025673940949987,0.20025673940949948,0.2670089858793324,0.1322207958921691,0.1322207958921691
55,0.06791569086771712,0.2002341920376967,0.20023419203769685,0.26697892271692963,0.1323185011699799,0.1323185011699799
60,0.06781485468467921,0.20021528525337737,0.2002152852533772,0.26695371367116905,0.13240043056869855,0.13240043056869855
65,0.0677290836663701,0.2001992031874448,0.2001992031874444,0.2669322709165922,0.13247011952107438,0.13247011952107438
70,0.06765523633089698,0.20018535681204322,0.2001853568120434,0.2669138090827244,0.132530120481146,0.132530120481146
75,0.0675909878660317,0.2001733102248811,0.20017331022488086,0.26689774696650775,0.13258232235884942,0.13258232235884934
80,0.06753458096013021,0.2001627339300243,0.20016273393002443,0.2668836452400326,0.13262815296989425,0.13262815296989414
85,0.0674846625778867,0.20015337423335341,0.20015337423335355,0.2668711656444724,0.1326687116554669,0.1326687116554669
90,0.06744017403840154,0.20014503263219985,0.2001450326322003,0.2668600435096009,0.1327048585937987,0.1327048585937987
95,0.06740027510388281,0.200137551581978,0.20013755158197805,0.2668500687759708,0.13273727647809522,0.13273727647809522
100,0.0673642903858729,0.2001308044473511,0.2001308044473515,0.2668410725964684,0.132766514061478,0.132766514061478
105,0.06733167082131002,0.20012468827899552,0.20012468827899554,0.2668329177053277,0.13279301745768557,0.13279301745768565
110,0.06730196545625249,0.20011911852304679,0.20011911852304784,0.2668254913640636,0.13281715306679462,0.13281715306679462
115,0.06727480045789457,0.20011402508585546,0.20011402508585532,0.26681870011447356,0.1328392246279605,0.1328392246279605
120,0.06724986331099043,0.20010934937081,0.20010934937081096,0.26681246582774726,0.13285948605982079,0.13285948605982065
125,0.06722689075630266,0.20010504201680693,0.2001050420168064,0.26680672268907585,0.13287815126050412,0.13287815126050412
130,0.06720565942448263,0.20010106114209067,0.20010106114209025,0.2668014148561206,0.132895401717608,0.132895401717608
135,0.06718597857787202,0.20009737098335073,0.20009737098335081,0.26679649464446775,0.1329113924054793,0.13291139240547936
140,0.06716768435588884,0.20009394081672885,0.20009394081672904,0.26679192108897226,0.13292625646084055,0.13292625646084055
145,0.06715063520703976,0.20009074410132044,0.20009074410131983,0.26678765880175936,0.13294010889428032,0.13294010889428032
150,0.06713470820766372,0.20008775778893725,0.20008775778893675,0.2667836770519156,0.13295304958127332,0.13295304958127332
155,0.06711979609153486,0.20008496176716264,0.20008496176716312,0.26677994902288427,0.13296516567562758,0.13296516567562763
160,0.06710580485796583,0.200082338410869,0.20008233841086878,0.2667764512144915,0.13297653355290243,0.13297653355290243
165,0.06709265175992515,0.20007987220498608,0.20007987220498588,0.2667731629399818,0.13298722044506053,0.13298722044506053
170,0.06708026366522574,0.20007754943722988,0.20007754943722972,0.26677006591630636,0.13299728577200415,0.13299728577200415
175,0.06706857573374607,0.20007535795007755,0.20007535795007744,0.26676714393343676,0.1330067822163311,0.1330067822163311
180,0.06705753023394743,0.2000732869188652,0.20007328691886533,0.2667643825584866,0.13301575668491766,0.13301575668491766
185,0.06704707560590023,0.20007132667610597,0.2000713266761063,0.2667617689014755,0.13302425107020602,0.133024251070206
190,0.06703716568289568,0.2000694685655424,0.20006946856554303,0.26675929142072446,0.13303230288264725,0.13303230288264725
195,0.06702775896892067,0.20006770480667252,0.2000677048066726,0.26675693974222964,0.13303994583775228,0.13303994583775228
200,0.06701881809177926,0.20006602839220902,0.20006602839220847,0.26675470452294503,0.13304721030042913,0.13304721030042913
205,0.06701030927971251,0.20006443298994583,0.2000644329899457,0.2667525773199283,0.1330541237102338,0.1330541237102338
210,0.06700220195295836,0.20006291286617936,0.20006291286617991,0.2667505504882401,0.1330607109132212,0.1330607109132212
215,0.06699446834729994,0.2000614628151183,0.20006146281511925,0.26674861708682523,0.1330669944678186,0.1330669944678186
220,0.066987083204995,0.2000600781009365,0.20006007810093612,0.26674677080124815,0.13307299489594213,0.13307299489594213
225,0.06698002349865569,0.20005875440599832,0.2000587544059978,0.26674500587466443,0.13307873090734193,0.13307873090734193
230,0.0669732681814241,0.2000574877840168,0.20005748778401666,0.26674331704535564,0.13308421960259337,0.13308421960259337
235,0.06696679797069029,0.20005627461950393,0.20005627461950456,0.2667416994926732,0.13308947664881407,0.13308947664881407
240,0.0669605952076237,0.20005511160142975,0.20005511160142897,0.2667401488019055,0.133094516393806,0.13309451639380598
245,0.06695464363179549,0.2000539956809613,0.2000539956809618,0.2667386609079491,0.1330993520491662,0.13309935204916612
250,0.06694892828790705,0.2000529240539828,0.20005292405398245,0.2667372320719766,0.13310399576607557,0.13310399576607554
255,0.06694343538987806,0.20005189413560165,0.2000518941356023,0.2667358588474689,0.13310845874572447,0.1331084587457246
260,0.06693815219834393,0.2000509035371892,0.2000509035371902,0.2667345380495866,0.13311275133884506,0.13311275133884506
265,0.06693306693267033,0.20004995004987586,0.20004995004987602,0.26673326673316744,0.13311688311720518,0.13311688311720518
270,0.0669281686685315,0.20004903162534965,0.20004903162535004,0.26673204216713325,0.13312086295681783,0.13312086295681783
275,0.06692344727718069,0.20004814636447138,0.20004814636447127,0.2667308618192949,0.13312469908729085,0.13312469908729085
280,0.06691889335740736,0.20004729250451334,0.20004729250451428,0.2667297233393519,0.13312839914710653,0.13312839914710653
285,0.06691449813917127,0.20004646840109505,0.20004646840109466,0.2667286245347925,0.1331319702619232,0.1331319702619232
290,0.06691025348519193,0.2000456725284726,0.20004567252847374,0.26672756337129816,0.13313541904328177,0.13313541904328177
295,0.06690615177309181,0.20004490345745446,0.20004490345745432,0.2667265379432733,0.13313875168436307,0.13313875168436304
