G,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
0.0,3.3764932881916126e-16,4.283632761017398e-16,0.5000000000000185,0.4999999999999799,7.43737128366859e-17,4.909397793160548e-18,6.190237695017956e-16,1.6735917253102523e-16
0.05,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.1,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.15,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.2,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.25,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.3,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.35,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.4,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.45,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.5,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.55,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.6,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.65,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.7,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.75,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.8,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.85,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.9,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
0.95,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
