r,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,V
2.8,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
2.9,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.0,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.1,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.2,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.3,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.4,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.5,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.6,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.7,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.8,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
3.9,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.0,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.1,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.2,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.3,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.4,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.5,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.6,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.7,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.8,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
4.9,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
5.0,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
5.1,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
5.2,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
5.3,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
5.4,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
5.5,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
5.6,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
5.7,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
5.8,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
5.9,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
6.0,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
6.1,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
6.2,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
6.3,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
6.4,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
6.5,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
6.6,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
6.7,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
6.8,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
