s,X,Y,V'
0.0001,0.33296655238920886,0.33476077780087954,0.33227266980991155
0.00014563484775012445,0.3327968827442382,0.33541415372160727,0.33178896353415455
0.00021209508879201905,0.3325472208269059,0.33636788938038314,0.3310848897927109
0.00030888435964774815,0.33217819653340314,0.33776149828012647,0.3300603051864705
0.0004498432668969444,0.3316292702442714,0.3398008674305472,0.32856986232518126
0.0006551285568595509,0.33080552254479856,0.34279150508673767,0.3264029723684638
0.0009540954763499944,0.3295545231126744,0.3471901270308816,0.32325534985644394
0.0013894954943731374,0.3276245908259821,0.35368606730263746,0.31868934187138054
0.0020235896477251557,0.3245878878847799,0.3633318431194336,0.31208026899578645
0.0029470517025518097,0.3196976758861476,0.3777537951438532,0.3025485289699991
0.004291934260128779,0.311629431863359,0.3994842318192933,0.2888863363173477
0.0062505519252739694,0.29805194650007677,0.43243266321807317,0.26951539028185006
0.009102981779915217,0.27510314675189423,0.4823155228262137,0.24258133042189212
0.013257113655901081,0.2374949211819226,0.5560752122897787,0.20642986652829878
0.019306977288832496,0.18161779622001212,0.6575335881432167,0.16084861563677116
0.02811768697974228,0.11382122085740921,0.7770103437737845,0.10916843536880627
0.040949150623804234,0.054115881634361554,0.886014571388564,0.059869546977074396
0.05963623316594643,0.018622170126342947,0.9574380365552959,0.023939793318361168
0.08685113737513521,0.004377615092557135,0.989476462624304,0.0061459222831388135
0.12648552168552957,0.0005975447379131021,0.9985444250058899,0.0008580302561970056
0.18420699693267145,3.5721687239430334e-05,0.9999132450978266,5.103321493391814e-05
0.2682695795279725,6.349939978490049e-07,0.999998469355231,8.956507713003707e-07
0.3906939937054613,1.810496189589998e-09,0.9999999956821359,2.507367926422915e-09
0.5689866029018293,0.0,1.0,0.0
0.8286427728546842,0.0,1.0,0.0
1.2067926406393288,0.0,1.0,0.0
1.7575106248547894,0.0,1.0,0.0
2.559547922699533,0.0,1.0,0.0
3.727593720314938,0.0,1.0,0.0
5.428675439323859,0.0,1.0,0.0
7.9060432109076855,0.0,1.0,0.0
11.513953993264458,0.0,1.0,0.0
16.768329368110066,0.0,1.0,0.0
24.420530945486497,0.0,1.0,0.0
35.564803062231285,0.0,1.0,0.0
51.79474679231202,0.0,1.0,0.0
75.43120063354607,0.0,1.0,0.0
109.85411419875572,0.0,1.0,0.0
159.98587196060572,0.0,1.0,0.0
232.99518105153672,0.0,1.0,0.0
339.3221771895323,0.0,1.0,0.0
494.1713361323828,0.0,1.0,0.0
719.6856730011514,0.0,1.0,0.0
1048.1131341546852,0.0,1.0,0.0
1526.4179671752302,0.0,1.0,0.0
2222.996482526191,0.0,1.0,0.0
3237.45754281764,0.0,1.0,0.0
4714.8663634573895,0.0,1.0,0.0
6866.488450042998,0.0,1.0,0.0
10000.0,0.0,1.0,0.0
