s,X,Y,W'
0.0001,0.332198175941981,0.33554710010830996,0.3322547239497091
0.00014563484775012445,0.33167894300249623,0.33655981548106584,0.331761241516438
0.00021209508879201905,0.33092141686889803,0.33803742527172725,0.33104115785937477
0.00030888435964774815,0.3298153725732022,0.34019511907959127,0.3299895083472066
0.0004498432668969444,0.3281986658887644,0.34334960625161653,0.32845172785961907
0.0006551285568595509,0.3258318372874286,0.34796896751394135,0.32619919519863
0.0009540954763499944,0.32235941663483164,0.35474881187739526,0.32289177148777304
0.0013894954943731374,0.3172504811782548,0.36472974540819314,0.318019773413552
0.0020235896477251557,0.3097071458526363,0.3794792573658753,0.3108135967814884
0.0029470517025518097,0.29852646666445987,0.40136868301006484,0.30010485032547535
0.004291934260128779,0.28190820868391936,0.433964975263898,0.28412681605218265
0.0062505519252739694,0.25725839883933893,0.48244926561812773,0.2602923355425332
0.009102981779915217,0.22128002525289484,0.5535033645436669,0.22521661020343836
0.013257113655901081,0.171356816044673,0.6526702420659537,0.17597294188937324
0.019306977288832496,0.11014670486015575,0.7752329755159605,0.11462031962388376
0.02811768697974228,0.051779392096221934,0.893337825538078,0.05488278236570019
0.040949150623804234,0.015166006596177773,0.9683945342485472,0.016439459155275053
0.05963623316594643,0.0023115025433513327,0.9951318591653078,0.0025566382913408915
0.08685113737513521,0.00014393580307681965,0.9996962434921167,0.00015982070480654011
0.12648552168552957,2.511449280348571e-06,0.9999947709593828,2.717591336870209e-06
0.18420699693267145,6.932519577971355e-09,0.9999999862950206,6.772459920325277e-09
0.2682695795279725,0.0,1.0,0.0
0.3906939937054613,0.0,1.0,0.0
0.5689866029018293,0.0,1.0,0.0
0.8286427728546842,0.0,1.0,0.0
1.2067926406393288,0.0,1.0,0.0
1.7575106248547894,0.0,1.0,0.0
2.559547922699533,0.0,1.0,0.0
3.727593720314938,0.0,1.0,0.0
5.428675439323859,0.0,1.0,0.0
7.9060432109076855,0.0,1.0,0.0
11.513953993264458,0.0,1.0,0.0
16.768329368110066,0.0,1.0,0.0
24.420530945486497,0.0,1.0,0.0
35.564803062231285,0.0,1.0,0.0
51.79474679231202,0.0,1.0,0.0
75.43120063354607,0.0,1.0,0.0
109.85411419875572,0.0,1.0,0.0
159.98587196060572,0.0,1.0,0.0
232.99518105153672,0.0,1.0,0.0
339.3221771895323,0.0,1.0,0.0
494.1713361323828,0.0,1.0,0.0
719.6856730011514,0.0,1.0,0.0
1048.1131341546852,0.0,1.0,0.0
1526.4179671752302,0.0,1.0,0.0
2222.996482526191,0.0,1.0,0.0
3237.45754281764,0.0,1.0,0.0
4714.8663634573895,0.0,1.0,0.0
6866.488450042998,0.0,1.0,0.0
10000.0,0.0,1.0,0.0
