s,X,Y,V',W'
0.0001,0.2497930232231141,0.25141002400356655,0.24897113667965323,0.2498258160936662
0.00014563484775012445,0.24969684128130162,0.25205554762061383,0.24850238881103076,0.24974522228705376
0.00021209508879201905,0.24955483079674054,0.2529979580568611,0.2478205980485895,0.24962661309780892
0.00030888435964774815,0.24934391189724378,0.2543753134636553,0.24682952226538382,0.24945125237371718
0.0004498432668969444,0.24902804860694686,0.256391534758055,0.2453901151088173,0.24919030152618096
0.0006551285568595509,0.2485496412413129,0.2593496156011208,0.2433022730108607,0.24879847014670567
0.0009540954763499944,0.24781401679048326,0.2637034099432443,0.2402797259860655,0.24820284728020686
0.0013894954943731374,0.2466606494501166,0.27013999254616494,0.23591678729701523,0.24728257070670323
0.0020235896477251557,0.24480867667355938,0.2797132918997714,0.22964715072646552,0.2458308807002037
0.0029470517025518097,0.24175297372326193,0.29406374163301546,0.22070017158510236,0.24348311305862028
0.004291934260128779,0.23656951784572977,0.3157761107361548,0.20807353243271545,0.2395808389853999
0.0062505519252739694,0.22757646898203032,0.3489221972190706,0.19057322453774608,0.232928109261153
0.009102981779915217,0.21186596227723212,0.3996757067319325,0.16703558025376378,0.22142275073707166
0.013257113655901081,0.18516384074970874,0.47610835623365666,0.13692907062829612,0.20179873238833854
0.019306977288832496,0.14383682857503016,0.5840806090644759,0.10147368812239105,0.17060887423810306
0.02811768697974228,0.09157991289076022,0.7152871232534028,0.06477146577781996,0.12836149807801686
0.040949150623804234,0.044187861620153486,0.8390888469577561,0.0333117931968911,0.08341149822519914
0.05963623316594643,0.0156630442330719,0.9265337051481599,0.012631584666783565,0.04517166595198456
0.08685113737513521,0.003914893062901438,0.9752263949475997,0.003143383732871614,0.01771532825662722
0.12648552168552957,0.00057090448305848,0.9951484116083136,0.00043296320774060913,0.0038477207008874195
0.18420699693267145,3.5363931775023485e-05,0.9996020671997173,2.5590658157693046e-05,0.00033697821035010597
0.2682695795279725,6.344062286650669e-07,0.99999063392804,4.4804850488751526e-07,8.283617226572799e-06
0.3906939937054613,1.8104667271188534e-09,0.9999999651296139,1.2537309695751987e-09,3.180618834792824e-08
0.5689866029018293,0.0,1.0,0.0,0.0
0.8286427728546842,0.0,1.0,0.0,0.0
1.2067926406393288,0.0,1.0,0.0,0.0
1.7575106248547894,0.0,1.0,0.0,0.0
2.559547922699533,0.0,1.0,0.0,0.0
3.727593720314938,0.0,1.0,0.0,0.0
5.428675439323859,0.0,1.0,0.0,0.0
7.9060432109076855,0.0,1.0,0.0,0.0
11.513953993264458,0.0,1.0,0.0,0.0
16.768329368110066,0.0,1.0,0.0,0.0
24.420530945486497,0.0,1.0,0.0,0.0
35.564803062231285,0.0,1.0,0.0,0.0
51.79474679231202,0.0,1.0,0.0,0.0
75.43120063354607,0.0,1.0,0.0,0.0
109.85411419875572,0.0,1.0,0.0,0.0
159.98587196060572,0.0,1.0,0.0,0.0
232.99518105153672,0.0,1.0,0.0,0.0
339.3221771895323,0.0,1.0,0.0,0.0
494.1713361323828,0.0,1.0,0.0,0.0
719.6856730011514,0.0,1.0,0.0,0.0
1048.1131341546852,0.0,1.0,0.0,0.0
1526.4179671752302,0.0,1.0,0.0,0.0
2222.996482526191,0.0,1.0,0.0,0.0
3237.45754281764,0.0,1.0,0.0,0.0
4714.8663634573895,0.0,1.0,0.0,0.0
6866.488450042998,0.0,1.0,0.0,0.0
10000.0,0.0,1.0,0.0,0.0
