sigma,X,Y,Z,V
0.0,0.009661835748792858,0.9758454106280187,0.009661835748792246,0.004830917874396114
0.05,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.1,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.15,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.2,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.25,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.3,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.35,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.4,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.45,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.5,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.55,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.6,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.65,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.7,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.75,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.8,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.85,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.9,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
0.95,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
1.0,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
1.05,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
1.1,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
1.15,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
1.2,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
1.25,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
