id,s,mu
0,0.0001,0.001
1,0.00026366508987303583,0.001
2,0.0006951927961775605,0.001
3,0.0018329807108324356,0.001
4,0.004832930238571752,0.001
5,0.012742749857031334,0.001
6,0.03359818286283781,0.001
7,0.08858667904100823,0.001
8,0.23357214690901212,0.001
9,0.615848211066026,0.001
10,1.623776739188721,0.001
11,4.281332398719396,0.001
12,11.288378916846883,0.001
13,29.763514416313132,0.001
14,78.47599703514607,0.001
15,206.913808111479,0.001
16,545.5594781168514,0.001
17,1438.44988828766,0.001
18,3792.690190732246,0.001
19,10000.0,0.001
