sigma,X,Y_{cj},Y_{rj},U,W
0.0,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.05,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.1,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.15,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.2,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.25,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.3,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.35,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.4,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.45,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.5,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.55,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.6,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.65,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.7,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.75,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.8,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.85,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.9,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
0.95,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
1.0,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
1.05,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
1.1,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
1.15,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
1.2,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
1.25,8.360542319325359e-16,0.5000000000000019,0.4999999999999941,1.5836796508722076e-15,1.5836796508722076e-15
